Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
New house connection for newly developed area of Jajpur Municipality.,New house connection for newly developed area of Jajpur Municipality.,Please refer Tender documents. ,NA ,,Civil Works - Water Works,NA ,Tender,120.0,30.0,"Mahanadivihar, Cuttack",753004.0,NA ,NA ,NA ,"OO Superintending Engineer, PH Division, Cuttack",No ,No,"9,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Paper Cost, EMD,Valid Regd.Certificate,GST,PAN,Affidavit as per DTCN",1.0,ICICI BANK,"4,000",0.0,Nil,Nil,No,PHEO||SEPH-CIRCLE-CUTTACK||EEPH-DIVN-CUTTACK-II,"SEPH-DIVISION, CTC- 26 (03) of 2025-26",2025_PHEO_119531_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"OO Superintending Engineer, PH Division, Cuttack","OO Superintending Engineer, PH Division, Cuttack, Nayabazar, Cuttack",15-Oct-2025 03:00 PM,27-Oct-2025 11:00 AM,15-Oct-2025 03:00 PM,24-Oct-2025 05:00 PM,15-Oct-2025 03:00 PM ,18-Oct-2025 05:00 PM ,15-Oct-2025 03:00 PM,24-Oct-2025 05:00 PM,AOC,Er. Ajaya Naik,Internal,"JE (Estimator), PH Division, Cuttack, DAO-I, PH Division, Cuttack, SE PH Division, Cuttack",Ajaya Kumar Naik,06-Jan-2026 01:08 PM,finsummary_556201.pdf (2765.68 KB),Finance,The validity of tenders depends on the result of scrutiny of the scanned documents and Financial bid submitted by the tenderers online.,Ajaya Kumar Naik,27-Oct-2025 01:29 PM,,BOQ Comparative Chart,06-Jan-2026,"INR 714,802",30.0,Ajaya Kumar Naik,06-Jan-2026 01:17 PM,woo.pdf (908.00 KB),1,3147640,AMITA RANI DAS,24-Oct-2025 01:59 PM,Rejected-AOC,do not won through transparent lottery,06-Jan-2026 01:17 PM,PHEO||SEPH-CIRCLE-CUTTACK||EEPH-DIVN-CUTTACK-II,2025_PHEO_119531_1,"SEPH-DIVISION, CTC- 26 (03) of 2025-26",New house connection for newly developed area of Jajpur Municipality.,1.0,3148243.0,SUMATI MISHRA,INR,"714,802",Er. Ajaya Naik,Internal,"JE (Estimator), PH Division, Cuttack, DAO-I, PH Division, Cuttack, SE, PH Division, Cuttack",Ajaya Kumar Naik,06-Jan-2026 01:01 PM,techsummary_556201.pdf (915.75 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,3147955,HAREKRISHNA BEHURA,24-Oct-2025 12:03 PM,Rejected-AOC,do not won through transparent lottery,06-Jan-2026 01:17 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,3148044,MAHENDRA KUMAR PATI,24-Oct-2025 12:26 PM,Rejected-AOC,do not won through transparent lottery,06-Jan-2026 01:17 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,3147757,MANJULATA MALLICK,24-Oct-2025 11:22 AM,Rejected-AOC,do not won through transparent lottery,06-Jan-2026 01:17 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,3148110,PRAVAT KUMAR BEHURA,24-Oct-2025 12:35 PM,Rejected-AOC,do not won through transparent lottery,06-Jan-2026 01:17 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,3148350,SATYABRATA BEHURA,24-Oct-2025 01:32 PM,Rejected-AOC,do not won through transparent lottery,06-Jan-2026 01:17 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,3148189,SNEHANJALI LENKA,24-Oct-2025 12:54 PM,Rejected-AOC,do not won through transparent lottery,06-Jan-2026 01:17 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,3148473,SUDHEER KUMAR ROUT,24-Oct-2025 02:09 PM,Rejected-AOC,do not won through transparent lottery,06-Jan-2026 01:17 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,3148243,SUMATI MISHRA,24-Oct-2025 01:04 PM,Accepted-AOC,1st winner through transparent lottery,06-Jan-2026 01:17 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,3142699,SURENDRA KUMAR SAHOO,23-Oct-2025 06:39 PM,Rejected-AOC,do not won through transparent lottery,06-Jan-2026 01:17 PM,,,,,,,,,,,,,,,,AOC
