Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"10,000",0.0,Nil,Nil,No,"Construction of Compound wall backside and right side of IIC at Pallur Hill, Ganjam",Compound wall,Please refer Tender documents. ,NA ,"1,03,38,647",Civil Works - Buildings,Compound wall ,Tender,90.0,120.0,"Palur Hill, Ganjam",761008.0,NA ,NA ,NA ,"O/o the CCE, Southern Circle RandB, Berhampur",No ,No,12-Apr-2025 12:00 PM,28-Apr-2025 11:30 AM,12-Apr-2025 12:00 PM,25-Apr-2025 05:30 PM,12-Apr-2025 12:00 PM ,24-Apr-2025 05:00 PM ,12-Apr-2025 12:00 PM,25-Apr-2025 05:30 PM,30-Jun-2025 05:00 PM,"1,03,400",Yes,fixed,,Nil,Nil,Chief Construction Engineer,"Southern Circle RandB, Courtpeta, Berhampur, Ganjam, 760004, Odisha",EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR,"CCE, SC (RandB)-BAM-14/2024-25",2025_EICCL_112449_3,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Proof of tender cost and EMD, Registration Certificate, PAN, GSTIN, Affidavit",1.0,ICICI BANK,AOC,EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR,2025_EICCL_112449_3,"CCE, SC (RandB)-BAM-14/2024-25","Construction of Compound wall backside and right side of IIC at Pallur Hill, Ganjam",Technical,"Twelve Nos bidder participated in this tender, received scan copy of documents which is under scrutiny.",Nihar Ranjan Behera,28-Apr-2025 01:16 PM,technical_536344.pdf,Chief Construction Engineer,Internal,"EE, O/o the CCE SC RandB, Berhampur, SE and SrDAO, Ganjam-I, Berhampur, Estr, O/o the CCE SC RandB, Berhampur",Damodar Kaibartta,12-Jan-2026 05:22 PM,finsummary_536344.pdf (409.15 KB),1.0,2894381.0,KANHU CHARAN MOHANTY,INR,"8,788,884",12-Jan-2026,"INR 8,788,883",120.0,Damodar Kaibartta,12-Jan-2026 05:40 PM,AOC_Compound_WallPalurHill.pdf (759.00 KB),1st Lowest Sri Kanhu Charan Mohanty through lottery,1,2894521,AMARNATH PATI,25-Apr-2025 04:52 PM,Rejected-AOC,Unsuccess in lottery,12-Jan-2026 05:40 PM,Chief Engineer,Internal,"EE, O/o the CCE, SC (RandB), Berhampur, SE and SrDAO, Ganjam RandB Divn No.I, Berhampur, AE. O/o the CCE SC RandB, Berhampur",Nihar Ranjan Behera,25-Jun-2025 04:48 PM,30-Jun-2025 05:00 PM,techsummary_536344.pdf (1710.63 KB),Finance,11 Nos BOQ received which are under scrutiny.,P Sandhyarani,30-Jun-2025 08:59 PM,finance_536344.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Proof of ownership of machineries, Lease deed, MOU other documents and forms as per DTCN",2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2894381,KANHU CHARAN MOHANTY,25-Apr-2025 11:49 AM,Accepted-AOC,Success in lottery,12-Jan-2026 05:40 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2893527,K.Lokanath Achary,24-Apr-2025 01:01 PM,Rejected-AOC,Unsuccess in lottery,12-Jan-2026 05:40 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2894737,M/s Manas Ranjan Sahu,25-Apr-2025 02:13 PM,Rejected-AOC,Unsuccess in lottery,12-Jan-2026 05:40 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2894333,Niranjan Behera,25-Apr-2025 10:17 AM,Rejected-Technical,Disqualified by the TEC as per DTCN Cl No.7,25-Jun-2025 04:48 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2893887,Rajani Kanta Panigrahy,24-Apr-2025 05:26 PM,Rejected-AOC,Unsuccess in lottery,12-Jan-2026 05:40 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2894938,RAMA CHANDRA NAYAK,25-Apr-2025 05:23 PM,Rejected-AOC,Unsuccess in lottery,12-Jan-2026 05:40 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2894331,Ramesh Pradhan,25-Apr-2025 10:13 AM,Rejected-AOC,Willing to L1 rate but unsuccess in lottery,12-Jan-2026 05:40 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2894618,RASHMITA PALA,25-Apr-2025 01:54 PM,Rejected-AOC,Unsuccess in lottery,12-Jan-2026 05:40 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2894207,Sridhar Panigrahi,24-Apr-2025 10:54 PM,Rejected-AOC,Unsuccess in lottery,12-Jan-2026 05:40 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2894426,SUJIT KUMAR NAHAK,25-Apr-2025 11:51 AM,Rejected-AOC,Unsuccess in lottery,12-Jan-2026 05:40 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2894563,Sunil Kumar Panda,25-Apr-2025 12:52 PM,Rejected-AOC,Unsuccess in lottery,12-Jan-2026 05:40 PM,,,,,,,,,,,,,,AOC
