Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,All bidders have qualified,Soubhagya Kumar Das,30-Nov-2025 05:51 PM,,BOQ Comparative Chart,1.0,3250100.0,HARAMOHAN SAHU,INR,"1,801,060",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-JALESWAR,2025_CERWI_121460_3,SE/RW/Jls-11/2025-26,Renovation of R.W.Rest shed at Dagara under Baliapal Block for the year 2025-26,Er. Saubhagya Kumar Das,Internal,,Nirupama Sankhua,20-Jan-2026 02:57 PM,finsummary_565095.pdf (863.02 KB),Er Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,30-Nov-2025 05:58 PM,techsummary_565095.pdf (481.74 KB),20-Jan-2026,"INR 2,118,645",180.0,Nirupama Sankhua,20-Jan-2026 03:04 PM,restsheddagaraworkorder.pdf (594.00 KB),1,3250136,ADWAITYA PRASAD DAS,24-Nov-2025 06:18 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:57 PM,AOC,"Superintending Engineer, R.W. Division, Jaleswar","At/Po- Chalanti, Via- Jaleswar",1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-JALESWAR,SE/RW/Jls-11/2025-26,2025_CERWI_121460_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Renovation of R.W.Rest shed at Dagara under Baliapal Block for the year 2025-26,Building Works,Please refer Tender documents. ,NA ,"21,18,645",Civil Works - Buildings,NA ,Tender,90.0,180.0,Jaleswar,756086.0,NA ,NA ,NA ,"Rural Works Division, Jaleswar",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"T.P. cost, EMD declaration, R.C., GST, PAN, Adhar, Affidavit etc as per DTCN",18-Nov-2025 10:00 AM,26-Nov-2025 11:00 AM,18-Nov-2025 11:00 AM,25-Nov-2025 05:00 PM,18-Nov-2025 11:00 AM ,24-Nov-2025 05:00 PM ,18-Nov-2025 11:00 AM,25-Nov-2025 05:00 PM,"21,186",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3253191,ALAKA PATRA,25-Nov-2025 10:36 AM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:57 PM,AOC,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3253883,ANANTA KUMAR JENA,25-Nov-2025 01:03 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3251089,ANJAN KUMAR DAS,24-Nov-2025 03:25 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3253734,BHAGYASHREE JENA,25-Nov-2025 12:24 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3254722,BIKASH SAHU,25-Nov-2025 04:16 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3254533,BISWAJIT NANDA,25-Nov-2025 03:44 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3250046,CHINMAY MOHAPATRA,25-Nov-2025 12:44 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3243561,DILLIP KUMAR JENA,21-Nov-2025 11:47 AM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3253838,GYANABRATA SAHOO,25-Nov-2025 12:43 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
