Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Cost EMD GSTIN PAN Contractor RC Affidavits undertakings and any other document as per DTCN,"6,000",0.0,Nil,Nil,No,"13,560",Yes,percentage,1.0%,Nil,Nil,11-Oct-2025 05:00 PM,22-Oct-2025 11:00 AM,11-Oct-2025 05:00 PM,20-Oct-2025 05:00 PM,NA ,NA ,11-Oct-2025 05:00 PM,20-Oct-2025 05:00 PM,GBC to Bhanaragarh,GBC to Bhanaragarh,Please refer tender documents ,NA ,"13,56,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Khordha,751013.0,NA ,NA ,NA ,O/o the SE RWD BBSR,No ,No,SE RWD BBSR,O/o the SE RWD BBSR,1.0,ICICI BANK,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,TCN No.13 of 25-26,2025_CERWI_119265_27,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,"SE RW, Bhubaneswar",Internal,"DAO, Estimator and Superintending Engineer",Shrabani Routray,18-Dec-2025 04:01 PM,finsummary_555458.pdf (421.50 KB),"SE RW, Bhubaneswar",Internal,"DAO, Estimator and Superintending Engineer",Shrabani Routray,18-Dec-2025 03:58 PM,techsummary_555458.pdf (421.50 KB),30-Jan-2026,"INR 1,143,962",60.0,Nirmal Chandra Jena,30-Jan-2026 04:21 PM,Bhanaragarh.pdf (311.00 KB),AOC,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,2025_CERWI_119265_27,TCN No.13 of 25-26,GBC to Bhanaragarh,1.0,3124442.0,DJ CONSTRUCTIONS,INR,"1,143,962",1,3135631,DESABANDHU JENA,19-Oct-2025 01:06 PM,Rejected-Finance,Not Success in Lottery,18-Dec-2025 04:01 PM,Finance,03 nos of bidder are participated,Sushree Behera,22-Oct-2025 06:00 PM,,BOQ Comparative Chart,AOC
,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3124442,DJ CONSTRUCTIONS,13-Oct-2025 01:48 PM,Accepted-AOC,L1 Bidder,30-Jan-2026 04:21 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3137950,KKD INFRACON,20-Oct-2025 01:28 PM,Rejected-Technical,Technically not Qualified,18-Dec-2025 03:58 PM,,,,,,,AOC
