S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
1.0,3172319.0,BHAGYALAXMI GARNAIK,INR,"357,172.419",Finance,19 nos of bidders were found,Sonali Sucharita Rout,11-Nov-2025 05:10 PM,finance_559960.pdf,BOQ Comparative Chart,SE,Internal,DAO Estimator,Sonali Sucharita Rout,14-Jan-2026 11:18 PM,finsummary_559960.pdf (41.94 KB),CE RW I||RWCIRCLE-ANGUL||RWDIVISION-DHENKANAL,2025_CERWI_120333_1,Online DKL 10/2025-26,Repair of 6 nos F Type Qtr Building at Khajuriakata Fire Station (3 Storeyed) for the year 2025-26,SE,Internal,"DAO, Estimator, AEE",Sonali Sucharita Rout,07-Dec-2025 07:23 PM,techsummary_559960.pdf (727.05 KB),1,3186624,Ajit Kumar Sahoo,05-Nov-2025 10:35 PM,Rejected-Finance,Not Winner,14-Jan-2026 11:18 PM,14-Jan-2026,"INR 420,153.416",60.0,Sonali Sucharita Rout,14-Jan-2026 11:24 PM,Tendercomm.pdf (42.00 KB),Awarded,AOC,"2,000",0.0,Nil,Nil,No,"4,202",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,30-Oct-2025 12:30 PM,10-Nov-2025 11:00 AM,30-Oct-2025 12:30 PM,07-Nov-2025 05:00 PM,30-Oct-2025 12:30 PM ,06-Nov-2025 04:00 PM ,30-Oct-2025 12:30 PM,07-Nov-2025 05:00 PM,CE RW I||RWCIRCLE-ANGUL||RWDIVISION-DHENKANAL,Online DKL 10/2025-26,2025_CERWI_120333_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Repair of 6 nos F Type Qtr Building at Khajuriakata Fire Station (3 Storeyed) for the year 2025-26,Repair of 6 nos F Type Qtr Building at Khajuriakata Fire Station (3 Storeyed) for the year 2025-26,NA ,NA ,"4,20,153",Civil Works - Buildings,NA ,Tender,90.0,60.0,Dhenkanal,759001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, DHENKANAL",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of Tender Paper, RC, PAN, GSTIN, Affidavit &amp; other documents as per DTCN",Divisional Officer,"RURAL WORKS DIVISION, DHENKANAL",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3172714,ALOK OJHA,03-Nov-2025 11:32 AM,Rejected-Finance,Not Winner,14-Jan-2026 11:18 PM,,,,,,,,AOC,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3179963,Amulya Kumar Majhi,04-Nov-2025 11:58 AM,Rejected-Finance,Not Winner,14-Jan-2026 11:18 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3194121,A R CONSTRUCTION PROP. ASHUTOSH SAHOO,07-Nov-2025 03:19 PM,Rejected-Finance,Not Winner,14-Jan-2026 11:18 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3172319,BHAGYALAXMI GARNAIK,03-Nov-2025 12:21 AM,Accepted-AOC,Awarded,14-Jan-2026 11:24 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3174131,BIDHUBHUSHAN MISHRA,02-Nov-2025 07:33 PM,Rejected-Finance,Not Winner,14-Jan-2026 11:18 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3182658,Chadan Maharana,04-Nov-2025 10:32 PM,Rejected-Finance,Not Winner,14-Jan-2026 11:18 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3193751,DILLIP KUMAR JENA,07-Nov-2025 01:58 PM,Rejected-Finance,Not Winner,14-Jan-2026 11:18 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3193820,GUNGUN CONSTRUCTION AND SUPPLIER,07-Nov-2025 02:11 PM,Rejected-Finance,Not Winner,14-Jan-2026 11:18 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3174174,JASHOBANT SAHU,02-Nov-2025 01:26 PM,Rejected-Finance,Not Winner,14-Jan-2026 11:18 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
