Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Managing Director,Internal,"Director(Operations), Director(Finance), GM(Finance), GM(CP), Advisor(Legal), ED(FE),GM(FE)",Pravash Kumar Biswal,29-Oct-2025 12:55 PM,finsummary_523483.pdf (1603.69 KB),Technical,Technical opening summary,Pravash Kumar Biswal,20-Feb-2025 12:07 PM,technical_523483.pdf,Orissa Mining Corporation,2025_OMC_109009_1,"OMC/E-PROC/CP/048/2024-25, Dtd 02.01.2025",Hiring of Mechanical Road Sweeping Machine along with Vacuum Cleaning System for 5 years at Various locations of OMC,03-Jan-2026,"INR 39,506,400",1825.0,Sanjaya Kumar Sahoo,03-Jan-2026 04:56 PM,LOARSweeping.pdf (2761.00 KB),Awarded for the work including GST (1st year awarded rate for six locations),Finance,Financial opening summary,Pravash Kumar Biswal,29-May-2025 01:43 PM,finance_523483.pdf,BOQ Comparative Chart,1.0,2803957.0,GREEN INNOVATIVE POWER PRIVATE LIMITED,INR,"39,506,400",1,2803957,GREEN INNOVATIVE POWER PRIVATE LIMITED,10-Feb-2025 01:16 PM,Accepted-AOC,Awarded for the work including GST for six locations for 1st year,03-Jan-2026 04:56 PM,Director(HR),Internal,"CGM(Fin),GM(FE),GM(CP), Advisor(Legal)",Sanjaya Kumar Sahoo,23-May-2025 10:52 AM,26-May-2025 04:00 PM,techsummary_523483.pdf (663.84 KB),AOC,1.0,Corrigendum 3,Date,,03-Jan-2025 04:00 PM,19-Feb-2025 05:00 PM,03-Jan-2025 04:00 PM,19-Feb-2025 03:00 PM,03-Jan-2025 04:00 PM ,16-Jan-2025 05:00 PM ,28-Jan-2025 11:00 AM,19-Feb-2025 03:00 PM,26-May-2025 04:00 PM,Head(Contract and Procurement),"OMC Ltd., OMC House, Bhubaneswar",Orissa Mining Corporation,"OMC/E-PROC/CP/048/2024-25, Dtd 02.01.2025",2025_OMC_109009_1,Yes,Open Tender,Item Rate,Services,2.0,No,No,Online,No,No,No,"9,08,300",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"PAN,GSTIN and OTHER DOCUMENTS AS PER DTCN",1.0,ICICI BANK,Hiring of Mechanical Road Sweeping Machine along with Vacuum Cleaning System for 5 years at Various locations of OMC,Hiring of Mechanical Road Sweeping Machine along with Vacuum Cleaning System for 5 years at Various locations of OMC,Please refer Tender documents. ,NA ,,Miscellaneous Services,NA ,Tender,180.0,1825.0,Various locations of OMC,751001.0,Through VC ,Through VC ,20-Jan-2025 03:30 PM ,"OMC Ltd., OMC House, Bhubaneswar",No ,No,"11,800",0.0,Nil,Nil,Yes,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2802715,LUCKY MINERALS PRIVATE LIMITED,07-Feb-2025 06:39 PM,Rejected-Technical,Techno-commercially Disqualified,23-May-2025 10:52 AM,,,,,,,,AOC,2.0,Corrigendum 4,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ANY OTHER DOCUMENTS AS PER DTCN,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2803815,M/S MAA BIRAJA TRADERS,08-Feb-2025 05:51 PM,Rejected-Technical,Techno-commercially Disqualified,23-May-2025 10:52 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,PRICE BID,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2795491,SCM CONSTRUCTION,19-Feb-2025 02:33 PM,Rejected-Technical,Techno-commercially Disqualified,23-May-2025 10:52 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,RATE OF GST,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2796204,SRI RAJARAJESHWARI ENTERPRISES,18-Feb-2025 06:40 PM,Rejected-Finance,Other than L1,29-Oct-2025 12:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2807471,SRI VAISHNAVI INFRATECH PRIVATE LIMITED,19-Feb-2025 12:05 PM,Rejected-Technical,Techno-commercially Disqualified,23-May-2025 10:52 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2783521,SS AND COMP PRIVATE LIMITED,10-Feb-2025 02:41 PM,Rejected-Finance,Other than L1,29-Oct-2025 12:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2794352,TPS Infrastructure Limited,08-Feb-2025 05:32 PM,Rejected-Finance,Other than L1,29-Oct-2025 12:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2807157,UNITED AIR EXPRESS,19-Feb-2025 11:39 AM,Rejected-Finance,Other than L1,29-Oct-2025 12:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
