S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage
1.0,3050536.0,Dhabaleswar Pattanaik,INR,"29,280,731",Santosh Kumar Behera,Internal,SE Ghatagaon R and B Division DAO-I Ghatagaon R and B Division PA to CCE Keonjhar R and B Circle,Santosh Kumar Behera,29-Oct-2025 06:23 PM,finsummary_549899.pdf (94.24 KB),EIC-CIVIL||SERNB-CIRCLE-KEONJHAR,2025_EICCL_117055_1,CCEKC - 08 / 2025-26,Construction of Box cell culvert over local nallah at 18/050 km on Harichandanpur to Daitari Road (ODR) in the district of Keonjhar under State Plan for the year 2025-26,Technical,Bid opening summary,Santosh Kumar Behera,03-Sep-2025 01:22 PM,technical_549899.pdf,Finance,Bid opening summary,Santosh Kumar Behera,08-Oct-2025 01:14 PM,finance_549899.pdf,BOQ Comparative Chart,Santosh Kumar Behera,Internal,SE Ghatagaon R and B Division DAO-I Ghatagaon R and B Division PA to CCE Keonjhar R and B Circle,Santosh Kumar Behera,26-Sep-2025 02:15 PM,08-Oct-2025 12:30 PM,techsummary_549899.pdf (2659.16 KB),20-Jan-2026,"INR 29,280,731",270.0,Santosh Kumar Behera,20-Jan-2026 12:17 PM,AOCBoxCulvertHarichandanpurDaitari.pdf (1616.00 KB),1st Lowest Bidder Winner of Lottery,1,3060929,ALEKH BHARATI CONSTRUCTIONS PRIVATE LIMITED,02-Sep-2025 01:54 PM,Rejected-Technical,As per decision of technical evaluation committee,26-Sep-2025 02:15 PM,AOC,Construction of Box cell culvert over local nallah at 18/050 km on Harichandanpur to Daitari Road (ODR) in the district of Keonjhar under State Plan for the year 2025-26,Construction of Box cell culvert over local nallah at 18/050 km on Harichandanpur to Daitari Road (ODR) in the district of Keonjhar under State Plan for the year 2025-26,Please refer Tender Documents ,NA ,"3,44,44,000",Civil Works - Roads,NA ,Tender,90.0,270.0,Ghatagaon,758027.0,NA ,NA ,NA ,O/o the CCE Keonjhar (R and B) Circle,No ,No,"3,44,500",Yes,fixed,,Nil,Nil,"10,000",0.0,Nil,Nil,No,19-Aug-2025 05:30 PM,03-Sep-2025 11:30 AM,19-Aug-2025 05:30 PM,02-Sep-2025 04:00 PM,NA ,NA ,19-Aug-2025 05:30 PM,02-Sep-2025 04:00 PM,08-Oct-2025 12:30 PM,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender paper Cost and EMD,PAN,GSTIN,Contractor RC,Affidavit",CCE Keonjhar (R and B) Circle,"O/o the CCE Keonjhar (R and B) Circle, Keonjhar-758001",EIC-CIVIL||SERNB-CIRCLE-KEONJHAR,CCEKC - 08 / 2025-26,2025_EICCL_117055_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3060934,AMBIKA PRASAD SINGH,02-Sep-2025 01:08 PM,Rejected-Technical,As per decision of technical evaluation committee,26-Sep-2025 02:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machineries, work in hand, work experience",,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3058509,BISHNU PRASAD SETHY,01-Sep-2025 10:54 AM,Rejected-Technical,As per decision of technical evaluation committee,26-Sep-2025 02:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3044105,CHINMAYA CHIRASUNDAR TRIPATHY,25-Aug-2025 10:24 AM,Rejected-Technical,As per decision of technical evaluation committee,26-Sep-2025 02:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3050536,Dhabaleswar Pattanaik,27-Aug-2025 10:25 AM,Accepted-AOC,1st Lowest Bidder Winner of Lottery,20-Jan-2026 12:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3060053,GADADHAR NAYAK,01-Sep-2025 08:10 PM,Rejected-Technical,As per decision of technical evaluation committee,26-Sep-2025 02:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3061310,MANAS RANJAN SAMAL,02-Sep-2025 03:07 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,29-Oct-2025 06:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3061398,M/S BISNU CHARAN BEHERA,02-Sep-2025 03:47 PM,Rejected-Technical,As per decision of technical evaluation committee,26-Sep-2025 02:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3058920,PARAMESWAR MALLICK,01-Sep-2025 01:55 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,29-Oct-2025 06:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3058218,RABINDRA KUMAR SAHOO,31-Aug-2025 09:58 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,29-Oct-2025 06:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
