S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3134483.0,SRIKUMAR BISWAS(S.C),INR,"431,966",Finance,Tender Opening,Jay Prakash Soren,30-Jan-2026 11:16 AM,finance_555618.pdf,BOQ Comparative Chart,Executive Engineer,Internal,"Estimator, DAO-I, EE",Jay Prakash Soren,30-Jan-2026 11:48 AM,finsummary_555618.pdf (589.17 KB),CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR,2025_CERWI_119391_6,EERWNGP Online 07 2025 26,"S/R to Saruguda to Dengatotaguda(Road-A) such as Pot hole repair, CD Maintenance, Signage and Berm filling (Ch-0/000 to 4/960 Km) in Nandahandi Block for the year 2025-26",Executive Engineer,Internal,"Estimator, DAO-I, EE",Jay Prakash Soren,30-Jan-2026 11:25 AM,techsummary_555618.pdf (589.17 KB),1,3137135,AMLAN JYOTI MADALA,20-Oct-2025 12:15 AM,Rejected-AOC,Disqualified in transparent lottery,30-Jan-2026 11:56 AM,30-Jan-2026,"INR 508,135",60.0,Jay Prakash Soren,30-Jan-2026 11:56 AM,290.pdf (562.00 KB),AOC,1.0,Modification of class of Contractor,Other,,1.0,ICICI BANK,"4,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR,EERWNGP Online 07 2025 26,2025_CERWI_119391_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"5,081",Yes,percentage,1.0%,Nil,Nil,13-Oct-2025 11:25 AM,22-Oct-2025 11:00 AM,13-Oct-2025 05:00 PM,20-Oct-2025 03:00 PM,13-Oct-2024 03:48 PM ,20-Oct-2025 03:00 PM ,13-Oct-2025 05:00 PM,20-Oct-2025 03:00 PM,"S/R to Saruguda to Dengatotaguda(Road-A) such as Pot hole repair, CD Maintenance, Signage and Berm filling (Ch-0/000 to 4/960 Km) in Nandahandi Block for the year 2025-26","S/R to Saruguda to Dengatotaguda(Road-A) such as Pot hole repair, CD Maintenance, Signage and Berm filling (Ch-0/000 to 4/960 Km) in Nandahandi Block for the year 2025-26",Please refer to tender documents ,NA ,"5,08,135",Civil Works - Roads,NA ,Tender,90.0,60.0,Nandahandi,764078.0,NA ,NA ,NA ,"RURAL WORKS DIVISION-I, NAWARANGPUR",No ,No,Executive Engineer,"RURAL WORKS DIVISION-I, NAWARANGPUR",1.0,Fee/PreQual/Technical/Finance,.pdf,License PAN Card GSTIN Affidavit and as per DTCN,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3136621,ANSHUMAN KHADGARAY,19-Oct-2025 07:56 PM,Rejected-AOC,Disqualified in transparent lottery,30-Jan-2026 11:56 AM,,,,,,,AOC,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3137472,ASHOK KUMAR CHOUDHURY,20-Oct-2025 02:06 PM,Rejected-AOC,Disqualified in transparent lottery,30-Jan-2026 11:56 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3137884,BIKASH KUMAR AGRAWAL,20-Oct-2025 01:15 PM,Rejected-AOC,Disqualified in transparent lottery,30-Jan-2026 11:56 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3136388,CHANDRA HARIJAN,19-Oct-2025 09:46 PM,Rejected-AOC,Disqualified in transparent lottery,30-Jan-2026 11:56 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3136761,GHANA BHATRA,19-Oct-2025 08:53 PM,Rejected-AOC,Disqualified in transparent lottery,30-Jan-2026 11:56 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3135676,ISRAEL KHAN,19-Oct-2025 06:32 PM,Rejected-AOC,Disqualified in transparent lottery,30-Jan-2026 11:56 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3135465,M/S ABANI KUMAR MISHRA,19-Oct-2025 12:14 PM,Rejected-AOC,Disqualified in transparent lottery,30-Jan-2026 11:56 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3134483,SRIKUMAR BISWAS(S.C),19-Oct-2025 09:44 AM,Accepted-AOC,Awarded of Contract,30-Jan-2026 11:56 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3135923,SUJIT KUMAR NAYAK,19-Oct-2025 02:25 PM,Rejected-AOC,Disqualified in transparent lottery,30-Jan-2026 11:56 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
