Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
21-Jan-2026,"INR 22,727,230",180.0,Sarat Chandra Ghadei,21-Jan-2026 05:11 PM,AOC_SMP_10.pdf (653.00 KB),AOC,MANAGING DIRECTOR OF OCC LTD.,Internal,,Pratap Chandra Chaudhury,15-Nov-2025 04:46 PM,finsummary_548821.pdf (712.31 KB),Finance,Opened Successfully.,Pratap Chandra Chaudhury,17-Oct-2025 02:10 PM,,BOQ Comparative Chart,1,3048923,AMRIT PRADHAN,26-Aug-2025 02:34 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,15-Nov-2025 04:46 PM,Technical,Opened Successfully.,Pratap Chandra Chaudhury,29-Aug-2025 01:32 PM,,1.0,3051505.0,SADASIBA SAHU,INR,"19,320,419",ODISHA CONSTRUCTION CORPORATION LTD,2025_OCCL_116649_1,E-procurement Notice No.32/OCCL/2025-26(on-line),Improvement to Canal Service Road in between RD 54.70 KM to RD 58.45 KM of Huma Tail Distributary for 2024-25.,MANAGING DIRECTOR OF OCC LTD.,Internal,,Pratap Chandra Chaudhury,16-Oct-2025 11:40 PM,17-Oct-2025 11:30 AM,techsummary_548821.pdf (51.98 KB),AOC,MANAGING DIRECTOR OF OCC LTD.,"ODISHA CONSTRUCTION CORPORATION Ltd. UNIT - VIII, GOPABANDHUNAGAR,BBSR-751012",1.0,ICICI BANK,"2,27,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"GST,PAN,EPF registration certificate, Valid OCC Ltd enlistment certificate and EMD (Mandatory) etc.",ODISHA CONSTRUCTION CORPORATION LTD,E-procurement Notice No.32/OCCL/2025-26(on-line),2025_OCCL_116649_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,08-Aug-2025 06:00 PM,29-Aug-2025 12:00 PM,08-Aug-2025 06:00 PM,28-Aug-2025 05:30 PM,08-Aug-2025 06:00 PM ,14-Aug-2025 03:30 PM ,08-Aug-2025 06:00 PM,28-Aug-2025 05:30 PM,17-Oct-2025 11:30 AM,"11,800",Nil,Nil,No,Improvement to Canal Service Road in between RD 54.70 KM to RD 58.45 KM of Huma Tail Distributary for 2024-25.,Improvement to Canal Service Road in between RD 54.70 KM to RD 58.45 KM of Huma Tail Distributary for 2024-25.,AS PER DTCN. ,NA ,"2,27,27,230",Civil Works - Others,NA ,Tender,90.0,180.0,Sambalpur town in Sambalpur district.,768001.0,NA ,NA ,NA ,HEAD OFFICE OCCL,No ,No,AOC
,,,,,,,,,,,,,,,,,,,2,3050574,MITTAL INFRAPROJECTS,26-Aug-2025 08:24 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,15-Nov-2025 04:46 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,"Other documents as per DTCN. EMD is in BG Shape, Provide Original BG during technical bid opening.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,3,3052244,M/S SAHARIA CONSTRUCTION,28-Aug-2025 12:11 PM,Rejected-Technical,Non - Responsive.,16-Oct-2025 11:40 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,4,3050761,NIKHIL SARDA,26-Aug-2025 10:17 PM,Rejected-Finance,L2 BIDDER.,15-Nov-2025 04:46 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,5,3033224,Ranjan Kumar Das,17-Aug-2025 12:58 PM,Rejected-Finance,L2 BIDDER.,15-Nov-2025 04:46 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,6,3052424,RUPESH AGRAWAL PROP. R S INFRA,28-Aug-2025 01:03 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,15-Nov-2025 04:46 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,7,3052051,RYTHAM AGRAWAL,28-Aug-2025 09:04 AM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,15-Nov-2025 04:46 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,8,3051505,SADASIBA SAHU,28-Aug-2025 10:27 AM,Accepted-AOC,L1 SUCCESSFUL BIDDER.,21-Jan-2026 05:11 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,9,3048825,SHIVAJYOTI CONPRO PVT. LTD.,28-Aug-2025 11:15 AM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,15-Nov-2025 04:46 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,10,3045720,SUSANTA KUMAR BADHAI,26-Aug-2025 05:48 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,15-Nov-2025 04:46 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,11,3041471,SUSHANTA MISHRA,27-Aug-2025 09:17 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,15-Nov-2025 04:46 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
