EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"16,805",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"GSTIN, RC, PAN, TENDER COST, EMD, AFFIDAVIT AND OTHER DOCUMENTS AS PER DTCN",CE RW I||RWCIRCLE-SAMBALPUR||RW Division Kuchinda,online Tender-06 RWD Kuchinda 2025-26,2025_CERWI_122646_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,08-Dec-2025 01:00 PM,17-Dec-2025 11:00 AM,08-Dec-2025 01:00 PM,16-Dec-2025 05:00 PM,08-Dec-2025 01:00 PM ,15-Dec-2025 05:00 PM ,08-Dec-2025 01:00 PM,16-Dec-2025 05:00 PM,Superintending Engineer,"RURAL WORKS DIVISION, KUCHINDA",Boundary wall for R.W. Colony at Kuchinda for the year 2025-26,Boundary wall for R.W. colony at Kuchinda for the year 2025-26,NA ,NA ,"16,80,454",Civil Works - Buildings,NA ,Tender,90.0,90.0,Kuchinda,768222.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, KUCHINDA",No ,No,"6,000",0.0,Nil,Nil,No,AOC,1,3300572,AMIT AGRAWAL,14-Dec-2025 12:45 AM,Rejected-AOC,Reject,31-Jan-2026 08:46 PM,27-Jan-2026,"INR 1,428,554",90.0,Debarsi Naik,31-Jan-2026 08:46 PM,652.pdf (718.00 KB),AOC,Superintending Engineer,Internal,"Divisional Accounts Officer, JE Estimators",Debarsi Naik,08-Jan-2026 12:55 PM,techsummary_569674.pdf (999.18 KB),CE RW I||RWCIRCLE-SAMBALPUR||RW Division Kuchinda,2025_CERWI_122646_1,online Tender-06 RWD Kuchinda 2025-26,Boundary wall for R.W. Colony at Kuchinda for the year 2025-26,Superintending Engineer,Internal,"Divisional Accounts Officer, JE Estimators",Debarsi Naik,08-Jan-2026 01:18 PM,finsummary_569674.pdf (999.18 KB),Finance,Bid Opened,Debarsi Naik,18-Dec-2025 12:49 PM,finance_569674.pdf,BOQ Comparative Chart,1.0,3294799.0,MANOJ KUMAR BALIYARSINGH,INR,"1,428,554",AOC
,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3300941,BINAPANI PATEL,14-Dec-2025 12:18 PM,Rejected-AOC,Reject,31-Jan-2026 08:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3304678,Binata Pandey,15-Dec-2025 05:37 PM,Rejected-AOC,Reject,31-Jan-2026 08:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3302266,BISHAL AGRAWAL,14-Dec-2025 11:32 PM,Rejected-AOC,Reject,31-Jan-2026 08:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3304755,MANOJ DEV,15-Dec-2025 06:40 PM,Rejected-AOC,Reject,31-Jan-2026 08:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3294799,MANOJ KUMAR BALIYARSINGH,11-Dec-2025 12:24 PM,Accepted-AOC,Accept through transparent lottery system,31-Jan-2026 08:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3306654,MISIRA KUMAR DHAR,16-Dec-2025 11:47 AM,Rejected-AOC,Reject,31-Jan-2026 08:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3306531,PRASANTA KUMAR SAHU,16-Dec-2025 02:30 PM,Rejected-AOC,Reject,31-Jan-2026 08:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3300899,RAJESH KUMAR PATEL,14-Dec-2025 12:15 PM,Rejected-AOC,Reject,31-Jan-2026 08:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3303488,ROJASH MAHAKUL,15-Dec-2025 01:45 PM,Rejected-AOC,Reject,31-Jan-2026 08:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
