Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
ST and SC Development Deptt||ITDA Baripada,2025_STSCD_119029_14,ITDABPD-03/2025-26,Construction of New Hostel Building (50 seated) at Uttarpal Ashram School PSH under Badasahi Block,1.0,3165294.0,NANA SOREN,INR,"13,282,231.478",1,3163136,AKSHAYA KUMAR ROY,28-Oct-2025 01:27 PM,Rejected-Finance,Not Qualified in transparent lottery system,28-Jan-2026 02:31 PM,28-Jan-2026,"INR 13,282,231.478",270.0,PRANAYA RANJAN BEHERA,28-Jan-2026 03:41 PM,14.pdf (911.00 KB),Finance,Subject to verification of original document,PRANAYA RANJAN BEHERA,28-Jan-2026 02:19 PM,,BOQ Comparative Chart,"Collector and District Magistrate, Mayurbhanj",Internal,PA ITDA and Others,PRANAYA RANJAN BEHERA,28-Jan-2026 02:31 PM,finsummary_554930.pdf (3452.31 KB),"Collector and District Magistrate, Mayurbhanj",Internal,PA ITDA and Others,PRANAYA RANJAN BEHERA,28-Jan-2026 02:24 PM,techsummary_554930.pdf (3452.31 KB),AOC,1.0,ICICI BANK,09-Oct-2025 10:00 AM,30-Oct-2025 11:00 AM,09-Oct-2025 10:00 AM,29-Oct-2025 05:30 PM,NA ,NA ,09-Oct-2025 10:00 AM,29-Oct-2025 05:30 PM,"10,000",0.0,Nil,Nil,No,"1,56,300",Yes,fixed,,Nil,Nil,Construction of New Hostel Building (50 seated) at Uttarpal Ashram School PSH under Badasahi Block,Construction of New Hostel Building (50 seated) at Uttarpal Ashram School PSH under Badasahi Block,B and A ,NA ,"1,56,24,316",Civil Works - Buildings,NA ,Tender,90.0,270.0,BARIPADA,757002.0,NA ,NA ,NA ,"ITDA, BARIPADA",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Contractor License, PAN, GST / Affidavit / Agreement / NEFT Details / Annex-A to D etc.,",ST and SC Development Deptt||ITDA Baripada,ITDABPD-03/2025-26,2025_STSCD_119029_14,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,PA ITDA BARIPADA,"MURGABADI, BARIPADA",AOC
,,,,,,,,,2,3130725,ASHIS KUMAR PAUL,22-Oct-2025 02:55 PM,Rejected-Finance,Not Qualified in transparent lottery system,28-Jan-2026 02:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,3129424,BHASKAR CHANDRA SAHU,24-Oct-2025 02:06 PM,Rejected-Finance,Not Qualified in transparent lottery system,28-Jan-2026 02:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3144031,BRUNDABAN LENKA,28-Oct-2025 08:45 PM,Rejected-Finance,Not Qualified in transparent lottery system,28-Jan-2026 02:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3149379,CHANDAN KUMAR BEHERA,25-Oct-2025 03:32 PM,Rejected-Finance,Not Qualified in transparent lottery system,28-Jan-2026 02:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,3165168,CHITTARANJAN MALLIK,29-Oct-2025 07:53 AM,Rejected-Finance,Not Qualified in transparent lottery system,28-Jan-2026 02:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,3160693,DIBYARANJAN SALANGI,27-Oct-2025 06:52 PM,Rejected-Finance,Not Qualified in transparent lottery system,28-Jan-2026 02:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,3166045,Dinesh Kumar Nayak,29-Oct-2025 04:00 PM,Rejected-Finance,Not Qualified in transparent lottery system,28-Jan-2026 02:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,3124807,JAYAJIT SAHU,27-Oct-2025 06:53 PM,Rejected-Finance,Not Qualified in transparent lottery system,28-Jan-2026 02:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,3163566,JAYANARAYAN JENA,29-Oct-2025 08:42 AM,Rejected-Finance,Not Qualified in transparent lottery system,28-Jan-2026 02:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
