S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
1.0,3169161.0,SRINIBAS PADHI,INR,"5,000,494","S.E, R.W.D-II, Ganjam, Berhampur",Internal,"Divisional Accounts Officer, Junior Engineer Estimator",Sudipta Senapati,12-Jan-2026 02:05 PM,finsummary_559395.pdf (1903.87 KB),Technical,Document to be verified and under scrutiny,Babina Sahu,07-Nov-2025 07:52 AM,technical_559395.pdf,CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-GANJAM - II,2025_CERWI_120256_3,Online Tender/15/SERWD-II/2025-26,S/R L044-KS Nagar NK Kharida road for the year 2025-26,Finance,Tender will be finalized after downloaded Bid documents scrutinized.,Babina Sahu,17-Nov-2025 02:11 PM,finance_559395.pdf,BOQ Comparative Chart,Executive Engineer,Internal,Junior Engineer (Estr) and Divisional Accounts Officer,Babina Sahu,12-Nov-2025 06:30 AM,14-Nov-2025 11:00 AM,techsummary_559395.pdf (435.09 KB),12-Jan-2026,"INR 5,000,494",60.0,Sudipta Senapati,12-Jan-2026 02:10 PM,3KSngrNKkharidaWO.pdf (876.00 KB),Work Order,1,3174971,Ajit Kumar Sahu,02-Nov-2025 06:24 PM,Rejected-AOC,Unsuccessful Bidder,12-Jan-2026 02:10 PM,AOC,S/R L044-KS Nagar NK Kharida road for the year 2025-26,S/R L044-KS Nagar NK Kharida road for the year 2025-26,Please refer Tender documents. ,NA ,"58,82,242",Civil Works - Roads,NA ,Tender,90.0,60.0,Berhampur,760010.0,NA ,NA ,NA ,"O/o the S.E R.W.D-II, Ganjam, Berhampur",No ,No,"58,900",Yes,fixed,,Nil,Nil,"Superintending Engineer RWD-II, GJM, BAM","O/o the Superintending Engineer Rural Works Division-II, Ganjam, Berhampur",1.0,Fee/PreQual/Technical,.pdf,Valid RC Copy Affidavit EMD Tender paper Cost PAN and GST Regi. as per DTCN,CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-GANJAM - II,Online Tender/15/SERWD-II/2025-26,2025_CERWI_120256_3,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,28-Oct-2025 06:00 PM,04-Nov-2025 11:00 AM,28-Oct-2025 06:00 PM,03-Nov-2025 05:00 PM,28-Oct-2025 06:00 PM ,03-Nov-2025 12:00 PM ,28-Oct-2025 06:00 PM,03-Nov-2025 05:00 PM,14-Nov-2025 11:00 AM,"10,000",0.0,Nil,Nil,No,1.0,Corrigendum,Other,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3168563,AKASH KUMAR PANDA,31-Oct-2025 04:03 PM,Rejected-AOC,Unsuccessful Bidder,12-Jan-2026 02:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3176670,Ashok Kumar Behera,03-Nov-2025 12:41 PM,Rejected-AOC,Unsuccessful Bidder,12-Jan-2026 02:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3173057,Ashok Kumar Nayak,02-Nov-2025 10:50 AM,Rejected-AOC,Unsuccessful Bidder,12-Jan-2026 02:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3174359,DEBASIS SAHU,02-Nov-2025 04:21 PM,Rejected-AOC,Unsuccessful Bidder,12-Jan-2026 02:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3171942,GANESH SAHU,01-Nov-2025 12:50 PM,Rejected-AOC,Unsuccessful Bidder,12-Jan-2026 02:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3169577,NISHANTA KUMARA MAHAPATRA,31-Oct-2025 01:03 PM,Rejected-AOC,Unsuccessful Bidder,12-Jan-2026 02:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3173124,Sagar Kumar Panigrahi,01-Nov-2025 08:16 PM,Rejected-AOC,Unsuccessful Bidder,12-Jan-2026 02:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3173221,Samira Kumar Panigrahy,02-Nov-2025 11:06 AM,Rejected-AOC,Unsuccessful Bidder,12-Jan-2026 02:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3168193,shivangi kumari,30-Oct-2025 04:45 PM,Rejected-AOC,Unsuccessful Bidder,12-Jan-2026 02:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
