Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Cost EMD GST RC Affidavit regarding correctness Other documents as per DTCN,1.0,ICICI BANK,Construction of Government Ayurvedic Dispensary building at Ghantianali in Kaniha block of Angul District WITHOUT COMPOUND WALL,Construction of Government Ayurvedic Dispensary building at Ghantianali in Kaniha block of Angul District WITHOUT COMPOUND WALL,NA ,NA ,"18,97,107",Civil Works - Buildings,NA ,Tender,90.0,180.0,Angul,759143.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, ANGUL",No ,No,Executive Engineer,"RURAL WORKS DIVISION, ANGUL",05-Sep-2025 02:00 PM,15-Sep-2025 11:00 AM,05-Sep-2025 02:00 PM,12-Sep-2025 05:00 PM,05-Sep-2025 02:00 PM ,11-Sep-2025 05:00 PM ,05-Sep-2025 02:00 PM,12-Sep-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,"19,100",Yes,fixed,,Nil,Nil,CE RW I||RWCIRCLE-ANGUL||RW-DIVISION-ANGUL,Online AGL-04,2025_CERWI_117711_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,EE,Internal,DAO Est,Raju Dhaunlia,05-Jan-2026 05:12 PM,finsummary_551604.pdf (197.77 KB),CE RW I||RWCIRCLE-ANGUL||RW-DIVISION-ANGUL,2025_CERWI_117711_1,Online AGL-04,Construction of Government Ayurvedic Dispensary building at Ghantianali in Kaniha block of Angul District WITHOUT COMPOUND WALL,1.0,3073735.0,MURALIDHAR SAMAL,INR,"1,612,730",Finance,11 Bid found,Raju Dhaunlia,05-Jan-2026 05:02 PM,finance_551604.pdf,BOQ Comparative Chart,1,3077842,BABULA KUMAR PRADHAN,12-Sep-2025 04:59 PM,Rejected-Finance,Not won,05-Jan-2026 05:12 PM,05-Jan-2026,"INR 1,612,730",180.0,Raju Dhaunlia,05-Jan-2026 05:17 PM,64Ghanta.pdf (501.00 KB),64P-I,EE,Internal,DAO Est,Raju Dhaunlia,05-Jan-2026 05:06 PM,techsummary_551604.pdf (197.77 KB),AOC
,,.xls,Boq,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3076746,BAPUJI KUMAR SAHOO,11-Sep-2025 06:11 PM,Rejected-Finance,Not won,05-Jan-2026 05:12 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3068849,BISHNU KUMAR DAS,08-Sep-2025 01:29 PM,Rejected-Finance,Not won,05-Jan-2026 05:12 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3077277,DEBASISH PRADHAN,12-Sep-2025 12:17 PM,Rejected-Finance,Not won,05-Jan-2026 05:12 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3077260,DEVENDRA KUMAR AGARWALLA,12-Sep-2025 12:01 PM,Rejected-Finance,Not won,05-Jan-2026 05:12 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3075723,M/S NANDA KISHORE NATH,11-Sep-2025 11:40 AM,Rejected-Finance,Not won,05-Jan-2026 05:12 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3073735,MURALIDHAR SAMAL,10-Sep-2025 12:41 PM,Accepted-AOC,ok,05-Jan-2026 05:17 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3077386,PUSPALATA SAHOO,12-Sep-2025 01:03 PM,Rejected-Finance,Not won,05-Jan-2026 05:12 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3077501,SAROJ KUMAR BEHERA,12-Sep-2025 01:50 PM,Rejected-Finance,Not won,05-Jan-2026 05:12 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3076700,TIKAN KUMAR PRADHAN,11-Sep-2025 05:37 PM,Rejected-Finance,Not won,05-Jan-2026 05:12 PM,,,,,,,,,,,,,,AOC
