S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,2400259.0,GVV CONSTRUCTIONS PRIVATE LIMITED,INR,"378,621,664",CE Roads-I Odisha,Internal,,Pradipta Kumar Nayak,05-Jan-2026 06:11 PM,finsummary_482634.pdf (986.46 KB),EIC-CIVIL,2024_EICCL_99252_19,CE-DPI AND R- 32/2023-24,"Improvement such as widening and strengthening of Baisingha to Sasapasi road from 5/000 km to 27/628 km (except from 8/970 km to 9/390 km, 13/850 km to 14/250 km, 14/760 km to 15/160 km) in the district of Dhenkanal under State Plan",Technical,Opening of tender,Pradipta Kumar Nayak,22-Jan-2024 03:10 PM,,Finance,Finance opening,Siba Prasad Panigrahy,02-Feb-2024 12:26 PM,,BOQ Comparative Chart,EIC Civil Odisha,Internal,,Pradipta Kumar Nayak,31-Jan-2024 07:56 PM,02-Feb-2024 11:30 AM,techsummary_482634.pdf (201.03 KB),05-Jan-2026,"INR 378,621,664",630.0,Pradipta Kumar Nayak,05-Jan-2026 06:14 PM,Baisinga_Sasaposi.pdf (986.00 KB),1600 P1 of 2025-26,1,2398746,Ashirbad Eng & Construction Private Limited,19-Jan-2024 07:20 PM,Rejected-AOC,L2 bidder,05-Jan-2026 06:15 PM,AOC,EIC-CIVIL,CE-DPI AND R- 32/2023-24,2024_EICCL_99252_19,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,"42,54,000",Yes,fixed,,Nil,Nil,"Improvement such as widening and strengthening of Baisingha to Sasapasi road from 5/000 km to 27/628 km (except from 8/970 km to 9/390 km, 13/850 km to 14/250 km, 14/760 km to 15/160 km) in the district of Dhenkanal under State Plan","Improvement such as widening and strengthening of Baisingha to Sasapasi road from 5/000 km to 27/628 km (except from 8/970 km to 9/390 km, 13/850 km to 14/250 km, 14/760 km to 15/160 km) in the district of Dhenkanal under State Plan",Please refer Tender documents. ,NA ,"42,54,17,600",Civil Works - Roads,NA ,Tender,90.0,630.0,In Dhenkanal Dist,751001.0,NA ,NA ,NA ,"O/o the E.I.C. Civil, Odisha, Bhubaneswar",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender Cost and EMD, GSTIN, PAN, RC and Affidavit","Chief Engineer, DPI and Roads, Odisha","Office of the E.I.C. Civil, Odisha, Nirman Soudha, New Building, Unit-V, Bhubaneswar",05-Jan-2024 06:55 PM,22-Jan-2024 11:00 AM,05-Jan-2024 06:55 PM,20-Jan-2024 05:30 PM,NA ,NA ,05-Jan-2024 06:55 PM,20-Jan-2024 05:30 PM,02-Feb-2024 11:30 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2379335,Bhagabati build and constructions Pvt Ltd,19-Jan-2024 12:13 PM,Rejected-AOC,L2 bidder,05-Jan-2026 06:15 PM,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries and work experience,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2398899,BIJOY BUILDCONS PVT. LTD.,20-Jan-2024 04:24 PM,Rejected-AOC,L2 bidder,05-Jan-2026 06:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2400259,GVV CONSTRUCTIONS PRIVATE LIMITED,20-Jan-2024 01:48 PM,Accepted-AOC,L1 bidder,05-Jan-2026 06:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantities,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2388042,MACKINTOSH BURN LIMITED,19-Jan-2024 03:18 PM,Rejected-AOC,L2 bidder,05-Jan-2026 06:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2398847,M/s. fortune group,20-Jan-2024 12:13 PM,Rejected-AOC,L2 bidder,05-Jan-2026 06:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2400364,R K ASSOCIATES,20-Jan-2024 12:52 PM,Rejected-Finance,Other than L1 and L2 bidder,05-Jan-2026 06:11 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
