Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"CE,Drainage,Cuttack||SE Drainage Circle Bhubaneswar||EE Drainage Divn. Khurda",EE-DD-KHR-No.06/2025-26,2025_CEDC_120154_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Contractor R.C, PAN, GSTIN, Affidavits, NRC, undertaking and any other documents as per SBD/DTCN",Executive Engineer,"O/o the E.E, Drainage Division, Khordha",EE-DD-KHR-01/2025-26 Improvement of drain from village Haripur to Amaraoli along with structures outfalling to chilika lake in chilika Constituency,Improvement to drain,Please refer Tender documents. ,NA ,"39,62,692",Civil Works - Others,NA ,Tender,90.0,180.0,Chilika,752037.0,NA ,NA ,NA ,"O/o the E.E, Drainage Division, Khordha",No ,No,"39,627",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,28-Oct-2025 11:00 AM,13-Nov-2025 11:00 AM,28-Oct-2025 11:00 AM,12-Nov-2025 05:30 PM,28-Oct-2025 11:00 AM ,04-Nov-2025 05:30 PM ,28-Oct-2025 11:00 AM,12-Nov-2025 05:30 PM,"6,000",0.0,Nil,Nil,No,AOC,EE Drainage Division Khurda,Internal,Estimator and DAO Drainage Division Khurda,Purna Chandra Swain,13-Jan-2026 12:00 PM,finsummary_558657.pdf (1138.60 KB),Finance,admited,Purna Chandra Swain,13-Nov-2025 12:57 PM,,BOQ Comparative Chart,13-Jan-2026,"INR 3,368,684.7",180.0,Purna Chandra Swain,13-Jan-2026 12:02 PM,WOHaripurtoAmaraoli.pdf (1139.00 KB),Contract awarded,1,3184477,ABINASH PRASAD BEHERA,05-Nov-2025 02:39 PM,Rejected-Finance,Did not win the lottery,13-Jan-2026 12:00 PM,"CE,Drainage,Cuttack||SE Drainage Circle Bhubaneswar||EE Drainage Divn. Khurda",2025_CEDC_120154_1,EE-DD-KHR-No.06/2025-26,EE-DD-KHR-01/2025-26 Improvement of drain from village Haripur to Amaraoli along with structures outfalling to chilika lake in chilika Constituency,1.0,3203234.0,DEEPAK KUMAR MOHANTY,INR,"3,368,684.7","EE, Drainage Division, Khurda",Internal,"Estimator and DAO Office of the EE, Drainage Division, Khurda",Purna Chandra Swain,28-Nov-2025 05:08 PM,techsummary_558657.pdf (1134.32 KB),AOC
,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,3181755,CHANDAN KUMAR PAIKARAY,04-Nov-2025 06:04 PM,Rejected-Finance,Did not win the lottery,13-Jan-2026 12:00 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,3,3218241,CHANDRAKANTA BARAL,12-Nov-2025 04:58 PM,Rejected-Finance,Did not win the lottery,13-Jan-2026 12:00 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,4,3203234,DEEPAK KUMAR MOHANTY,09-Nov-2025 07:32 PM,Accepted-AOC,Won the lottery,13-Jan-2026 12:02 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,5,3209044,HRUSHIKESH BISWAL,10-Nov-2025 05:08 PM,Rejected-Finance,Did not win the lottery,13-Jan-2026 12:00 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,6,3209072,JAGABANDHU BISWAL,10-Nov-2025 05:18 PM,Rejected-Finance,Did not win the lottery,13-Jan-2026 12:00 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,7,3217958,KOHINOOR PARWIN,12-Nov-2025 03:58 PM,Rejected-Finance,Did not win the lottery,13-Jan-2026 12:00 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,8,3208678,MANIKA JIT,10-Nov-2025 04:25 PM,Rejected-Finance,Did not win the lottery,13-Jan-2026 12:00 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,9,3192495,MANORANJAN SRICHANDAN,12-Nov-2025 01:59 PM,Rejected-Finance,Did not win the lottery,13-Jan-2026 12:00 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,10,3217859,NIHAR JENA,12-Nov-2025 03:58 PM,Rejected-Technical,Does not satisfy as per DTCN,28-Nov-2025 05:08 PM,,,,,,,,,,,,,,,,AOC
