Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1,Fee/PreQual/Technical,.pdf,"Paper Cost, EMD in online mode, RC, PAN, GST, Affidavit and others as per DTCN","7,080",0.0,Nil,Nil,No,installation and Energisation of Alusingh-II L.I.P under Hindol Block in Dhenkanal District.,installation and Energisation of Alusingh-II L.I.P under Hindol Block in Dhenkanal District.,Please refer Tender documents. ,NA ,"30,44,798",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,90.0,Dhenkanal,759001.0,NA ,NA ,NA ,"EE, LI Division, Dhenkanal",No ,No,"EE, LI Division, Dhenkanal","EE, LI Division, Dhenkanal","30,448",Yes,fixed,,Nil,Nil,26-Nov-2025 09:00 AM,05-Dec-2025 11:00 AM,26-Nov-2025 09:00 AM,04-Dec-2025 05:00 PM,NA ,NA ,26-Nov-2025 09:00 AM,04-Dec-2025 05:00 PM,22-Dec-2025 09:00 AM,Orissa Lift Irrigation Corporation||LI ANGUL||LI Division Dhenkanal,EEDKL(OLIC)-03/2025-26,2025_OLIC_121931_23,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,ICICI BANK,AOC,Technical,Opened,PRATYUSA KUMAR MALLA,09-Dec-2025 03:16 PM,,Orissa Lift Irrigation Corporation||LI ANGUL||LI Division Dhenkanal,2025_OLIC_121931_23,EEDKL(OLIC)-03/2025-26,installation and Energisation of Alusingh-II L.I.P under Hindol Block in Dhenkanal District.,EE,Internal,DAo estimator,BIJAY KUMAR TARAI,17-Jan-2026 07:57 PM,finsummary_567056.pdf (60.04 KB),1.0,3273420.0,saumendu sutar,INR,"3,043,275.63",17-Jan-2026,"INR 3,043,275.63",90.0,BIJAY KUMAR TARAI,17-Jan-2026 08:00 PM,Tech.pdf (60.00 KB),Awarded,1,3276953,Pinaki Mishra,04-Dec-2025 03:55 AM,Rejected-Finance,L2 Bidder,17-Jan-2026 07:57 PM,EE,Internal,DAO estimator,BIJAY KUMAR TARAI,20-Dec-2025 10:57 PM,22-Dec-2025 09:00 AM,techsummary_567056.pdf (110.49 KB),Finance,Opened,BIJAY KUMAR TARAI,23-Dec-2025 07:30 PM,,BOQ Comparative Chart,AOC
2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3273420,saumendu sutar,04-Dec-2025 02:28 PM,Accepted-AOC,Awarded,17-Jan-2026 08:00 PM,,,,,,,,,,,,,,AOC
