S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,3113172.0,PRAVAT KUMAR NAYAK,INR,"2,167,978",Finance,U,SIDDHARTHA SHANKAR DAS,22-Nov-2025 12:27 PM,finance_553335.pdf,BOQ Comparative Chart,"Er Laxman Marndi, SE",Internal,"Somanath Tripathy, DAO, Sidhartha Sekhar Das, Estr, Satyaprakash Senapaty, JE",Laxman Marandi,22-Nov-2025 05:31 PM,finsummary_553335.pdf (414.18 KB),CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||EE Keonjhar Irrigation Divn Keonjhar,2025_KIDK_118339_42,BAID 02 OF 2025-26,Construction of RCC drain over Bandha Nallah near village Suapur for the year 2025-26,"Er Laxman Marndi, SE",Internal,"Somanath Tripathy, DAO, Sidhartha Sekhar Das, Estr, Satyaprakash Senapaty, JE",Laxman Marandi,22-Nov-2025 05:10 PM,techsummary_553335.pdf (414.18 KB),1,3102935,AMULYA PADHI,29-Sep-2025 05:54 PM,Rejected-Finance,R,22-Nov-2025 05:31 PM,27-Jan-2026,"INR 2,167,978",120.0,Laxman Marandi,27-Jan-2026 07:50 AM,42.pdf (307.00 KB),aoc,AOC,"6,000",Nil,Nil,No,Construction of RCC drain over Bandha Nallah near village Suapur for the year 2025-26,Construction of RCC drain over Bandha Nallah near village Suapur for the year 2025-26,Please refer Tender documents. ,NA ,"25,50,000",Civil Works - Others,NA ,Tender,90.0,120.0,Salapada,758020.0,NA ,NA ,NA ,"SE, Baitarani Irrigation Division, Salapada",No ,No,"SE, Baitarani Irrigation Division, Salapada","SE, Baitarani Irrigation Division, Salapada",25-Sep-2025 09:00 AM,10-Oct-2025 11:00 AM,25-Sep-2025 09:00 AM,09-Oct-2025 05:30 PM,NA ,NA ,25-Sep-2025 09:00 AM,09-Oct-2025 05:30 PM,"25,500",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, GSTIN, PAN, Affidavit, RC, No Relationship etc.",1.0,ICICI BANK,CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||EE Keonjhar Irrigation Divn Keonjhar,BAID 02 OF 2025-26,2025_KIDK_118339_42,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3106121,ASHIS KUMAR ROUT,03-Oct-2025 01:02 PM,Rejected-Finance,R,22-Nov-2025 05:31 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3112527,BANANI PADHIHARI,06-Oct-2025 03:29 PM,Rejected-Finance,R,22-Nov-2025 05:31 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3104903,BHIMASEN SETHI,01-Oct-2025 07:31 PM,Rejected-Finance,R,22-Nov-2025 05:31 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3112953,BIJAYANANDA SAHOO,06-Oct-2025 06:57 PM,Rejected-Finance,R,22-Nov-2025 05:31 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3108135,BIKASH KUMAR JENA,03-Oct-2025 08:07 PM,Rejected-Finance,R,22-Nov-2025 05:31 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3102788,Bisnu Prasad Behera,29-Sep-2025 04:09 PM,Rejected-Finance,R,22-Nov-2025 05:31 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3106017,DEEPAK KUMAR MAJHI,07-Oct-2025 07:28 PM,Rejected-Finance,R,22-Nov-2025 05:31 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3115119,DEEPAK KUMAR SAHOO,07-Oct-2025 09:14 PM,Rejected-Finance,R,22-Nov-2025 05:31 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3103099,DURYODHAN SAHOO,29-Sep-2025 09:56 PM,Rejected-Finance,R,22-Nov-2025 05:31 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
