S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage
1.0,3306745.0,SUSIL KUMAR SAMANTARAY,INR,"4,991,586",Technical,all are admitted,Kiranbala Samantaray,19-Dec-2025 12:53 PM,,Forest Environment and Climate Change Department||PCCF Kendu Leaf||CCF Bolangir||DFO Nawarangapur KL,2025_DFNWK_122752_1,DFO KL NGP FE AND CC 01/2025-26,Construction of 1No Range Office cum Residence at RO CG Campus under Raighar KL Range of Nabarangpur KL Division,Smt. Kiranbala Samantaray,Internal,Sri Nrusingh Prasad Patnaik Sri Santosh Kumar Sunani Sri Tapan Kumar Parichha Miss Roma Choudhury,Kiranbala Samantaray,23-Dec-2025 05:14 PM,finsummary_570046.pdf (756.25 KB),Smt. Kiranbala Samantaray,Internal,Sri Nrusingh Prasad Patnaik Sri Santosh Kumar Sunani Sri Tapan Kumar Parichha Miss Roma Choudhury,Kiranbala Samantaray,19-Dec-2025 01:58 PM,19-Dec-2025 02:00 PM,techsummary_570046.pdf (645.32 KB),Finance,All are admitted.,Kiranbala Samantaray,23-Dec-2025 05:02 PM,,BOQ Comparative Chart,1,3314780,AJAYA NAYAK,18-Dec-2025 05:00 PM,Rejected-Technical,Due to Non Submission of Valid Electrical License,19-Dec-2025 01:58 PM,30-Dec-2025,"INR 4,991,586",90.0,Kiranbala Samantaray,05-Jan-2026 01:10 PM,WorkOrderRaigharROcumRes.pdf (1215.00 KB),Contract awarded to Sri Susil Kumar Samantaray as L1 Bidder and Lottery winner,AOC,DFO KL Nabarangpur,O/o DFO KL Nabarangpur,Forest Environment and Climate Change Department||PCCF Kendu Leaf||CCF Bolangir||DFO Nawarangapur KL,DFO KL NGP FE AND CC 01/2025-26,2025_DFNWK_122752_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"69,874",No,fixed,,Nil,Nil,08-Dec-2025 05:30 PM,19-Dec-2025 11:30 AM,08-Dec-2025 05:30 PM,18-Dec-2025 05:30 PM,NA ,NA ,08-Dec-2025 05:30 PM,18-Dec-2025 05:30 PM,19-Dec-2025 02:00 PM,1.0,Fee/PreQual/Technical,.pdf,"Fee, Registration Certificate, Electrical License, GST AND IT Return Details, PAN Card",Construction of 1No Range Office cum Residence at RO CG Campus under Raighar KL Range of Nabarangpur KL Division,Civil Ei GPH,Please refer Tender documents. ,NA ,"58,71,763",Civil Works - Buildings,NA ,Tender,90.0,90.0,Raighar,764074.0,NA ,NA ,NA ,O/o DFO Nabarangpur(KL),No ,No,"10,000",Nil,Nil,Yes,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3314571,KRUTIBAS PANIGRAHI,18-Dec-2025 04:33 PM,Rejected-Technical,Due to Non Submission of Valid Electrical License,19-Dec-2025 01:58 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3309509,SIBA RANJAN PATRA,16-Dec-2025 08:33 PM,Rejected-Finance,Due to transparent lottery system,23-Dec-2025 05:14 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3310200,SIVARAM KRISHNA BISSOYI,17-Dec-2025 11:43 AM,Rejected-Finance,Due to transparent lottery system,23-Dec-2025 05:14 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3306745,SUSIL KUMAR SAMANTARAY,18-Dec-2025 01:00 PM,Accepted-AOC,Winner of the lottery system,05-Jan-2026 01:10 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
