Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Municipal Bodies||Boudhgarh NAC,OR/ULB/ BUD/5/ 2025-26,2025_ORULB_121186_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"2,854",Yes,fixed,,Nil,Nil,17-Nov-2025 10:00 AM,27-Nov-2025 11:00 AM,17-Nov-2025 10:00 AM,26-Nov-2025 05:00 PM,NA ,NA ,17-Nov-2025 10:00 AM,26-Nov-2025 05:00 PM,"2,000",0.0,Nil,Nil,No,Construction of Culvert at Khadalsahi Main road in ward No 05,Construction of CULVERT,Please refer Tender documents. ,NA ,"2,85,401",Civil Works - Others,NA ,Tender,90.0,NA ,Boudh,762014.0,NA ,NA ,NA ,Executive Officer NAC Boudhgarh,No ,No,1.0,TECHNICAL BID,Technical Bid,,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,1.0,ICICI BANK,Executive Officer NAC Boudhgarh,Executive Officer NAC Boudhgarh,AOC,1.0,3257061.0,Biswanath Patra,26-Nov-2025 04:04 PM,Accepted-AOC,AS PER LOTTERY,05-Jan-2026 03:57 PM,05-Jan-2026,"INR 242,620",60.0,Satya Narayan Pradhan,05-Jan-2026 03:57 PM,4.pdf (575.00 KB),AFTER DEPOSITING THE APS AND ISD THE WORK ORDER IS ISSUED,chairperson,Internal,"CM,EO.ME,AE,ACCT",Pabitra Mohan Pradhan,04-Jan-2026 11:44 AM,techsummary_563841.pdf (1621.02 KB),Municipal Bodies||Boudhgarh NAC,2025_ORULB_121186_4,OR/ULB/ BUD/5/ 2025-26,Construction of Culvert at Khadalsahi Main road in ward No 05,chairperson,Internal,"CM,EO,ME,AE,ACCT",Pabitra Mohan Pradhan,04-Jan-2026 05:58 PM,finsummary_563841.pdf (1621.02 KB),Finance,all bid are admitted,Pabitra Mohan Pradhan,29-Nov-2025 05:56 AM,finance_563841.pdf,BOQ Comparative Chart,1.0,3257061.0,Biswanath Patra,INR,"242,620",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,2.0,ICICI NEFT/RTGS,,,AOC,2.0,3257441.0,RAKESH KUMAR KUDEI,26-Nov-2025 03:00 PM,Rejected-Finance,AS PER LOTTERY,04-Jan-2026 05:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
