Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Periodical Maintenance to Salendi to Dunguripali road for the year 2025-26,Periodical Maintenance to Salendi to Dunguripali road for the year 2025-26,Please refer Tender documents. ,NA ,"40,68,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Patnagarh,767025.0,NA ,NA ,NA ,"O/o the Superintending Engineer, R.W.D, Patnagarh",No ,No,"6,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BALANGIR||RW Division Patnagarh,EEPTNG-online-12/2025-26,2025_CERWI_120972_17,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,08-Nov-2025 06:55 PM,24-Nov-2025 11:00 AM,08-Nov-2025 06:55 PM,21-Nov-2025 05:00 PM,08-Nov-2025 06:55 PM ,20-Nov-2025 05:00 PM ,08-Nov-2025 06:55 PM,21-Nov-2025 05:00 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"DD, EMD, R.C, PAN, GSTIN, AFFIDAVIT AND OTHER DOCUMENTS AS PER DTCN","40,680",Yes,fixed,,Nil,Nil,"Executive Engineer, R.W.Division,Patnagarh","O/o the Superintending Engineer, R.W.D, Patnagarh",AOC,Executive Engineer,Internal,"Executive Engineer, DAO, ESTIMATOR",Manik Kumbhar,09-Jan-2026 05:06 PM,techsummary_562955.pdf (1448.96 KB),Executive Engineer,Internal,"Executive Engineer ,DAO, ESTIMATOR",Manik Kumbhar,09-Jan-2026 05:36 PM,finsummary_562955.pdf (1448.96 KB),Finance,38 nos bid opened,Manik Kumbhar,29-Nov-2025 06:54 PM,finance_562955.pdf,BOQ Comparative Chart,09-Jan-2026,"INR 3,457,819.766",60.0,Manik Kumbhar,09-Jan-2026 05:44 PM,Scan_0002.pdf (468.00 KB),1,3227611,ANURAG MANGAL,15-Nov-2025 03:11 PM,Rejected-Finance,UNSUCESSFUL BIDDER IN LOTTARY SYSTEM,09-Jan-2026 05:36 PM,1.0,3240999.0,DIPAK KUMAR AGRAWAL,INR,"3,457,819.77",CE RW I||RWCIRCLE-BALANGIR||RW Division Patnagarh,2025_CERWI_120972_17,EEPTNG-online-12/2025-26,Periodical Maintenance to Salendi to Dunguripali road for the year 2025-26,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BILL OF QUANTITY,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,3242448,ANURAG PUROHIT,20-Nov-2025 05:49 PM,Rejected-Finance,UNSUCESSFUL BIDDER IN LOTTARY SYSTEM,09-Jan-2026 05:36 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,3244440,BAISALI RANI MEHER,21-Nov-2025 03:33 PM,Rejected-Finance,UNSUCESSFUL BIDDER IN LOTTARY SYSTEM,09-Jan-2026 05:36 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,3244403,BIKASH KUMAR JAIN,21-Nov-2025 03:02 PM,Rejected-Finance,UNSUCESSFUL BIDDER IN LOTTARY SYSTEM,09-Jan-2026 05:36 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,3222189,CHANDINI BAI JAIN,19-Nov-2025 12:05 PM,Rejected-Finance,UNSUCESSFUL BIDDER IN LOTTARY SYSTEM,09-Jan-2026 05:36 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,3240342,CHIRAG KUMAR JAIN,20-Nov-2025 10:18 AM,Rejected-Finance,UNSUCESSFUL BIDDER IN LOTTARY SYSTEM,09-Jan-2026 05:36 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,3243217,DEBABRATA BRAHMA,21-Nov-2025 12:57 AM,Rejected-Finance,UNSUCESSFUL BIDDER IN LOTTARY SYSTEM,09-Jan-2026 05:36 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,3228427,DINESH JAIN,16-Nov-2025 12:47 PM,Rejected-Finance,UNSUCESSFUL BIDDER IN LOTTARY SYSTEM,09-Jan-2026 05:36 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,3240999,DIPAK KUMAR AGRAWAL,20-Nov-2025 12:35 PM,Accepted-AOC,SUCESSFUL BIDDER IN LOTTARY,09-Jan-2026 05:44 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,3243141,GOPAL DAS SHARMA,21-Nov-2025 09:44 AM,Rejected-Finance,UNSUCESSFUL BIDDER IN LOTTARY SYSTEM,09-Jan-2026 05:36 PM,,,,,,,,,,AOC
