Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Checklist,LAXMIKANT DAS,25-Dec-2025 11:30 AM,finance_503495.pdf,BOQ Comparative Chart,1.0,2523104.0,"M/S Jagannath Construction, Prop-Prasanta Nayak",INR,"1,209,039",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Balasore||BAHANAGA Block,2024_PRBBH_103869_2,PSBN-01 of 2024-25,"Construction of Additional Classroom at Govt, High School.Suthanga under Bahanaga Block in BALASORE District.",BDO Bahanaga,Internal,AEE BFO SO AE JE,Subhashree Tudu,25-Dec-2025 12:23 PM,finsummary_503495.pdf (365.80 KB),BDOBahanaga,Internal,AEEBFOSOJE,Subhashree Tudu,25-Dec-2025 12:00 PM,techsummary_503495.pdf (365.80 KB),1,2523104,"M/S Jagannath Construction, Prop-Prasanta Nayak",08-Aug-2024 01:59 PM,Accepted-AOC,Qualified in Lottery,12-Jan-2026 06:28 AM,29-Dec-2025,"INR 1,209,039",120.0,Subhashree Tudu,12-Jan-2026 06:28 AM,Workoder.pdf (324.00 KB),Qualified,AOC,26-Jul-2024 10:00 AM,12-Aug-2024 11:00 AM,26-Jul-2024 10:00 AM,09-Aug-2024 05:00 PM,NA ,NA ,26-Jul-2024 10:00 AM,09-Aug-2024 05:00 PM,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Balasore||BAHANAGA Block,PSBN-01 of 2024-25,2024_PRBBH_103869_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",Nil,Nil,No,"14,500",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"EMD, GSTIN, Valid RC, Affidavit and other connected documents as per DTCN",1,ICICI BANK,"BDO,Bahanaga","At-Bahanaga, Dist-Balasore","Construction of Additional Classroom at Govt, High School.Suthanga under Bahanaga Block in BALASORE District.","Construction of Additional Classroom at Govt, High School.Suthanga under Bahanaga Block in BALASORE District.",Please refer Tender documents. ,NA ,,Civil Works - Buildings,NA ,Tender,90.0,120.0,Bahanaga,756042.0,"BDO,Bahanaga ","At-Bahanaga, Dist-Balasore ",26-Jul-2024 10:00 AM ,"BDO, Bahanaga",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2525509,M/S.SUJIT KUMAR MOHAPATRA,08-Aug-2024 06:17 PM,Rejected-AOC,Not Qualified in Lottery,12-Jan-2026 06:28 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC
