S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Name,Address,Tender Stage
1.0,3222783.0,ANUKULA CHANDRA PATTNAIK,INR,"169,540",Finance,17nos of valid tenederer,Debashis Mandal,18-Nov-2025 01:35 PM,finance_563038.pdf,BOQ Comparative Chart,EE,Internal,"EE, DAO, JE",Debashis Mandal,13-Jan-2026 04:24 PM,finsummary_563038.pdf (723.91 KB),CE RW I||RWCIRCLE-SUNABEDA||RW Division Jeypore,2025_CERWI_121016_1,Online-04/2025-26/EE,S/R to R.W.Section Building at Kotpad for the year 2025-26.,EE,Internal,,Debashis Mandal,13-Jan-2026 04:21 PM,techsummary_563038.pdf (723.91 KB),1,3224254,AKASH BISSOI,14-Nov-2025 12:56 PM,Rejected-Finance,Disqualified,13-Jan-2026 04:24 PM,13-Jan-2026,"INR 169,540",30.0,Debashis Mandal,13-Jan-2026 04:27 PM,RWSECTIONKotpad.pdf (724.00 KB),Work awarded to Sri. Anukul Chandra Patnaik,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"DTCN, TCN, PAN, AFFIDAVIT, LICENSE GST","1,994",Yes,fixed,,Nil,Nil,CE RW I||RWCIRCLE-SUNABEDA||RW Division Jeypore,Online-04/2025-26/EE,2025_CERWI_121016_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,1st Corrigendum,Date,,600.0,0.0,Nil,Nil,No,10-Nov-2025 09:00 AM,17-Nov-2025 10:00 AM,10-Nov-2025 09:00 AM,15-Nov-2025 05:00 PM,10-Nov-2025 09:00 AM ,14-Nov-2025 01:00 PM ,10-Nov-2025 09:00 AM,15-Nov-2025 05:00 PM,S/R to R.W.Section Building at Kotpad for the year 2025-26.,S/R to R.W.Section Building at Kotpad for the year 2025-26.,NA ,NA ,"1,99,435",Civil Works - Buildings,NA ,Tender,90.0,30.0,Koraput,764001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, JEYPORE",No ,No,1.0,ICICI BANK,Divisional Officer,"RURAL WORKS DIVISION, JEYPORE",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3222783,ANUKULA CHANDRA PATTNAIK,13-Nov-2025 08:24 PM,Accepted-AOC,Qualified,13-Jan-2026 04:27 PM,,,,,,,,AOC,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3222831,B TEJESWAR RAO,14-Nov-2025 01:50 PM,Rejected-Finance,Disqualified,13-Jan-2026 04:24 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3225462,DASARATHI SWAIN,14-Nov-2025 04:56 PM,Rejected-Finance,Disqualified,13-Jan-2026 04:24 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3227290,DEVI PRASAD MOHAPATRA,15-Nov-2025 01:37 PM,Rejected-Finance,Disqualified,13-Jan-2026 04:24 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3225091,DIPAK KUMAR SETHY,14-Nov-2025 03:41 PM,Rejected-Finance,Disqualified,13-Jan-2026 04:24 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3227218,FAHIM AKBAR KHAN,15-Nov-2025 01:47 PM,Rejected-Finance,Disqualified,13-Jan-2026 04:24 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3215169,JANHABI BISOI,11-Nov-2025 09:16 PM,Rejected-Finance,Disqualified,13-Jan-2026 04:24 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3223297,LAXMI NARAYAN BISSOI,14-Nov-2025 01:11 AM,Rejected-Finance,Disqualified,13-Jan-2026 04:24 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3222740,LOIS BAGH,14-Nov-2025 04:27 PM,Rejected-Finance,Disqualified,13-Jan-2026 04:24 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3220122,M.BHAGYA LAXMI,13-Nov-2025 10:16 AM,Rejected-Finance,Disqualified,13-Jan-2026 04:24 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3218900,MIHIR KUMAR SADANGI,12-Nov-2025 07:40 PM,Rejected-Finance,Disqualified,13-Jan-2026 04:24 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3222777,PADMAN BISOI,14-Nov-2025 07:44 AM,Rejected-Finance,Disqualified,13-Jan-2026 04:24 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3221987,Ram Keshari Bisoi,13-Nov-2025 05:54 PM,Rejected-Finance,Disqualified,13-Jan-2026 04:24 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3225704,SHASHI BHUSAN PRAHARAJ,14-Nov-2025 09:05 PM,Rejected-Finance,Disqualified,13-Jan-2026 04:24 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3221930,SUDHIR KUMAR DAS,13-Nov-2025 04:18 PM,Rejected-Finance,Disqualified,13-Jan-2026 04:24 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3227707,SWAPNA BISOI,15-Nov-2025 03:31 PM,Rejected-Finance,Disqualified,13-Jan-2026 04:24 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
