Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Superintending Engineer,Internal,S.E./ D.A./ ESTIMATOR,Himansu Kumar Sethi,19-Jan-2026 06:13 PM,techsummary_558499.pdf (2710.21 KB),19-Jan-2026,"INR 1,095,395",30.0,Himansu Kumar Sethi,19-Jan-2026 06:28 PM,194.pdf (2066.00 KB),1,3171200,ANIL KUMAR NAYAK,01-Nov-2025 04:38 PM,Rejected-Finance,Not Selected in the Lottery,19-Jan-2026 06:23 PM,Finance,Cover1,Himansu Kumar Sethi,19-Jan-2026 06:03 PM,,BOQ Comparative Chart,1.0,3174138.0,BIJAYA KUMAR BEHERA,INR,"1,095,395",CE RW I||RWCIRCLE-KEONJHAR||RW Division Bansapal,2025_CERWI_120120_1,Road Online NCB No. 04 of 2024-25,S/R to Jatra to Sukodala road in the district of Keonjhar for the year 2025-26,Superintending Engineer,Internal,S.E./ D.A./ Estimator,Himansu Kumar Sethi,19-Jan-2026 06:23 PM,finsummary_558499.pdf (522.36 KB),AOC,1.0,ICICI BANK,SE RWD BANSPAL,Office of the Superintending Engineer RWD Banspal,1.0,Fee/PreQual/Technical/Finance,.pdf,GST PAN LICENSE AND OTHER DOCUMENTS AS PER DTCN,CE RW I||RWCIRCLE-KEONJHAR||RW Division Bansapal,Road Online NCB No. 04 of 2024-25,2025_CERWI_120120_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"10,920",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,27-Oct-2025 09:00 AM,06-Nov-2025 11:00 AM,27-Oct-2025 09:00 AM,04-Nov-2025 05:00 PM,27-Oct-2025 09:00 AM ,03-Nov-2025 05:00 PM ,27-Oct-2025 09:00 AM,04-Nov-2025 05:00 PM,S/R to Jatra to Sukodala road in the district of Keonjhar for the year 2025-26,Pothole repair with PMC Sealcoat and flank dressing,Please refer Tender documents. ,NA ,"10,91,990",Civil Works - Roads,NA ,Tender,90.0,30.0,BANSPAL,758085.0,NA ,NA ,NA ,SE RWD BANSPAL at Gambharia Keonjhar,No ,No,AOC
,,,,,,,,,,,,2,3174138,BIJAYA KUMAR BEHERA,02-Nov-2025 01:16 PM,Accepted-AOC,Work has been awarded to Bijay Kumar Behera,19-Jan-2026 06:28 PM,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,3,3162306,Bipin Bihari Pradhan,04-Nov-2025 02:49 PM,Rejected-Finance,Submit willngness to come to L1,19-Jan-2026 06:23 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,checklist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,4,3171278,Chaitanya Dehuri,02-Nov-2025 09:42 PM,Rejected-Finance,Not Selected in the Lottery,19-Jan-2026 06:23 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,5,3169338,JANMEJAYA NAYAK,01-Nov-2025 03:32 PM,Rejected-Finance,Not Selected in the Lottery,19-Jan-2026 06:23 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,6,3168246,MANASI PATTNAIK,30-Oct-2025 04:24 PM,Rejected-Finance,Not Selected in the Lottery,19-Jan-2026 06:23 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,7,3177258,MIHIR KUMAR SAHU,03-Nov-2025 02:20 PM,Rejected-Finance,Not Selected in the Lottery,19-Jan-2026 06:23 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,8,3180778,PRITIPRAVA GHADEI,04-Nov-2025 03:17 PM,Rejected-Finance,Not Selected in the Lottery,19-Jan-2026 06:23 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,9,3179166,RONAK KUMAR GUPTA,04-Nov-2025 01:21 PM,Rejected-Finance,Not Selected in the Lottery,19-Jan-2026 06:23 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,10,3168237,SAMARJIT PATTNAIK,30-Oct-2025 04:21 PM,Rejected-Finance,Not Selected in the Lottery,19-Jan-2026 06:23 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
