Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"Ececutive Engineer, RW Division,Rourkela","Office of the Executive Engineer,RW Division,Rourkela",1.0,Fee/PreQual/Technical/Finance,.pdf,Affidavit Towards Authenticity of Documents,CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Sundargarh II,Online -EERKL-15 of 2025-26,2025_CERWI_120779_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,450",Yes,fixed,,Nil,Nil,04-Nov-2025 03:00 PM,11-Nov-2025 09:00 AM,04-Nov-2025 03:00 PM,10-Nov-2025 05:00 PM,04-Nov-2025 03:00 PM ,09-Nov-2025 05:00 PM ,04-Nov-2025 03:00 PM,10-Nov-2025 05:00 PM,Maintenace and Repair of R.I office cum Residence building at Andali,Maintenace and Repair of R.I office cum Residence building at Andali,Please refer Tender documents. ,NA ,"4,44,395",Civil Works - Buildings,NA ,Tender,90.0,60.0,ROURKELA,769004.0,NA ,NA ,NA ,"Office of the Executive Engineer,RW Division,Rourk",No ,No,"2,000",0.0,Nil,Nil,No,1.0,ICICI BANK,AOC,CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Sundargarh II,2025_CERWI_120779_1,Online -EERKL-15 of 2025-26,Maintenace and Repair of R.I office cum Residence building at Andali,EE/ DAO/ Estimator,Internal,EE/ DAO/ Estimator,Dasharathi Sethy,12-Jan-2026 04:52 PM,finsummary_561743.pdf (657.77 KB),Finance,10 bidders applied,Dasharathi Sethy,12-Jan-2026 04:46 PM,,BOQ Comparative Chart,1.0,3207533.0,ARJUN SINGHI,INR,"3,777,802",12-Jan-2026,"INR 3,777,802",60.0,Dasharathi Sethy,12-Jan-2026 04:55 PM,01.pdf (658.00 KB),Awarded Cost,1,3208798,ALOK KUMAR MOHANTY,10-Nov-2025 04:35 PM,Rejected-AOC,Rejected by the Committee,12-Jan-2026 04:55 PM,EE/ DAO/ Estimator,Internal,EE/ DAO/ Estimator,Dasharathi Sethy,12-Jan-2026 04:49 PM,techsummary_561743.pdf (657.77 KB),AOC
,,,,.pdf,"PAN Card, GSTN, Regestration Certificate another as per DTCN, Contact No.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3207533,ARJUN SINGHI,10-Nov-2025 02:19 PM,Accepted-AOC,Awarded Cost,12-Jan-2026 04:55 PM,,,,,,,AOC
,,,,.pdf,Affidavit Regarding norelation certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3206481,BINOD SAHOO,10-Nov-2025 12:55 PM,Rejected-AOC,Rejected by the Committee,12-Jan-2026 04:55 PM,,,,,,,AOC
,,,,.pdf,Affidavit Regarding correctness of information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3207338,JAGDISH PRASAD,10-Nov-2025 01:59 PM,Rejected-AOC,Rejected by the Committee,12-Jan-2026 04:55 PM,,,,,,,AOC
,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3208218,MONIKA ENTERPRISES,10-Nov-2025 03:38 PM,Rejected-AOC,Rejected by the Committee,12-Jan-2026 04:55 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3208674,RABI PRASAD,10-Nov-2025 04:26 PM,Rejected-AOC,Rejected by the Committee,12-Jan-2026 04:55 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3195016,RABI THAKUR,07-Nov-2025 06:57 PM,Rejected-AOC,Rejected by the Committee,12-Jan-2026 04:55 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3207651,RAJIV KUMAR JHA,10-Nov-2025 02:33 PM,Rejected-AOC,Rejected by the Committee,12-Jan-2026 04:55 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3199864,SHRABAN KUMAR SAHOO,09-Nov-2025 02:52 PM,Rejected-AOC,Rejected by the Committee,12-Jan-2026 04:55 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3207833,SUKADEV SAHOO,10-Nov-2025 02:53 PM,Rejected-AOC,Rejected by the Committee,12-Jan-2026 04:55 PM,,,,,,,AOC
