Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No.1,Bank Name,Tender Stage
09-Jan-2026,"INR 1,429,097.83",30.0,Amir Kumar Sethy,09-Jan-2026 04:05 PM,119918_48AOC.pdf (432.00 KB),1.0,3172937.0,SURYA KANTA BEHERA,INR,"1,429,097.83",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,2025_CERWI_119918_48,E-TCN No.06 of 2025-26,S/R to N.H-16 to Abdula Nagar Road for the year 25-26.,1,3171238,ARUN KUMAR NAYAK,01-Nov-2025 12:20 AM,Rejected-AOC,Rejected,09-Jan-2026 04:06 PM,Finance,All documents are downloading and go to next process,Sujata Behera,09-Dec-2025 11:40 AM,finance_557798.pdf,BOQ Comparative Chart,"superintending Engineer,R.W.Division-II,Balasore",Internal,,Amir Kumar Sethy,09-Jan-2026 03:58 PM,finsummary_557798.pdf (202.56 KB),"superintending Engineer,R.W.Division-II,Balasore",Internal,,Amir Kumar Sethy,09-Jan-2026 03:53 PM,techsummary_557798.pdf (202.56 KB),AOC,"SERW Division-II, Balasore","O/o the SERW Division-II, Balasore",S/R to N.H-16 to Abdula Nagar Road for the year 25-26.,S/R to N.H-16 to Abdula Nagar Road for the year 25-26.,Please refer Tender documents. ,NA ,"16,81,094",Civil Works - Roads,NA ,Tender,90.0,30.0,Balasore,756001.0,NA ,NA ,NA ,"O/o the SERW Division-II, Balasore",No ,No,1.0,Add DTCN and Corrigendum,Other,,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,E-TCN No.06 of 2025-26,2025_CERWI_119918_48,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"P Cost, EMD Online, RC, PAN, Valid GSTIN, Affidavit, No relation certificate and other as per DTCN","16,811",Yes,percentage,1.0%,Nil,Nil,24-Oct-2025 05:00 PM,04-Nov-2025 11:00 AM,24-Oct-2025 05:00 PM,03-Nov-2025 05:00 PM,24-Oct-2025 05:00 PM ,03-Nov-2025 03:00 PM ,24-Oct-2025 05:00 PM,03-Nov-2025 05:00 PM,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,2,3173896,BASANTA KUMAR PATRA,02-Nov-2025 01:20 PM,Rejected-AOC,Rejected,09-Jan-2026 04:06 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,3,3177526,BASANTI SHIAL,03-Nov-2025 04:37 PM,Rejected-AOC,Rejected,09-Jan-2026 04:06 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3174021,BENIMADHAB BIHARI,02-Nov-2025 03:40 PM,Rejected-AOC,Rejected,09-Jan-2026 04:06 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3160077,BISHNU MOHAN MALIK,29-Oct-2025 05:22 PM,Rejected-AOC,Rejected,09-Jan-2026 04:06 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3160498,Jayadev Singh,01-Nov-2025 03:33 PM,Rejected-AOC,Rejected,09-Jan-2026 04:06 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3166184,MAHASWETA MALIK,30-Oct-2025 06:17 PM,Rejected-AOC,Rejected,09-Jan-2026 04:06 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3167847,MONALI PRAVA MUNDA,02-Nov-2025 11:59 AM,Rejected-AOC,Rejected,09-Jan-2026 04:06 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3163026,"M/S Jagannath Construction, Prop-Prasanta Nayak",01-Nov-2025 07:54 PM,Rejected-AOC,Rejected,09-Jan-2026 04:06 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3158985,M/S SUSHREE KRISHNA CONSTRUCTIONS,27-Oct-2025 01:32 PM,Rejected-AOC,Rejected,09-Jan-2026 04:06 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
