EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"3,560",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"Ececutive Engineer, RW Division,Rourkela","Office of the Executive Engineer,RW Division,Rourk",1.0,Fee/PreQual/Technical/Finance,.pdf,Affidavit Towards Authenticity of Documents,04-Nov-2025 03:00 PM,11-Nov-2025 09:00 AM,04-Nov-2025 03:00 PM,10-Nov-2025 05:00 PM,04-Nov-2025 03:00 PM ,09-Nov-2025 05:00 PM ,04-Nov-2025 03:00 PM,10-Nov-2025 05:00 PM,"2,000",0.0,Nil,Nil,No,Maintenace and Repair of R.I office cum Residence building at Kacharu G.F. and F.F,Maintenace and Repair of R.I office cum Residence building at Kacharu G.F. and F.F,Please refer Tender documents. ,NA ,"4,45,118",Civil Works - Buildings,NA ,Tender,90.0,60.0,ROURKELA,769004.0,NA ,NA ,NA ,"Office of the Executive Engineer,RW Division,Rourk",No ,No,CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Sundargarh II,Online -EERKL-15 of 2025-26,2025_CERWI_120779_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Sundargarh II,2025_CERWI_120779_2,Online -EERKL-15 of 2025-26,Maintenace and Repair of R.I office cum Residence building at Kacharu G.F. and F.F,EE/ DAO/ Estimator,Internal,EE/ DAO/ Estimator,Dasharathi Sethy,12-Jan-2026 05:10 PM,finsummary_561749.pdf (653.35 KB),Finance,12 bidders applied,Dasharathi Sethy,12-Jan-2026 05:06 PM,,BOQ Comparative Chart,1.0,3207096.0,JAGDISH PRASAD,INR,"378,395",1,3208291,ALOK KUMAR MOHANTY,10-Nov-2025 03:57 PM,Rejected-AOC,Rejected by the committee,12-Jan-2026 05:13 PM,12-Jan-2026,"INR 378,395",60.0,Dasharathi Sethy,12-Jan-2026 05:13 PM,02.pdf (653.00 KB),Awarded Cost,EE/ DAO/ Estimator,Internal,EE/ DAO/ Estimator,Dasharathi Sethy,12-Jan-2026 05:08 PM,techsummary_561749.pdf (653.35 KB),AOC
,,,,,,2.0,ICICI NEFT/RTGS,,,,,.pdf,"PAN Card, GSTN, Regestration Certificate another as per DTCN, Contact No.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3207586,ARJUN SINGHI,10-Nov-2025 02:24 PM,Rejected-AOC,Rejected by the committee,12-Jan-2026 05:13 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Affidavit Regarding norelation certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3206593,BINOD SAHOO,10-Nov-2025 01:00 PM,Rejected-AOC,Rejected by the committee,12-Jan-2026 05:13 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Affidavit Regarding correctness of information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3205623,DEEPAK KUMAR THAKUR,10-Nov-2025 11:21 AM,Rejected-AOC,Rejected by the committee,12-Jan-2026 05:13 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3207096,JAGDISH PRASAD,10-Nov-2025 01:41 PM,Accepted-AOC,Awarded,12-Jan-2026 05:13 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3208265,MONIKA ENTERPRISES,10-Nov-2025 03:42 PM,Rejected-AOC,Rejected by the committee,12-Jan-2026 05:13 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3208471,RABI PRASAD,10-Nov-2025 04:03 PM,Rejected-AOC,Rejected by the committee,12-Jan-2026 05:13 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3195066,RABI THAKUR,07-Nov-2025 07:09 PM,Rejected-AOC,Rejected by the committee,12-Jan-2026 05:13 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3208008,RAJIV KUMAR JHA,10-Nov-2025 03:20 PM,Rejected-AOC,Rejected by the committee,12-Jan-2026 05:13 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3199867,SHRABAN KUMAR SAHOO,09-Nov-2025 02:55 PM,Rejected-AOC,Rejected by the committee,12-Jan-2026 05:13 PM,,,,,,,,,,,,,,AOC
