Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage
Finance,Summary,Dipika Majhi,06-Jan-2026 01:01 PM,finance_556260.pdf,BOQ Comparative Chart,06-Jan-2026,"INR 1,381,514",30.0,Dipika Majhi,06-Jan-2026 01:11 PM,8333.pdf (2041.00 KB),S/R to Adhangagarh Sankarpur Road RD from 1/900 km to 2/920 km Road for the year 2025-26,1.0,3150744.0,SWAPNAKANTA SWAIN,INR,"1,381,514",CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAGATSINGHPUR,2025_CERWI_119523_36,Tender Online - 04 of 2025-26,S/R to Adhangagarh Sankarpur Road RD from 1/900 km to 2/920 km Road for the year 2025-26,1,3152421,AMARESWAR DAS,26-Oct-2025 05:33 PM,Rejected-Technical,L2,06-Jan-2026 01:06 PM,"SE,RW,JSPUR",Internal,,Dipika Majhi,06-Jan-2026 01:06 PM,techsummary_556260.pdf (1809.73 KB),"SE,RW,JSPUR",Internal,,Dipika Majhi,06-Jan-2026 01:09 PM,finsummary_556260.pdf (2040.97 KB),AOC,"O/O the Suptd. Engineer, R. W. Division,","O/O the Suptd. Engineer, R. W. Division,","6,000",0.0,Nil,Nil,No,15-Oct-2025 06:00 PM,29-Oct-2025 11:00 AM,16-Oct-2025 09:00 AM,28-Oct-2025 05:00 PM,16-Oct-2025 09:00 AM ,24-Oct-2025 03:00 PM ,16-Oct-2025 09:00 AM,28-Oct-2025 05:00 PM,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAGATSINGHPUR,Tender Online - 04 of 2025-26,2025_CERWI_119523_36,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,S/R to Adhangagarh Sankarpur Road RD from 1/900 km to 2/920 km Road for the year 2025-26,S/R to Adhangagarh Sankarpur Road RD from 1/900 km to 2/920 km Road for the year 2025-26,Please refer Tender documents. ,NA ,"16,25,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Jagatsinghpur,754103.0,NA ,NA ,NA ,"O/O the Suptd. Engineer, R. W. Division,",No ,No,"16,250",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, GSTIN, PAN, Regd. Cert, No Relation and affidavit towards Correctness Certificate",AOC
,,,,,,,,,,,,,,,,,,,,,,2,3162202,AMRIT MOHANTY,28-Oct-2025 02:08 PM,Rejected-Technical,L2,06-Jan-2026 01:06 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,3,3149672,ANIL KUMAR PATRA,24-Oct-2025 08:00 PM,Rejected-Technical,L2,06-Jan-2026 01:06 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,3159784,ARYA KUMAR SUDHIRANJAN,27-Oct-2025 03:33 PM,Rejected-Technical,L2,06-Jan-2026 01:06 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,3161325,BATAKRUSHNA SETHY,27-Oct-2025 08:52 PM,Rejected-Technical,L2,06-Jan-2026 01:06 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,3157835,BHASKAR CHANDRA MOHAPATRA,27-Oct-2025 02:24 PM,Rejected-Technical,L2,06-Jan-2026 01:06 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,3159710,DILLIP TARAI,27-Oct-2025 03:23 PM,Rejected-Technical,L2,06-Jan-2026 01:06 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,3140214,JOGENDRA PANDA,21-Oct-2025 04:24 PM,Rejected-Technical,L2,06-Jan-2026 01:06 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,3147874,M/S SAUMYA RANJAN MALLA,24-Oct-2025 01:22 PM,Rejected-Technical,L2,06-Jan-2026 01:06 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,3145478,NIRUPAMA BEHERA,23-Oct-2025 01:36 PM,Rejected-Technical,L2,06-Jan-2026 01:06 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
