Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,All the bids are downloaded successfully.,Krishna Chandra Munduri,05-Oct-2025 11:13 AM,finance_551770.pdf,BOQ Comparative Chart,1.0,3094734.0,SOUMYAJIT MOHAPATRA,INR,"4,176,247","CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Nimapada Irr Division, Nimapada",2025_CELBB_117722_20,e-Procurement Notice No.- 02 of 2025-26,NID-86- Slope Protection to Scoured bank of Devi river near village Mahadev basta.,1,3092544,ABANIKANTA JENA,21-Sep-2025 05:31 PM,Rejected-Finance,Not won in the transparent Lottery,17-Nov-2025 09:28 PM,10-Jan-2026,"INR 4,176,247",180.0,Pritam Pothal,10-Jan-2026 06:05 PM,NID86.pdf (1013.00 KB),"L1 bid of Sri SOUMYAJIT MOHAPATRA selected through transparent lottery system accepted by the S.E., Nimapara Irrigation Division for award of contract.","Superintending Engineer, Nimapara Irrigation Division, Nimapara",Internal,"S.E, Nimapara Irrigation Division, Nimapara, DAO, Nimapara Irr. Division, AEE (Estimator),Nimapara Irr.Division, Nimapara",BISHAL KESHARI SINGH,10-Nov-2025 06:05 PM,techsummary_551770.pdf (410.82 KB),"Superintending Engineer, Nimapara Irrigation Division, Nimapara",Internal,"S.E, Nimapara Irrigation Division, Nimapara, DAO, Nimapara Irr. Division, AEE (Estimator),Nimapara Irr.Division, Nimapara",BISHAL KESHARI SINGH,17-Nov-2025 09:28 PM,finsummary_551770.pdf (1634.05 KB),AOC,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Nimapada Irr Division, Nimapada",e-Procurement Notice No.- 02 of 2025-26,2025_CELBB_117722_20,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Superintending Engineer., Nimapara Irr Divn.","Office of the Superintending Engineer Nimapara Irrigation Division, Nimapara Puri Odisha",08-Sep-2025 11:00 AM,23-Sep-2025 11:00 AM,08-Sep-2025 11:00 AM,22-Sep-2025 05:30 PM,08-Sep-2025 11:00 AM ,16-Sep-2025 05:30 PM ,08-Sep-2025 11:00 AM,22-Sep-2025 05:30 PM,"49,200",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,GSTIN PAN Contractor R.C Affidavits undertakings No Relation Certificate,NID-86- Slope Protection to Scoured bank of Devi river near village Mahadev basta.,Slope Protection to Scoured bank of Devi river near village Mahadev basta.,Please refer Tender Documents ,NA ,"49,12,654",Civil Works - Others,River Embankment ,Tender,90.0,180.0,Nimapara,752106.0,NA ,NA ,NA ,"S.E., Nimapara Irr Divn. Nimapara",No ,No,AOC
,,,,,,,,,,,,,,,2,3095579,ABHISEK MISHRA,22-Sep-2025 05:23 PM,Rejected-Finance,Not won in the transparent Lottery,17-Nov-2025 09:28 PM,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,and any other document as per SBD/DTCN,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3082227,ADITYA NARAYAN SENAPATI,17-Sep-2025 04:58 PM,Rejected-Finance,Not won in the transparent Lottery,17-Nov-2025 09:28 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3085480,AJAYA KUMAR BISWAL,17-Sep-2025 07:00 PM,Rejected-Finance,Not won in the transparent Lottery,17-Nov-2025 09:28 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3083787,AJIT KUMAR SWAIN,19-Sep-2025 08:26 PM,Rejected-Finance,Not won in the transparent Lottery,17-Nov-2025 09:28 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3090692,AKASH KUMAR SAHOO,20-Sep-2025 03:40 PM,Rejected-Finance,Not won in the transparent Lottery,17-Nov-2025 09:28 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3091433,AMITI KUMAR SWAIN,21-Sep-2025 12:10 PM,Rejected-Finance,Not won in the transparent Lottery,17-Nov-2025 09:28 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3093482,AMULYA KUMAR JENA,22-Sep-2025 01:43 PM,Rejected-Finance,Not won in the transparent Lottery,17-Nov-2025 09:28 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3075459,AMULYA RATNA MOHANTY,19-Sep-2025 11:48 PM,Rejected-Finance,Not won in the transparent Lottery,17-Nov-2025 09:28 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3091510,ANIL KUMAR SAHOO,21-Sep-2025 04:34 PM,Rejected-Finance,Not won in the transparent Lottery,17-Nov-2025 09:28 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
