Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
11-Nov-2025 01:00 PM,20-Nov-2025 11:00 AM,11-Nov-2025 01:00 PM,19-Nov-2025 05:00 PM,NA ,NA ,11-Nov-2025 01:00 PM,19-Nov-2025 05:00 PM,25-Nov-2025 06:10 PM,1.0,Fee/PreQual/Technical,.pdf,"Tender Paper Cost, EMD, GST, PAN, Norelation Certificate and other documents as per DTCN",1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,Improvement to approach road from dam site to RD road (RD 00 m to 1090 m) of Hanumantia MIP in Telkoi Block of Keonjhar District under the scheme CAPEX for the year 2025-2026,Improvement to approach road from dam site to RD road (RD 00 m to 1090 m) of Hanumantia MIP in Telkoi Block of Keonjhar District under the scheme CAPEX for the year 2025-2026,Please refer Tender documents. ,NA ,"55,58,000",Civil Works - Roads,NA ,Tender,90.0,120.0,Telkoi Block of Keonjhar District,758001.0,NA ,NA ,NA ,"Office of the SE, M.I. Division, Keonjhar",No ,No,"55,580",Yes,percentage,1.0%,Nil,Nil,"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||EE M.I. Division Keonjhar",Bid ID No. 05 SEMID (KJR/ 2025-2026) Dt. 03.11.2025,2025_CEMIB_121085_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"SE, M.I. Division, Keonjhar","ffice of the SE, M.I. Division, Keonjhar near Parkline",AOC,25-Jan-2026,"INR 4,724,109.51",120.0,Rashmi Rekha Chattar,25-Jan-2026 09:01 AM,NIT.pdf (508.00 KB),1,3237590,ARUN KUMAR SAHU,19-Nov-2025 12:15 PM,Rejected-AOC,Dis Qualified,25-Jan-2026 09:01 AM,Finance,14 nos,Rashmi Rekha Chattar,25-Nov-2025 07:33 PM,,BOQ Comparative Chart,"SE MI Division, Keonjhar",Internal,,Rashmi Rekha Chattar,25-Nov-2025 06:06 PM,25-Nov-2025 06:10 PM,techsummary_563345.pdf (3806.69 KB),"SE MI Division, Keonjhar",Internal,,Rashmi Rekha Chattar,25-Jan-2026 08:56 AM,finsummary_563345.pdf (508.29 KB),Technical,14NOS,Rashmi Rekha Chattar,21-Nov-2025 08:53 PM,,"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||EE M.I. Division Keonjhar",2025_CEMIB_121085_1,Bid ID No. 05 SEMID (KJR/ 2025-2026) Dt. 03.11.2025,Improvement to approach road from dam site to RD road (RD 00 m to 1090 m) of Hanumantia MIP in Telkoi Block of Keonjhar District under the scheme CAPEX for the year 2025-2026,1.0,3238556.0,PRAGATI BEHERA,INR,"4,724,109.51",AOC
,,,,,,,,,2.0,Finance,.xls,Bill of Quantities,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,3236653,BHABEN KUMAR JENA,18-Nov-2025 10:16 PM,Rejected-AOC,Dis Qualified,25-Jan-2026 09:01 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,3227133,DIBYAJYOTI KUMAR PRUSTY,17-Nov-2025 05:05 AM,Rejected-AOC,Dis Qualified,25-Jan-2026 09:01 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,3235978,HIMALAYA MAHANTA,18-Nov-2025 05:20 PM,Rejected-AOC,Dis Qualified,25-Jan-2026 09:01 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,3234107,HRUDANANDA BARIK,17-Nov-2025 11:20 PM,Rejected-AOC,Dis Qualified,25-Jan-2026 09:01 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,3233305,JANMEJAY NAYAK,17-Nov-2025 06:04 PM,Rejected-AOC,Dis Qualified,25-Jan-2026 09:01 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,3238333,LALATENDU SAHU,19-Nov-2025 03:00 PM,Rejected-AOC,Dis Qualified,25-Jan-2026 09:01 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,3238556,PRAGATI BEHERA,19-Nov-2025 03:50 PM,Accepted-AOC,Qualified,25-Jan-2026 09:01 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,3238087,PRAKASH PRADHAN,19-Nov-2025 01:56 PM,Rejected-AOC,Dis Qualified,25-Jan-2026 09:01 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,3236752,RAMACHANDRA SAHOO,18-Nov-2025 11:12 PM,Rejected-AOC,Dis Qualified,25-Jan-2026 09:01 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
