S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3226647.0,KARAKARIA RUPA,INR,"635,508.012",Finance,verified,Prasanna Kumar Pattanaik,24-Nov-2025 04:52 PM,,BOQ Comparative Chart,"Executive Engineer, Junior Engineer (Estimator), Divisional Accounts Officer",Internal,,Prasanna Kumar Pattanaik,17-Jan-2026 11:46 AM,finsummary_562796.pdf (529.62 KB),CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-RAYAGADA,2025_CERWI_120953_1,EERWRGD Online 05 2025-26,Maintenance to PWD road to Bheja in Kolnara Block for the year 2025 26,"Executive Engineer, Junior Engineer (Estimator), Divisional Accounts Officer",Internal,,Prasanna Kumar Pattanaik,17-Jan-2026 11:41 AM,techsummary_562796.pdf (529.62 KB),17-Jan-2026,"INR 635,508.012",60.0,Prasanna Kumar Pattanaik,17-Jan-2026 11:49 AM,KR.pdf (530.00 KB),1,3212071,AKASH KUMAR NAYAK,12-Nov-2025 10:29 AM,Rejected-AOC,Un-successful bidder as per the Transparent Lottery,17-Jan-2026 11:49 AM,AOC,"7,480",Yes,fixed,,Nil,Nil,"4,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-RAYAGADA,EERWRGD Online 05 2025-26,2025_CERWI_120953_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,08-Nov-2025 10:00 AM,18-Nov-2025 11:00 AM,08-Nov-2025 10:00 AM,17-Nov-2025 05:00 PM,08-Nov-2025 10:00 AM ,15-Nov-2025 05:00 PM ,08-Nov-2025 10:00 AM,17-Nov-2025 05:00 PM,Maintenance to PWD road to Bheja in Kolnara Block for the year 2025 26,Maintenance to PWD road to Bheja in Kolnara Block for the year 2025 26,NA ,NA ,"7,48,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Rayagada,765001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, RAYAGADA",No ,No,Executive Engineer,"RURAL WORKS DIVISION, RAYAGADA",1.0,Fee/PreQual/Technical/Finance,.pdf,Affidavit GSTIN PAN RC and other papers as per DTCN,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3232032,ALLAPA BISWESWARA RAO,17-Nov-2025 01:51 PM,Rejected-AOC,Un-successful bidder as per the Transparent Lottery,17-Jan-2026 11:49 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3228721,ANAM CONSTRUCTION,16-Nov-2025 09:55 AM,Rejected-AOC,Un-successful bidder as per the Transparent Lottery,17-Jan-2026 11:49 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3214897,ANITA DORA,15-Nov-2025 01:52 PM,Rejected-Finance,Documents are verified and Bid accepted for further tender process,17-Jan-2026 11:46 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3231008,GUDLA PADMAVATI,17-Nov-2025 11:26 AM,Rejected-AOC,Un-successful bidder as per the Transparent Lottery,17-Jan-2026 11:49 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3230607,G VINAY KUMAR,17-Nov-2025 10:17 AM,Rejected-AOC,Un-successful bidder as per the Transparent Lottery,17-Jan-2026 11:49 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3218728,JEETENDRA NAYAK,14-Nov-2025 06:51 PM,Rejected-AOC,Un-successful bidder as per the Transparent Lottery,17-Jan-2026 11:49 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3226647,KARAKARIA RUPA,15-Nov-2025 11:42 AM,Accepted-AOC,Successful bidder as per the Transparent Lottery. Deposited APSD and balance ISD Amounts,17-Jan-2026 11:49 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3215656,SANTOSHINI GOUDA,16-Nov-2025 05:38 PM,Rejected-AOC,Un-successful bidder as per the Transparent Lottery,17-Jan-2026 11:49 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3227230,Simadri Trinath Rao,15-Nov-2025 03:59 PM,Rejected-AOC,Un-successful bidder as per the Transparent Lottery,17-Jan-2026 11:49 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
