Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB-DIVN-RAYAGADA NEW,RC(RANDB) RGD NO. II/ 08 /2025-26,2025_EICCL_118168_2,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,Electrical Renovation work at CHC Building Bissamcuttack,Electrical Works,Please refer the tender documents ,NA ,"20,61,529",Electrical Works,NA ,Tender,90.0,60.0,Bissamcuttack,765019.0,NA ,NA ,NA ,Office of SE R and B Division No-II,No ,No,SE R and B Division No-II,Office of SE R and B Division No-II,1.0,ICICI BANK,22-Sep-2025 04:30 PM,09-Oct-2025 11:00 AM,22-Sep-2025 04:30 PM,08-Oct-2025 05:00 PM,NA ,NA ,22-Sep-2025 04:30 PM,08-Oct-2025 05:00 PM,"21,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of Tender paper,EMD,PAN,GST,Affidavit,other documents as per DTCN",AOC,10-Jan-2026,"INR 1,752,506",60.0,Durga Madhaba Padhi,10-Jan-2026 01:52 PM,ER_BCuttack_WO.pdf (472.00 KB),"Work is awarded to Sri Kishor Mohan Pani through transparent lottery system, Vid work order No-6503,Dt 19.12.2025 of R and B Division No-II",1,3113157,AKASH RANA,08-Oct-2025 09:06 AM,Rejected-AOC,First Lowest,10-Jan-2026 01:52 PM,SE No-II Rayagada,Internal,"SE,DAO,Estimator",Durga Madhaba Padhi,10-Jan-2026 01:16 PM,techsummary_552918.pdf (750.69 KB),EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB-DIVN-RAYAGADA NEW,2025_EICCL_118168_2,RC(RANDB) RGD NO. II/ 08 /2025-26,Electrical Renovation work at CHC Building Bissamcuttack,SE No-II Rayagada,Internal,"SE,DAO,Estimator",Durga Madhaba Padhi,10-Jan-2026 01:36 PM,finsummary_552918.pdf (750.69 KB),Finance,Tender Opened,Durga Madhaba Padhi,10-Jan-2026 01:06 PM,finance_552918.pdf,BOQ Comparative Chart,1.0,3115903.0,KIKSHORE MOHAN PANI,INR,"1,752,506",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.xls,Bill of Quatity,AOC,,,,,,,,2,3114876,Ampere india associates,07-Oct-2025 07:30 PM,Rejected-AOC,First Lowest,10-Jan-2026 01:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3113747,ARMAN ENGINEERING PROJECTS PRIVATE LIMITED,07-Oct-2025 11:31 AM,Rejected-Finance,Third Lowest,10-Jan-2026 01:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3116761,ASISH KUMAR PATTNAIK,08-Oct-2025 04:44 PM,Rejected-Finance,Third Lowest,10-Jan-2026 01:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3115979,BHUJABALA PATEL,08-Oct-2025 04:50 PM,Rejected-AOC,First Lowest,10-Jan-2026 01:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3113958,DHANESWAR BARAD,07-Oct-2025 08:15 PM,Rejected-AOC,First Lowest,10-Jan-2026 01:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3116730,DIBAKAR GOUDA,08-Oct-2025 03:43 PM,Rejected-Finance,Second Lowest,10-Jan-2026 01:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3111469,ECO ELECTRIC POWER SOLUTIONS,05-Oct-2025 09:13 PM,Rejected-AOC,First Lowest,10-Jan-2026 01:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3115903,KIKSHORE MOHAN PANI,08-Oct-2025 12:50 PM,Accepted-AOC,"First Lowest,work is awarded through transparent lottery system",10-Jan-2026 01:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3100921,M/s. Aditya Electricals,26-Sep-2025 01:26 PM,Rejected-AOC,First Lowest,10-Jan-2026 01:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
