S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,2995238.0,SK SOAEB ALLI,INR,"808,896",Finance,DAO and AE (Estimator),Sudhakar Naik,06-Jan-2026 04:50 PM,,BOQ Comparative Chart,Superintending Engineer,Internal,DAO and A.E (Estimators),Sudhakar Naik,08-Jan-2026 12:12 PM,finsummary_544792.pdf (1136.37 KB),CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK,2025_CERWI_115016_1,RWD CTC 01 OF 2025-26,Construction of New Welcome Gate at Entry Point Mahima Ashram at Sapanpur for the year 2024-25,Superintending Engineer,Internal,DAO and AE (Estimators),Sudhakar Naik,08-Jan-2026 12:06 PM,techsummary_544792.pdf (1136.37 KB),08-Jan-2026,"INR 808,896",60.0,Sudhakar Naik,08-Jan-2026 12:18 PM,2.pdf (1648.00 KB),Work awarded to SK Soaeb Alli Diviisional Agreement No.27 P1 OF 2025-26,1,2992150,ANUPAMA DAS,09-Jul-2025 07:52 AM,Rejected-Finance,Other than L1,08-Jan-2026 12:12 PM,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper cost, GSTIN, EMD, PAN, Affidavit, correctness and no relation certificate",1.0,ICICI BANK,Divisional Officer,"RURAL WORKS DIVISION, CUTTACK",01-Jul-2025 05:30 PM,11-Jul-2025 11:00 AM,01-Jul-2025 05:30 PM,10-Jul-2025 05:00 PM,01-Jul-2025 05:30 PM ,09-Jul-2025 05:00 PM ,01-Jul-2025 05:30 PM,10-Jul-2025 05:00 PM,"9,515",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK,RWD CTC 01 OF 2025-26,2025_CERWI_115016_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,Construction of New Welcome Gate at Entry Point Mahima Ashram at Sapanpur for the year 2024-25,Construction of New Welcome Gate at Entry Point Mahima Ashram at Sapanpur for the year 2024-25,NA ,NA ,"9,51,530",Civil Works - Others,NA ,Tender,90.0,60.0,Cuttack,753004.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, CUTTACK",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2993021,Biswa Ranjan Samal,09-Jul-2025 01:28 PM,Rejected-Finance,Other than L1,08-Jan-2026 12:12 PM,AOC,,,.xls,Boq,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2994981,DEEPAK KUMAR MOHANTY,10-Jul-2025 01:04 PM,Rejected-Finance,Other than L1,08-Jan-2026 12:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2995273,ROSALINI DALAI,10-Jul-2025 04:00 PM,Rejected-Finance,Other than L1,08-Jan-2026 12:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2993461,SISIRA KUMAR MALLICK,08-Jul-2025 04:06 PM,Rejected-Finance,Other than L1,08-Jan-2026 12:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2995238,SK SOAEB ALLI,10-Jul-2025 04:51 PM,Accepted-AOC,Work awarded to SK Soaeb Alli of Divisional Agreement No.27 P1 of 2025-26,08-Jan-2026 12:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2993438,SRITAM SETHY,08-Jul-2025 03:58 PM,Rejected-Finance,Other than L1,08-Jan-2026 12:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2994050,SURYAKANTA SENAPATI,09-Jul-2025 01:46 PM,Rejected-Finance,Other than L1,08-Jan-2026 12:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2994113,SUSANTA KUMAR BEHERA,09-Jul-2025 02:32 PM,Rejected-Finance,Other than L1,08-Jan-2026 12:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2985885,UGRASEN BEHERA,09-Jul-2025 10:36 PM,Rejected-Finance,Other than L1,08-Jan-2026 12:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
