Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
Superintending Engineer,"O/o the Superintending Engineer, Rural Works Division-II, Jajpur at Jaraka","4,000",0.0,Nil,Nil,No,1.0,ICICI BANK,CE RW I||RWCIRCLE-KENDRAPARA||RW Division II-Jajpur,Tender Online JJPR-II-04 of 2025-26,2025_CERWI_121581_14,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,20-Nov-2025 05:00 PM,26-Nov-2025 11:00 AM,20-Nov-2025 05:00 PM,25-Nov-2025 05:00 PM,20-Nov-2025 05:00 PM ,24-Nov-2025 04:00 PM ,20-Nov-2025 05:00 PM,25-Nov-2025 05:00 PM,Repair to bridge over HLC range-1 near Kustira on Dharmasala Kabatabandha road for the year 2025-26,Repair to bridge over HLC range-1 near Kustira on Dharmasala Kabatabandha road for the year 2025-26,Please refer Tender documents. ,NA ,"8,40,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Jaraka,755050.0,NA ,NA ,NA ,Jaraka,No ,No,"8,400",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Paper Cost, EMD, PAN, GSTIN, REGISTRATION CERTIFICATE",AOC,Superintending Engineer,Internal,"DAO, Estimator",Puspanjali Behera,06-Dec-2025 05:48 PM,techsummary_565972.pdf (239.14 KB),Superintending Engineer,Internal,"DAO, Estimator",Puspanjali Behera,19-Dec-2025 06:48 PM,finsummary_565972.pdf (357.88 KB),Finance,Downloaded,Puspanjali Behera,06-Dec-2025 05:46 PM,,BOQ Comparative Chart,1,3248881,ANIL KUMAR MOHANTY,25-Nov-2025 02:54 PM,Accepted-AOC,Work has been awarded to Anil Ku Mohanty,30-Jan-2026 03:45 PM,CE RW I||RWCIRCLE-KENDRAPARA||RW Division II-Jajpur,2025_CERWI_121581_14,Tender Online JJPR-II-04 of 2025-26,Repair to bridge over HLC range-1 near Kustira on Dharmasala Kabatabandha road for the year 2025-26,1.0,3248881.0,ANIL KUMAR MOHANTY,INR,"713,489",20-Dec-2025,"INR 713,489",30.0,Puspanjali Behera,30-Jan-2026 03:44 PM,119.pdf (477.00 KB),AOC
,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"No Relation certificate, affidavit regarding correctness certificate and other documents as per DTCN",AOC,,,,,,,,,,,,,,,,,,,2,3253694,MAHESHWAR BEHERA,25-Nov-2025 12:59 PM,Rejected-Finance,Not selected in the lottery,19-Dec-2025 06:48 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,3,3248882,MANAS KUMAR MALIK,23-Nov-2025 08:23 PM,Rejected-Finance,Not selected in the lottery,19-Dec-2025 06:48 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,3254819,SRIDHAR BEHERA,25-Nov-2025 04:41 PM,Rejected-Finance,Not selected in the lottery,19-Dec-2025 06:48 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,3252619,TAPAN KUMAR SETHY,25-Nov-2025 04:23 PM,Rejected-Finance,Not selected in the lottery,19-Dec-2025 06:48 PM,,,,,,,,,,,,,,,,AOC
