S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
1.0,3229189.0,MITHUN PATRA,INR,"4,321,664.07",Executive Engineer,Internal,,Prasanna Kumar Pattanaik,22-Jan-2026 06:06 PM,finsummary_562966.pdf (366.16 KB),Technical,Tender documents to be verified,Sujata Hembram,28-Nov-2025 08:36 PM,,CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-RAYAGADA,2025_CERWI_120991_1,EERWRGD Online 06 2025 26,Maintenance to PS road to Sangavalasa road in Muniguda Block for the year 2025 26,Finance,TENDER DOCUMENT,Prasanna Kumar Pattanaik,22-Jan-2026 06:01 PM,finance_562966.pdf,BOQ Comparative Chart,"DAO, Estimator, Executive Engineer",Internal,,Prasanna Kumar Pattanaik,06-Dec-2025 05:51 PM,06-Dec-2025 06:00 PM,techsummary_562966.pdf (524.89 KB),1,3230914,BODEPU SONIA,17-Nov-2025 10:39 AM,Rejected-AOC,1st LOWEST,22-Jan-2026 06:13 PM,22-Jan-2026,"INR 4,321,664.07",60.0,Prasanna Kumar Pattanaik,22-Jan-2026 06:13 PM,WORKORDERSANGAVALASA.pdf (1908.00 KB),AOC,CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-RAYAGADA,EERWRGD Online 06 2025 26,2025_CERWI_120991_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,Maintenance to PS road to Sangavalasa road in Muniguda Block for the year 2025 26,Maintenance to PS road to Sangavalasa road in Muniguda Block for the year 2025 26,NA ,NA ,"50,84,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Rayagada,765001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, RAYAGADA",No ,No,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Affidavit GSTIN PAN RC and other papers as per DTCN,10-Nov-2025 10:00 AM,18-Nov-2025 11:00 AM,10-Nov-2025 10:00 AM,17-Nov-2025 05:00 PM,10-Nov-2025 10:00 AM ,15-Nov-2025 10:00 AM ,10-Nov-2025 10:00 AM,17-Nov-2025 05:00 PM,06-Dec-2025 06:00 PM,"50,840",Yes,fixed,,Nil,Nil,Executive Engineer,"RURAL WORKS DIVISION, RAYAGADA",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3229947,CHANDRA SEKHAR SAHUKAR,16-Nov-2025 07:04 PM,Rejected-AOC,1st LOWEST,22-Jan-2026 06:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3220503,JULLY BEHERA,13-Nov-2025 01:00 PM,Rejected-AOC,1st LOWEST,22-Jan-2026 06:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3226915,KAILASH CHANDRA MOHANTY,15-Nov-2025 01:37 PM,Rejected-AOC,1st LOWEST,22-Jan-2026 06:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3228408,Kunja Bihari Sahu,16-Nov-2025 11:28 AM,Rejected-AOC,1st LOWEST,22-Jan-2026 06:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3228298,MANAS SAHUKAR,15-Nov-2025 07:28 PM,Rejected-AOC,1st LOWEST,22-Jan-2026 06:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3229189,MITHUN PATRA,16-Nov-2025 08:29 PM,Accepted-AOC,AS PER LOTTER WINER,22-Jan-2026 06:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3228562,PABITRA HUIKA,16-Nov-2025 12:28 PM,Rejected-AOC,1st LOWEST,22-Jan-2026 06:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3231920,Rabinder Singh,17-Nov-2025 01:52 PM,Rejected-AOC,1st LOWEST,22-Jan-2026 06:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3229453,SWAGATIKA BHUYAN,16-Nov-2025 02:52 PM,Rejected-AOC,1st LOWEST,22-Jan-2026 06:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
