Name,Address,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Registrar,"Odisha University of Technology and Research, Techno campus, Mahalaxmi Vihar, Bhubaneswar, PIN- 751 029",1.0,DD - Demand Draft,"5,000",Odisha University of Technology and Research,Bhubaneswar,Yes,13-Aug-2025 06:00 PM,09-Sep-2025 11:00 AM,14-Aug-2025 10:00 AM,08-Sep-2025 06:00 PM,NA ,NA ,14-Aug-2025 11:00 AM,08-Sep-2025 06:00 PM,09-Dec-2025 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Tender Document,Providing Catering Services to different Halls of Residences of OUTR,Providing Catering Services to different Halls of Residences of the University,Please refer Tender documents. ,NA ,,Miscellaneous Services,NA ,Tender,120.0,NA ,"OUTR, Bhubaneswar",751029.0,NA ,NA ,NA ,Bhubaneswar,No ,No,"25,000",Yes,fixed,,Odisha University of Technology and Research,Bhubaneswar,1.0,Corrigendum for Change in EMD as mentioned in Annexure-X,Other,,Odisha University of Technology and Research,OUTR/CW/Mess Catering/2025-26/17,2025_OUTR_116710_1,Yes,Open Tender,Item Rate,Services,2.0,No,No,Offline,No,No,No,AOC,Prof. D. P. Satapathy,Internal,"Prof. B R Das, Dr. M C Tripathy, Dr. M P Mishra, Dr. D R Swain, Mr. J Sethi, Mrs. P Sahu, Mrs. J Hansda, Mrs. S Behera",Anjan Kumar Sahoo,23-Dec-2025 11:30 AM,finsummary_548992.pdf (861.84 KB),01-Feb-2026,"INR 5,688,000",365.0,Anjan Kumar Sahoo,14-Jan-2026 10:53 AM,WorkOrder.pdf (3449.00 KB),The above amount is the approximate combine monthly rate of all the hostel mess.,Finance,The financial bid is opened in due time.,Anjan Kumar Sahoo,09-Dec-2025 03:39 PM,finance_548992.pdf,BOQ Comparative Chart,Technical,The bid was opened successfully in the scheduled time. Total 18 (Eighteen) bidders were submitted the bid.,Anjan Kumar Sahoo,09-Sep-2025 02:57 PM,technical_548992.pdf,1,3069804,ALLIN SECURITY AND INTELLIGENCE SERVICE,08-Sep-2025 05:52 PM,Rejected-Technical,Fails to comply with Clause No. 8 of Eligibility Criteria.,04-Dec-2025 01:12 PM,Odisha University of Technology and Research,2025_OUTR_116710_1,OUTR/CW/Mess Catering/2025-26/17,Providing Catering Services to different Halls of Residences of OUTR,1.0,3065377.0,NISCHINT MULTISERVICE PVT. LTD.,INR,"1,680,000",Prof. D P Satapathy,Internal,"Prof. B R Das, Dr. M C Tripathy, Dr. M P Mishra, Dr. D R Swain. Mr. J Sethi, Mrs. P Sahu, Mrs. J Hansda, Mrs. S Behera",Anjan Kumar Sahoo,04-Dec-2025 01:12 PM,09-Dec-2025 11:00 AM,techsummary_548992.pdf (1210.28 KB),AOC
,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,3064253,ASHOK CATERING,08-Sep-2025 11:43 AM,Rejected-Technical,"Fails to comply with Clause No. 8 of Eligibility Criteria, and Turnover below 1Cr.",04-Dec-2025 01:12 PM,,,,,2.0,3068359.0,SUMANTA KUMAR DAS,INR,"2,450,000",,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,3062250,care supply & services,08-Sep-2025 11:14 AM,Rejected-Technical,Fails to comply with Clause No. 8 of Eligibility Criteria,04-Dec-2025 01:12 PM,,,,,3.0,3069023.0,M/S GANAPATI INTELLIGENCE SERVICE PRIVATE LIMITED,INR,"1,558,000",,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,3067933,Ganeswar Hospitality And Services,08-Sep-2025 04:15 PM,Rejected-Technical,"Fails to comply with Clause No. 8 of Eligibility Criteria, Mandatory documents missing.",04-Dec-2025 01:12 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,3068904,LOTUS CARE SERVICES,08-Sep-2025 02:49 PM,Rejected-Technical,"Fails to comply with Clause No. 8 of Eligibility Criteria, Mandatory documents missing.",04-Dec-2025 01:12 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,3063729,MADHUMATI CATERERS,04-Sep-2025 06:42 PM,Rejected-Technical,Fails to comply with Clause No. 8 of Eligibility Criteria,04-Dec-2025 01:12 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,3069883,MARS DEVELOPERS & SUPPLIERS,08-Sep-2025 05:59 PM,Rejected-Technical,Document submitted found improper.,04-Dec-2025 01:12 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,3069023,M/S GANAPATI INTELLIGENCE SERVICE PRIVATE LIMITED,08-Sep-2025 02:10 PM,Accepted-AOC,L3 bidder but agreed to serve in L1 price. Assigned APJAKHR and New Ladies Hostel.,14-Jan-2026 10:53 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,3068341,M/S MAA MANGALA SERVICES,08-Sep-2025 11:43 AM,Rejected-Technical,Fails to comply with Clause No. 8 of Eligibility Criteria,04-Dec-2025 01:12 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,3069775,M/S-SAI SUPPLY AGENCY,08-Sep-2025 05:53 PM,Rejected-Technical,Fails to comply with Clause No. 8 of Eligibility Criteria.,04-Dec-2025 01:12 PM,,,,,,,,,,,,,,,,,AOC
