S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Tender Stage
1.0,3030283.0,BHAGABATI SOHELA,INR,"725,892.28",Finance,Opened,Vikas Mundari,16-Sep-2025 03:31 PM,finance_547659.pdf,BOQ Comparative Chart,Administrator,Internal,,SUSHANTA PATEL,08-Jan-2026 12:19 PM,finsummary_547659.pdf (437.76 KB),Municipal Bodies||Sundargarh Municipality,2025_ORULB_116126_7,EO/SNGM/03/25-26,Construction of Road and drain near Prabhat Kumar Samal house at Sri Nagar in Word no 18,Administrator,Internal,,Vikas Mundari,08-Jan-2026 11:52 AM,techsummary_547659.pdf (437.73 KB),1,3030283,BHAGABATI SOHELA,10-Aug-2025 07:37 PM,Accepted-AOC,Accepted,12-Jan-2026 04:31 PM,12-Jan-2026,"INR 856,553",60.0,Vikas Mundari,12-Jan-2026 04:31 PM,aaoc4.pdf (716.00 KB),AoC,AOC,"8,064",Yes,fixed,,Nil,Nil,"4,000",0.0,Nil,Nil,No,Construction of Road and drain near Prabhat Kumar Samal house at Sri Nagar in Word no 18,Construction of Road and drain near Prabhat Kumar Samal house at Sri Nagar in Word no 18,Please refer Tender documents. ,NA ,"8,06,472",Civil Works - Others,NA ,Rate Contract,120.0,NA ,Sundargarh Municipality,770001.0,NA ,NA ,NA ,Sundargarh Municipality,No ,No,Municipal Bodies||Sundargarh Municipality,EO/SNGM/03/25-26,2025_ORULB_116126_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,29-Jul-2025 11:00 AM,13-Aug-2025 11:00 AM,29-Jul-2025 11:00 AM,12-Aug-2025 05:00 PM,NA ,NA ,29-Jul-2025 11:00 AM,12-Aug-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,Document as per DTCN,1,ICICI BANK,"Executive Officer, Sundargarh Municipality","Executive Officer, Sundargarh Municipality",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3030315,RABINDRA MEHER,11-Aug-2025 07:29 PM,Rejected-AOC,Not Accepted,12-Jan-2026 04:31 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,2,ICICI NEFT/RTGS,,,AOC
