Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,Tender Opening for construction of additional class room Building at govt PS Kenduguda,Suchismita Behera,22-Aug-2025 06:09 PM,,BOQ Comparative Chart,1.0,3029185.0,KORADA KOMALI,INR,"1,299,942",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Rayagada||GUDARI,2025_PZPRG_115997_4,"01/2025-26 of PANCHAYAT SAMITI,GUDARI Dt 21.07.2025",construction of additional class room Building at govt PS Kenduguda,BDO Gudari,Internal,,Suchismita Behera,12-Jan-2026 07:07 PM,finsummary_547380.pdf (1083.95 KB),BDO Gudari,Internal,,Suchismita Behera,12-Jan-2026 06:55 PM,techsummary_547380.pdf (668.88 KB),1,3033911,Balaram Panigrahi,12-Aug-2025 08:18 PM,Rejected-Finance,Not Qualified in the Lottery System,12-Jan-2026 07:07 PM,12-Jan-2026,"INR 1,299,942",90.0,Suchismita Behera,12-Jan-2026 07:12 PM,workorderKenduguda.pdf (334.00 KB),AOC,30-Jul-2025 11:30 AM,21-Aug-2025 11:30 AM,30-Jul-2025 11:30 AM,16-Aug-2025 05:00 PM,NA ,NA ,30-Jul-2025 11:30 AM,16-Aug-2025 05:00 PM,"15,292",Yes,fixed,,Nil,Nil,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Rayagada||GUDARI,"01/2025-26 of PANCHAYAT SAMITI,GUDARI Dt 21.07.2025",2025_PZPRG_115997_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, GST, PAN, AFFIDAVITS, EMD, EXEMPTION CERTIFICATES IF ANY",1.0,ICICI BANK,construction of additional class room Building at govt PS Kenduguda,construction of additional class room Building at govt PS Kenduguda,Please refer Tender documents. ,NA ,"15,29,164",Civil Works - Buildings,NA ,Tender,120.0,90.0,PS KENDUGUDA,765026.0,NA ,NA ,NA ,"Panchayat Samiti,Gudari",No ,No,Block Development Officer,"Panchayat Samiti,Gudari","6,000",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3037348,Bighnaraj Barik,15-Aug-2025 08:19 PM,Rejected-Finance,Not Qualified in the Lottery System,12-Jan-2026 07:07 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ for the work construction of ACR building at Gudari block,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3036001,KORADA KASIVISWANATH,14-Aug-2025 02:18 PM,Rejected-Finance,Not Qualified in the Lottery System,12-Jan-2026 07:07 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3029185,KORADA KOMALI,09-Aug-2025 04:13 PM,Accepted-AOC,Awarded,12-Jan-2026 07:14 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3036654,SAMIT KUMAR TULO,15-Aug-2025 09:53 AM,Rejected-Finance,Not Qualified in the Lottery System,12-Jan-2026 07:07 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3033699,VOONA SASHIBHUSAM RAO,14-Aug-2025 07:08 PM,Rejected-Finance,Not Qualified in the Lottery System,12-Jan-2026 07:07 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
