S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
1.0,3252212.0,BISWAJIT PANDA,INR,"801,714.46",SUMIT SOURAV SAHU,Internal,SAMIRAN NANDY S AMANNATH SUBUDHI,S. AMARNATH SUBUDHI,29-Jan-2026 12:21 PM,finsummary_565139.pdf (1265.20 KB),Technical,2 nos of bidder are participated for Technical Evalution.,S. AMARNATH SUBUDHI,29-Nov-2025 05:44 PM,,EIC-CIVIL||SERNB-CIRCLE-EASTERN||EERNB-DIVN-RAIRANGPUR,2025_EICCL_121476_1,36.0,Construction of Courtroom/ conference hall of ARCS Rairangpur (Building work),Finance,opened,S. AMARNATH SUBUDHI,12-Dec-2025 11:43 AM,,BOQ Comparative Chart,SUMIT SOURAV SAHU,Internal,SAMIRAN NANDY AMARNATH SUBUDHI,Sumit Saurav Sahu,09-Dec-2025 04:27 PM,12-Dec-2025 11:00 AM,techsummary_565139.pdf (1749.00 KB),1,3252212,BISWAJIT PANDA,25-Nov-2025 12:06 PM,Accepted-AOC,Lottery Winner,29-Jan-2026 12:25 PM,29-Jan-2026,"INR 801,714.46",30.0,S. AMARNATH SUBUDHI,29-Jan-2026 12:25 PM,65.pdf (1265.00 KB),AOC,1.0,Corrigendum,Fee,,1,Fee/PreQual/Technical,.pdf,"RC, PAN,GSTIN,VAILD LICENSE, MACHINERIES, AFFIDAVIT AND OTHER DOCUMENTS as per DTCN",EIC-CIVIL||SERNB-CIRCLE-EASTERN||EERNB-DIVN-RAIRANGPUR,36.0,2025_EICCL_121476_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,ICICI BANK,"4,000",0.0,Nil,Nil,No,"9,431",Yes,percentage,1.0%,Nil,Nil,Construction of Courtroom/ conference hall of ARCS Rairangpur (Building work),Construction of Courtroom/ conference hall of ARCS Rairangpur (Building work),NA ,NA ,"9,43,083",Civil Works - Buildings,NA ,Tender,90.0,30.0,Rairangpur,757043.0,NA ,NA ,NA ,"ROADS and BUILDINGS DIVISION, RAIRANGPUR",No ,No,19-Nov-2025 10:00 AM,26-Nov-2025 11:00 AM,19-Nov-2025 10:00 AM,25-Nov-2025 04:00 PM,19-Nov-2025 10:00 AM ,25-Nov-2025 04:00 PM ,19-Nov-2025 10:00 AM,25-Nov-2025 04:00 PM,12-Dec-2025 11:00 AM,Divisional Officer,"ROADS and BUILDINGS DIVISION, RAIRANGPUR",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3246598,SWARUP CHANDRA BEHERA,22-Nov-2025 05:07 PM,Rejected-AOC,Lottery,29-Jan-2026 12:25 PM,,,,,,,AOC,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
