Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Bargarh,2025_OLIC_121719_1,EE/OLIC/BGH-06/2025-26,Execution of Reinforcement work of Paharsrigida-I R.L. Project under Attabira Block in Bargarh District.,1.0,3269053.0,M/S PRATIBHA CONSTRUCTION,INR,"2,192,622.98",S N Tripathy,Internal,"S ROUT, R C BESHRA",Surya Narayan Tripathy,10-Jan-2026 11:43 AM,techsummary_566265.pdf (488.13 KB),10-Jan-2026,"INR 2,192,622.98",60.0,Surya Narayan Tripathy,10-Jan-2026 11:58 AM,Paharsrigida.pdf (608.00 KB),Awarded Bidder,Finance,Open,SRIKANTA ROUT,02-Dec-2025 12:45 PM,finance_566265.pdf,BOQ Comparative Chart,S N Tripathy,Internal,"S ROUT, R C BESHRA",Surya Narayan Tripathy,10-Jan-2026 11:48 AM,finsummary_566265.pdf (488.13 KB),1,3268935,Bolli Shyam Babu,01-Dec-2025 12:13 PM,Rejected-Technical,Unsuccessful bidder,10-Jan-2026 11:43 AM,AOC,"7,080",0.0,Nil,Nil,No,Execution of Reinforcement work of Paharsrigida-I R.L. Project under Attabira Block in Bargarh District.,Irrigation Work,Please refer Tender documents. ,NA ,"25,79,253",Civil Works - Lift Irrigation Schemes,NA ,Tender,60.0,60.0,Bargarh,768028.0,NA ,NA ,NA ,"O/o the Executive Engineer, L.I. Division, Bargarh",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Paper Cost, EMD, GSTIN, PAN, Registration Certificate, Affidavit, and other as per DTCN",1.0,ICICI BANK,"25,793",Yes,percentage,1.0%,Nil,Nil,21-Nov-2025 02:00 PM,02-Dec-2025 11:00 AM,21-Nov-2025 02:00 PM,01-Dec-2025 05:00 PM,21-Nov-2025 02:00 PM ,29-Nov-2025 05:00 PM ,21-Nov-2025 02:00 PM,01-Dec-2025 05:00 PM,"Executive Engineer, L.I. Division, Bargarh","O/o the Executive Engineer, L.I. Division, Bargarh",Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Bargarh,EE/OLIC/BGH-06/2025-26,2025_OLIC_121719_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3269145,KHARABELA KHAMARI,01-Dec-2025 11:54 AM,Rejected-Technical,Unsuccessful bidder,10-Jan-2026 11:43 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3269053,M/S PRATIBHA CONSTRUCTION,01-Dec-2025 11:31 AM,Accepted-AOC,Awarded,10-Jan-2026 11:58 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3262240,M/S SAI BALAJI CONSTRUCTION,28-Nov-2025 08:54 AM,Rejected-Technical,Unsuccessful bidder,10-Jan-2026 11:43 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
