Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
Executive Engineer,Internal,"SujataDishariEE,BrajBhushanKumarDAO,SatyanarayanBehera,Estimator",Satya Narayan Behera,21-Jan-2026 02:05 PM,techsummary_572192.pdf (625.04 KB),21-Jan-2026,"INR 1,989,340.8",180.0,Satya Narayan Behera,21-Jan-2026 02:11 PM,575.PDF (1033.00 KB),Work Order,1,3332664,BIBEK KUMAR DEURI,28-Dec-2025 01:55 PM,Accepted-AOC,Selected in Transparent Lottery,21-Jan-2026 02:12 PM,1.0,3332664.0,BIBEK KUMAR DEURI,INR,"1,989,340.8",Finance,summary,Satya Narayan Behera,21-Jan-2026 02:01 PM,finance_572192.pdf,BOQ Comparative Chart,Executive Engineer,Internal,"SujataDishariEE,BrajBhushanKumarDAO,SatyanarayanBehera,Estimator",Satya Narayan Behera,21-Jan-2026 02:08 PM,finsummary_572192.pdf (625.04 KB),CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-MALKANGIRI,2025_CERWI_123425_1,"06/RWD-I,MKG/2025-26",Construction of 1 No F Type Quarter at Badapada for the year 2025-26,AOC,"6,000",0.0,Nil,Nil,No,Divisional Officer,"RURAL WORKS DIVISION, MALKANGIRI",CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-MALKANGIRI,"06/RWD-I,MKG/2025-26",2025_CERWI_123425_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1,ICICI BANK,18-Dec-2025 09:00 AM,30-Dec-2025 11:00 AM,18-Dec-2025 09:00 AM,29-Dec-2025 05:00 PM,18-Dec-2025 09:00 AM ,26-Dec-2025 05:00 PM ,18-Dec-2025 09:00 AM,29-Dec-2025 05:00 PM,"23,400",Yes,fixed,,Nil,Nil,Construction of 1 No F Type Quarter at Badapada for the year 2025-26,Construction of 1 No F Type Quarter at Badapada for the year 2025-26,NA ,NA ,"23,40,126",Civil Works - Buildings,NA ,Tender,90.0,180.0,Malkangiri,764048.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, MALKANGIRI",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"GST,PANCARD,VALID REGN,AFFIDEVIT CORRECTNESS,REGARDING NO RELATION CERTIFICATE",AOC
,,,,,,,,,,,,,2,3329341,M/S ASHOK KUMAR PATRA,26-Dec-2025 12:23 PM,Rejected-Technical,Not Selected in Transparent Lottery,21-Jan-2026 02:05 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,AOC
