Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Superintending Engineer,"Superintending Engineer, M.I. Division, Jeypore",Construction of C.C. Lining of MC from RD 1075m to 1680m and Left BC from RD 1216m to 2730m Dungri MIP in Koraput Block of Koraput District under CAPEX Lining Grant for the Year 2025-26,Construction of C.C. Lining of MC from RD 1075m to 1680m and Left BC from RD 1216m to 2730m Dungri MIP in Koraput Block of Koraput District under CAPEX Lining Grant for the Year 2025-26,Please refer tender documents ,NA ,"90,99,488",Civil Works - Water Works,NA ,Tender,90.0,90.0,Koraput,764020.0,NA ,NA ,NA ,"Superintending Engineer, M.I. Division, Jeypore",No ,No,"CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore||EE,MI Divn, Malkangir",MIDJEY12/2025-26,2025_CEMIB_121898_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"91,000",Yes,fixed,,Nil,Nil,25-Nov-2025 10:00 AM,10-Dec-2025 11:00 AM,25-Nov-2025 10:00 AM,09-Dec-2025 05:30 PM,NA ,NA ,25-Nov-2025 10:00 AM,09-Dec-2025 05:30 PM,15-Dec-2025 04:30 PM,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"PAN GSTIN, License, Affidavit and as per DTCN",1.0,ICICI BANK,AOC,28-Jan-2026,"INR 7,735,475",90.0,Nihar Ranjan Behera,28-Jan-2026 04:16 PM,Dunguriaoc.pdf (176.00 KB),AOC,1,3279953,BIRAJA MAHIMA PANIGRAHI,04-Dec-2025 07:36 PM,Rejected-AOC,Reject,28-Jan-2026 04:16 PM,Finance,On opening the bids total 16 nos. of bids were found to be received online. Hence 16 nos. of bids were found to be valid.,Nihar Ranjan Behera,28-Jan-2026 04:04 PM,finance_566681.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,,Nihar Ranjan Behera,15-Dec-2025 02:10 PM,15-Dec-2025 04:30 PM,techsummary_566681.pdf (714.36 KB),Superintending Engineer,Internal,,Nihar Ranjan Behera,28-Jan-2026 04:11 PM,finsummary_566681.pdf (135.67 KB),"CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore||EE,MI Divn, Malkangir",2025_CEMIB_121898_2,MIDJEY12/2025-26,Construction of C.C. Lining of MC from RD 1075m to 1680m and Left BC from RD 1216m to 2730m Dungri MIP in Koraput Block of Koraput District under CAPEX Lining Grant for the Year 2025-26,Technical,On opening the bids total16 nos. of bids were found to be received online. Hence 16 nos. of bids were found to be valid.,Nihar Ranjan Behera,15-Dec-2025 02:03 PM,technical_566681.pdf,1.0,3290089.0,TRIPATI KUMAR MAJHI,INR,"7,735,475",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,2,3286332,CHANDANA MISHRA,07-Dec-2025 05:21 PM,Rejected-AOC,Reject,28-Jan-2026 04:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3291906,DILIP KUMAR PRADHAN,09-Dec-2025 04:20 PM,Rejected-AOC,Reject,28-Jan-2026 04:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3291367,DURMAN MUDULI (S.T),09-Dec-2025 01:12 PM,Rejected-AOC,Reject,28-Jan-2026 04:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3290144,JITENDRA SUBUDHI,08-Dec-2025 05:49 PM,Rejected-AOC,Reject,28-Jan-2026 04:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3288544,JOGESH DAMI,08-Dec-2025 01:07 PM,Rejected-AOC,Reject,28-Jan-2026 04:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3286808,JUDHISTIR BEHERA,07-Dec-2025 07:53 PM,Rejected-AOC,Reject,28-Jan-2026 04:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3291329,LAXMIKANTA BIDIKA,09-Dec-2025 01:01 PM,Rejected-AOC,Reject,28-Jan-2026 04:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3289341,RAMESH CHANDRA SETHI,08-Dec-2025 03:06 PM,Rejected-AOC,Reject,28-Jan-2026 04:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3291455,SANKET KUMAR PADHI,09-Dec-2025 02:01 PM,Rejected-AOC,Reject,28-Jan-2026 04:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
