S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,ICICI BANK,"O/O the Suptd. Engineer, R. W. Division,","O/O the Suptd. Engineer, R. W. Division,",S/R to Benupur to Kulapatasara Road for the year 2025-26.,S/R to Benupur to Kulapatasara Road for the year 2025-26,Please refer Tender documents. ,NA ,"5,03,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Jagatsinghpur,754103.0,NA ,NA ,NA ,"O/O the Suptd. Engineer, R. W. Division,",No ,No,15-Oct-2025 02:00 PM,29-Oct-2025 11:00 AM,16-Oct-2025 09:00 AM,28-Oct-2025 05:00 PM,16-Oct-2025 09:00 AM ,24-Oct-2025 03:00 PM ,16-Oct-2025 09:00 AM,28-Oct-2025 05:00 PM,"5,030",Yes,fixed,,Nil,Nil,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, GSTIN, PAN, Regd. Cert, No Relation and affidavit towards Correctness Certificate",CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAGATSINGHPUR,Tender Online - 04 of 2025-26,2025_CERWI_119523_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,"SE,RW,JSPUR",Internal,,Dipika Majhi,02-Jan-2026 01:42 PM,finsummary_556167.pdf (2050.16 KB),CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAGATSINGHPUR,2025_CERWI_119523_2,Tender Online - 04 of 2025-26,S/R to Benupur to Kulapatasara Road for the year 2025-26.,1.0,3142558.0,ASHOK KUMAR SWAIN,INR,"427,744",Finance,Summary,Dipika Majhi,21-Nov-2025 01:52 PM,finance_556167.pdf,BOQ Comparative Chart,1,3161616,ABHIJIT DAS,27-Oct-2025 11:34 PM,Rejected-Technical,L2,21-Nov-2025 01:57 PM,02-Jan-2026,"INR 427,744",30.0,Dipika Majhi,02-Jan-2026 01:45 PM,8321.pdf (2050.00 KB),S/R to Benupur to Kulapatasara Road for the year 2025-26.,"SE,RW,JSPUR",Internal,,Dipika Majhi,21-Nov-2025 01:57 PM,techsummary_556167.pdf (2135.24 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3154984,AMAR PRASAD RAY,26-Oct-2025 04:41 PM,Rejected-Technical,L2,21-Nov-2025 01:57 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3142558,ASHOK KUMAR SWAIN,22-Oct-2025 01:27 PM,Accepted-AOC,successful bidder,02-Jan-2026 01:45 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3136752,ASHUTOSH BISWAL,20-Oct-2025 11:39 AM,Rejected-Technical,L2,21-Nov-2025 01:57 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3153488,BIJAYA BHOL,26-Oct-2025 10:57 AM,Rejected-Technical,L2,21-Nov-2025 01:57 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3159583,DASARATHI SWAIN,27-Oct-2025 03:02 PM,Rejected-Technical,L2,21-Nov-2025 01:57 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3163411,HIMANSU SEKHAR PAITAL,28-Oct-2025 02:25 PM,Rejected-Technical,L2,21-Nov-2025 01:57 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3155792,JYOTI RANJAN NANDA,27-Oct-2025 07:52 PM,Rejected-Technical,L2,21-Nov-2025 01:57 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3132484,MANAS KUMAR MUDULI,22-Oct-2025 12:22 PM,Rejected-Technical,L2,21-Nov-2025 01:57 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3157701,M/S BHABANI PRASAD ROUT,27-Oct-2025 10:43 PM,Rejected-Technical,L2,21-Nov-2025 01:57 PM,,,,,,,,,,,,,,AOC
