Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
30-Oct-2025 10:00 AM,14-Nov-2025 11:00 AM,30-Oct-2025 10:00 AM,13-Nov-2025 05:00 PM,NA ,NA ,30-Oct-2025 10:00 AM,13-Nov-2025 05:00 PM,"Superintending Engineer,M.I Division, Balasore",Office of the Superintending Engineer Minor Irrigation Division Balasore Near Fandi Chhaka Balasore 756001,Improvement to Kandaradihia Check Dam in Jaleswar Block of Balasore District under Improvement to Check Dam Scheme for the year 2025-26.,Improvement to Kandaradihia Check Dam in Jaleswar Block of Balasore District under Improvement to Check Dam Scheme for the year 2025-26.,Please refer Tender documents ,NA ,"12,58,120",Civil Works - Others,NA ,Tender,90.0,120.0,Jaleswar Block,756032.0,NA ,NA ,NA ,Office of the Superintending Engineer Minor Irriga,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Online Bid cost, EMD, Valid RC, GSTN, PAN, NRC, Affidavit and any other documents as per DTCN",1.0,ICICI BANK,"CE,Minor Irrigation,BBSR||Baripada Minor Irrigation Circle Baripada||MI Division Balasore",SEMIDBLS-05/2025- 26,2025_CEMIB_120246_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,"12,600",Yes,fixed,,Nil,Nil,AOC,1,3219642,ALINA PATI,13-Nov-2025 10:21 AM,Rejected-Finance,1st lowest tenderer is not Lottery winner,05-Jan-2026 05:13 PM,05-Jan-2026,"INR 1,069,528",120.0,ELEENA MISHRA,05-Jan-2026 05:20 PM,Kandaradihiaaoc.pdf (213.00 KB),"As per the result of transparent lottery, the lowest bidder being 14.99%less than the estimated cost put to tender, Pratima Chand contractor is declared as winner",Superintending Engineer,Internal,"The following persons of this office will act as members of tender committee of this division Smt Rama Dutta, D.A.O. as Member, Er Eleena Mishra, A.E (Estimator)as Member. Er Saraswati Hembram, A.E.",ELEENA MISHRA,05-Jan-2026 05:09 PM,techsummary_559306.pdf (45.92 KB),Superintending Engineer,Internal,"The following persons of this office will act as members of tender committee of this division Smt Rama Dutta, D.A.O. as Member, Er Eleena Mishra, A.E (Estimator)as Member. Er Saraswati Hembram, A.E.",ELEENA MISHRA,05-Jan-2026 05:13 PM,finsummary_559306.pdf (45.92 KB),"CE,Minor Irrigation,BBSR||Baripada Minor Irrigation Circle Baripada||MI Division Balasore",2025_CEMIB_120246_4,SEMIDBLS-05/2025- 26,Improvement to Kandaradihia Check Dam in Jaleswar Block of Balasore District under Improvement to Check Dam Scheme for the year 2025-26.,1.0,3220426.0,PRATIMA CHAND,INR,"1,069,528",Finance,"As per technical evaluation, 5 out of 5 bidders are found to be qualified",ELEENA MISHRA,05-Jan-2026 05:02 PM,finance_559306.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Certificates, Formats, Schedules and other documents if any as per DTCN",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3219616,MRS. UTTARA PANDA,13-Nov-2025 10:26 AM,Rejected-Finance,1st lowest tenderer is not Lottery winner,05-Jan-2026 05:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3185749,M/S SANGRAM KUMAR KARAN,05-Nov-2025 08:28 PM,Rejected-Finance,1st lowest tenderer is not Lottery winner,05-Jan-2026 05:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3220426,PRATIMA CHAND,13-Nov-2025 11:58 AM,Accepted-AOC,You have been awarded the contract for this tender,05-Jan-2026 05:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3220142,RAMAKRUSHNA GIRl,13-Nov-2025 10:56 AM,Rejected-Finance,1st lowest tenderer is not Lottery winner,05-Jan-2026 05:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
