Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,All bidders have qualified,Soubhagya Kumar Das,30-Nov-2025 06:01 PM,,BOQ Comparative Chart,1.0,3253148.0,ALAKA PATRA,INR,"2,724,778",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-JALESWAR,2025_CERWI_121460_1,SE/RW/Jls-11/2025-26,Construction of E type quarter at Rajghat under Jaleswar Block for the year 2025-26,Er. Saubhagya Kumar Das,Internal,,Nirupama Sankhua,20-Jan-2026 02:36 PM,finsummary_565092.pdf (612.88 KB),Er Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,30-Nov-2025 06:06 PM,techsummary_565092.pdf (481.74 KB),1,3250120,ADWAITYA PRASAD DAS,24-Nov-2025 06:16 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:36 PM,20-Jan-2026,"INR 3,205,244",180.0,Nirupama Sankhua,20-Jan-2026 02:44 PM,rajghatbuildingworkorder.pdf (541.00 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"T.P. cost, EMD declaration, R.C., GST, PAN, Adhar, Affidavit etc as per DTCN",Construction of E type quarter at Rajghat under Jaleswar Block for the year 2025-26,Building Works,Please refer Tender documents. ,NA ,"32,05,244",Civil Works - Buildings,NA ,Tender,90.0,180.0,Jaleswar,756086.0,NA ,NA ,NA ,"Rural Works Division, Jaleswar",No ,No,"6,000",0.0,Nil,Nil,No,18-Nov-2025 10:00 AM,26-Nov-2025 11:00 AM,18-Nov-2025 11:00 AM,25-Nov-2025 05:00 PM,18-Nov-2025 11:00 AM ,24-Nov-2025 05:00 PM ,18-Nov-2025 11:00 AM,25-Nov-2025 05:00 PM,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-JALESWAR,SE/RW/Jls-11/2025-26,2025_CERWI_121460_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"Superintending Engineer, R.W. Division, Jaleswar","At/Po- Chalanti, Via- Jaleswar","32,052",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3253148,ALAKA PATRA,25-Nov-2025 10:20 AM,Accepted-AOC,The work order has issued to the agency.,20-Jan-2026 02:44 PM,,,,,,,AOC,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3251949,BIRENDRA JENA,25-Nov-2025 03:15 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:36 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3250030,CHINMAY MOHAPATRA,25-Nov-2025 12:30 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:36 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3246740,KANKAN JENA,25-Nov-2025 02:25 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:36 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3251815,LOKANATH JENA,25-Nov-2025 02:51 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:36 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3250180,MAA TARINI FABRICATION,25-Nov-2025 03:45 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:36 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3246759,MANMOHAN SINGH,25-Nov-2025 01:17 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:36 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3246508,MONALISHA ENTERPRISE,24-Nov-2025 07:15 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:36 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3252781,Pramila Mohalik,25-Nov-2025 06:45 AM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:36 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
