S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,3216645.0,ASHIS SARKAR,INR,"6,356,055","SE RWD-II, MKG",Internal,"Superintending Engineer, DAO, Estimator",Jangya Narayan Gouda,17-Jan-2026 05:52 PM,finsummary_562087.pdf (278.04 KB),Technical,Technical Evaluation,Jangya Narayan Gouda,12-Dec-2025 07:28 PM,technical_562087.pdf,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-MALKANGIRI - II,2025_CERWI_120868_1,08/2025-26,"SH-25 to MPV-12_Road_1 no Boxcell (2x6x3),Toe wall and CC road_At 1/850 km",Finance,AOC for Agreement Details,Jangya Narayan Gouda,17-Jan-2026 05:44 PM,finance_562087.pdf,BOQ Comparative Chart,"SE RWD-II, MKG",Internal,"Superintending Engineer, DAO, Estimator",Jangya Narayan Gouda,12-Dec-2025 07:33 PM,18-Dec-2025 11:00 AM,techsummary_562087.pdf (2146.19 KB),1,3220597,AJIT KUMAR MALLICK,13-Nov-2025 12:20 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,17-Jan-2026,"INR 6,356,055",90.0,Jangya Narayan Gouda,17-Jan-2026 06:51 PM,AGTSHtoMPV12AshisSarkar.pdf (278.00 KB),AOC for Agreement Details,AOC,Divisional Officer,"RURAL WORKS DIVISION NO.II, MALKANGIRI","SH-25 to MPV-12_Road_1 no Boxcell (2x6x3),Toe wall and CC road_At 1/850 km","SH-25 to MPV-12_Road_1 no Boxcell (2x6x3),Toe wall and CC road_At 1/850 km",NA ,NA ,"74,76,832",Civil Works - Roads,NA ,Tender,90.0,90.0,Malkangiri,764048.0,NA ,NA ,NA ,"RURAL WORKS DIVISION NO.II, MALKANGIRI",No ,No,1.0,Fee/PreQual/Technical,.pdf,"PANCARD, GST CONTRACTOR REGISTRATION, AFFIDAVIT LICENSE ETC",1.0,ICICI BANK,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-MALKANGIRI - II,08/2025-26,2025_CERWI_120868_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"74,780",Yes,fixed,,Nil,Nil,"10,000",0.0,Nil,Nil,No,06-Nov-2025 11:00 AM,15-Nov-2025 11:00 AM,06-Nov-2025 11:00 AM,14-Nov-2025 05:30 PM,06-Nov-2025 11:00 AM ,13-Nov-2025 03:00 PM ,06-Nov-2025 11:00 AM,14-Nov-2025 05:30 PM,18-Dec-2025 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3222358,Alok Patra,13-Nov-2025 06:44 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3223347,ANUP KUMAR SARKAR,14-Nov-2025 04:04 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3223054,Aryan Tawari,14-Nov-2025 03:39 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3216645,ASHIS SARKAR,12-Nov-2025 12:26 PM,Accepted-AOC,Lottery Winner,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3217826,B. Arun Patra,12-Nov-2025 04:46 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3223158,BASUDEV RAO,13-Nov-2025 10:23 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3221262,Bhabani Sankar Adari,13-Nov-2025 01:55 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3223251,BISWAJIEET MONDAL,14-Nov-2025 07:48 AM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3224812,BISWAJIT DHALI,14-Nov-2025 02:56 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3223208,B Sasmita,14-Nov-2025 03:56 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3214713,Dilip Somani,13-Nov-2025 05:03 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3224182,GITANJALI PADHAN,14-Nov-2025 04:22 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3202369,GOLLECHA DEBENDRA KUMAR JAIN,09-Nov-2025 05:05 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3219146,Gouranga Patra,13-Nov-2025 12:09 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3223729,Haripad Majumdar,14-Nov-2025 12:00 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3220721,Hari Prasad Choudhury,13-Nov-2025 07:21 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3201656,JANBI CONSTRUCTION,10-Nov-2025 06:51 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3211872,JAYANTA MANDAL,11-Nov-2025 12:09 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3224035,KISHORE CHAKRABARTY,14-Nov-2025 12:24 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3217048,Kumar Sanu Mondal,12-Nov-2025 07:09 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3224649,MEGHANA MOHANTY,14-Nov-2025 03:55 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3220223,MRINAL KANTA SARKAR,14-Nov-2025 03:24 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,3220999,MRITUNJAY DEY,13-Nov-2025 06:10 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3225502,Namita Tarini,14-Nov-2025 05:02 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,3198202,NARASINGH NAYAK,08-Nov-2025 05:39 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,3206553,Narayan Ray,11-Nov-2025 07:10 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,3218089,NAROTTAM HALDAR,12-Nov-2025 04:28 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,3211991,Pankaj Mandal,11-Nov-2025 01:49 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,3222589,Pradeepta Kumar Panda,13-Nov-2025 07:53 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,3223485,PRAGNYA PRAKASH,14-Nov-2025 01:12 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,3210496,PRASANJIT MONDAL,10-Nov-2025 11:22 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,3223631,PRASANTA KUMAR BISWAS,14-Nov-2025 10:52 AM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,3218871,Pratik Parida,12-Nov-2025 07:46 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,3209665,PUJA SARKAR,11-Nov-2025 06:55 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,3207108,P. Venketesh,10-Nov-2025 02:16 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,3225389,RAJENDRA KOTHIA,14-Nov-2025 04:52 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,3211806,RAJESH MAHAJAN,11-Nov-2025 11:56 AM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,3220476,RAMESH BARAI,14-Nov-2025 11:55 AM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,3197234,Ranjan Kumar Panda,08-Nov-2025 01:32 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,3206930,RATAN BISHWAS,13-Nov-2025 08:10 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,3220556,SADANANDA BISWAS,13-Nov-2025 12:02 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,3223197,SANJAY KUMAR GUPTA,14-Nov-2025 01:50 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,3221797,Smt. Gitanjali Panda,13-Nov-2025 03:51 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,3220866,SNIGDHA BISWAS,14-Nov-2025 10:48 AM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,3206209,Subham Surana,10-Nov-2025 09:00 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,3211868,SUJAN MANDAL,11-Nov-2025 12:21 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,3214217,Sukantha Mandal,11-Nov-2025 05:22 PM,Rejected-AOC,Un-Successful,17-Jan-2026 06:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
