S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,Date Corrigendum,Date,,CE RW I||RWCIRCLE-KENDRAPARA,Tender Online RCK-11/25,2025_CERWI_114815_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,"2,93,772",Yes,percentage,1.0%,Nil,Nil,24-Jun-2025 05:00 PM,11-Jul-2025 11:00 AM,24-Jun-2025 05:00 PM,10-Jul-2025 05:00 PM,24-Jun-2025 05:00 PM ,10-Jul-2025 02:00 PM ,24-Jun-2025 05:00 PM,10-Jul-2025 05:00 PM,14-Aug-2025 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, GST, EMD PAN,RC,NRC, Affidavit address other documents as per DTCN","Chief Construction Engineer,R.W Circle KPD-JJP","O/o CCE,R.W Circle,Kendrapara-Jajpur",1.0,ICICI BANK,Construction of road from North Gopalpur Solapuama to Udayagiri road in the Dist of Jajpur under MMSY-TRIP for the year 2024-25,Construction of road from North Gopalpur Solapuama to Udayagiri road in the Dist of Jajpur under MMSY-TRIP for the year 2024-25,NA ,NA ,"2,93,77,173",Civil Works - Roads,NA ,Tender,90.0,270.0,Jajpur,755001.0,NA ,NA ,NA ,"O/o CCE,R.W Circle,Kendrapara-Jajpur",No ,No,AOC,Technical,13 no of bidders have been participated,Suchitra Kar,11-Jul-2025 12:29 PM,,CE RW I||RWCIRCLE-KENDRAPARA,2025_CERWI_114815_1,Tender Online RCK-11/25,Construction of road from North Gopalpur Solapuama to Udayagiri road in the Dist of Jajpur under MMSY-TRIP for the year 2024-25,CCE,Internal,,Nibedita Nayak,14-Oct-2025 04:33 PM,finsummary_544252.pdf (121.63 KB),1.0,2994022.0,RAJIV KUMAR BISWAL,INR,"24,973,534",01-Dec-2025,"INR 24,973,534",270.0,Satyajit Dalai,28-Jan-2026 05:02 PM,W80.pdf (76.00 KB),The work has been awarded to Rajiv Biswal,1,2989916,ANANTA PRASAD MALIK,07-Jul-2025 10:34 PM,Rejected-Finance,Rejected Bidder,14-Oct-2025 04:33 PM,CCE,Internal,"CCE,DAO,Estimator",Satyajit Dalai,11-Aug-2025 02:54 PM,14-Aug-2025 11:00 AM,techsummary_544252.pdf (1348.52 KB),Finance,11 no of bidders have been participated,Suchitra Kar,14-Aug-2025 01:58 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2994071,BIJAYA KUMAR ROUT,09-Jul-2025 01:58 PM,Rejected-Finance,Rejected Bidder,14-Oct-2025 04:33 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2994102,BINAYAK SAMAL,09-Jul-2025 02:23 PM,Rejected-Technical,Disqualified due to insufficient of similar nature of work experience as per clause no. 2.1 (4) and due to insufficient A.T.O as per clause no. 2.1 (5) of eligibility criteria of General Instructions to tenderers of DTCN.,11-Aug-2025 02:54 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2993911,DEBABRATA SAMAL,09-Jul-2025 01:59 PM,Rejected-Finance,Rejected Bidder,14-Oct-2025 04:33 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2994119,DILIP KUMAR SAMAL,09-Jul-2025 02:34 PM,Rejected-Finance,Rejected Bidder,14-Oct-2025 04:33 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2993795,KALINGA CONSTRUCTION,09-Jul-2025 10:00 AM,Rejected-Finance,Rejected Bidder,14-Oct-2025 04:33 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2993181,KUNAL PATRA,08-Jul-2025 01:58 PM,Rejected-Finance,Rejected Bidder,14-Oct-2025 04:33 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2993937,"M/S. SHREE AGENCIES,PROP.- SUBHASIS JENA",09-Jul-2025 01:02 PM,Rejected-Finance,Rejected Bidder,14-Oct-2025 04:33 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2993946,PRAMOD KUMAR SAMAL,09-Jul-2025 02:01 PM,Rejected-Finance,Rejected Bidder,14-Oct-2025 04:33 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2994022,RAJIV KUMAR BISWAL,09-Jul-2025 01:42 PM,Accepted-AOC,The work has been awarded to Rajiv Biswal,28-Jan-2026 05:02 PM,,,,,,,,,,,,,,AOC
