S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3162494.0,ALAKA PATRA,INR,"2,132,871.01",Finance,12 nos. of bidders,Shibaji Pradhan,29-Oct-2025 12:29 PM,,BOQ Comparative Chart,Superintending Engineer,Internal,,Shibaji Pradhan,02-Jan-2026 04:29 PM,finsummary_556243.pdf (566.53 KB),EIC-CIVIL||SERNB-CIRCLE-BOLANGIR||EERNB-DIVN-KALAHANDI,2025_EICCL_119530_2,BC KLD-06/2025-26,"Construction of Conference Hall at Tahasil Office, Kesinga in the district of Kalahandi.",Superintending Engineer,Internal,,Shibaji Pradhan,02-Jan-2026 03:55 PM,techsummary_556243.pdf (566.53 KB),1,3162494,ALAKA PATRA,28-Oct-2025 03:40 PM,Accepted-AOC,1st lowest bidders,02-Jan-2026 04:32 PM,02-Jan-2026,"INR 2,132,871.01",90.0,Shibaji Pradhan,02-Jan-2026 04:32 PM,32p1.pdf (567.00 KB),AOC,EIC-CIVIL||SERNB-CIRCLE-BOLANGIR||EERNB-DIVN-KALAHANDI,BC KLD-06/2025-26,2025_EICCL_119530_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Contractor RC, PAN, GSTIN, Affidavits under taking other documents as per DTCN","25,090",Yes,percentage,1.0%,Nil,Nil,"Construction of Conference Hall at Tahasil Office, Kesinga in the district of Kalahandi.",Conference Hall,Please refer Tender documents. ,NA ,"25,08,965",Civil Works - Buildings,NA ,Tender,120.0,90.0,Kalahandi Kesinga,766012.0,NA ,NA ,NA ,O/O SE Kalahandi R and B Division,No ,No,15-Oct-2025 06:00 PM,29-Oct-2025 11:00 AM,15-Oct-2025 06:00 PM,28-Oct-2025 05:00 PM,15-Oct-2025 06:00 PM ,22-Oct-2025 05:00 PM ,15-Oct-2025 06:00 PM,28-Oct-2025 05:00 PM,Superintending Engineer,O/O Superintending Engineer Kalahandi R and B Division Bhawanipatna,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3159423,ANKIT KUMAR AGRAWAL,27-Oct-2025 08:31 PM,Rejected-Finance,Disqualified,02-Jan-2026 04:29 PM,,,,,,,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3160950,Debabrata Mohanty,27-Oct-2025 11:10 PM,Rejected-Finance,Disqualified,02-Jan-2026 04:29 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3158296,Gupteswar Behera,27-Oct-2025 07:22 PM,Rejected-Finance,Disqualified,02-Jan-2026 04:29 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3148318,JAGANATH PADHY,28-Oct-2025 09:41 AM,Rejected-Finance,Disqualified,02-Jan-2026 04:29 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3161265,Manoranjan Nayak,27-Oct-2025 08:31 PM,Rejected-Technical,Disqualified,02-Jan-2026 03:55 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3147672,M/S ADARSH AGENCY (PROP. ADARSH PRATAP SINGH),28-Oct-2025 01:17 PM,Rejected-Finance,Disqualified,02-Jan-2026 04:29 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3158446,RAKESH KUMAR SAHU,28-Oct-2025 09:31 AM,Rejected-Finance,Disqualified,02-Jan-2026 04:29 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3161078,SAIBRATA MOHANTY,28-Oct-2025 12:08 AM,Rejected-Finance,Disqualified,02-Jan-2026 04:29 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3159726,SAILEE AGRAWAL,28-Oct-2025 09:14 AM,Rejected-Finance,Disqualified,02-Jan-2026 04:29 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3159817,SAILESH KUMAR,28-Oct-2025 09:23 AM,Rejected-Finance,Disqualified,02-Jan-2026 04:29 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3158826,SANJEEB KUMAR AGRAWAL,28-Oct-2025 12:31 PM,Rejected-Finance,Disqualified,02-Jan-2026 04:29 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
