Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
15-Nov-2025 12:00 PM,26-Nov-2025 11:30 AM,15-Nov-2025 12:00 PM,25-Nov-2025 05:00 PM,15-Nov-2025 12:00 PM ,24-Nov-2025 05:00 PM ,15-Nov-2025 12:00 PM,25-Nov-2025 05:00 PM,EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EE R and B Div-II Sambalpur,SE / R and B / SBP II / 03 (online) / 2025-26,2025_EICCL_121275_4,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"Shifting of HT / LT line and electric poles for widening and strengthening of Govindpur to Karlakhaman from Lolobira to Sanphiringibahal via Pandupada, San Dumermunda chowk (Hanuman mandir) to Karlakhaman in the district of Sambalpur",Shifting of electric pole,Please refer Tender documents. ,NA ,"26,84,534",Electrical Works,NA ,Tender,90.0,90.0,Kuchinda,768222.0,NA ,NA ,NA ,O/O the SE Sambalpur (R and B) Divn-II,No ,No,1,ICICI BANK,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid license, PAN, GST, Affidavit and other documents as per DTCN","26,900",Yes,fixed,,Nil,Nil,SE Sambalpur (R and B) Divn-II,SE Sambalpur (R and B) Division No.II,AOC,03-Jan-2026,"INR 2,282,122",90.0,Jagatjit Behera,03-Jan-2026 06:48 PM,493126.pdf (431.00 KB),Agrt No.1348 P1 of 2025-26,1,3246061,M/S RAJENDRA SAHU,22-Nov-2025 02:21 PM,Accepted-AOC,Qualified in lottery,03-Jan-2026 06:48 PM,Jagatjeet Behera SE,Internal,"Sunita Dhurua JE (Estt), K C Swain EE (Estt), A K Mishra DAO",Jagatjit Behera,06-Dec-2025 06:49 PM,techsummary_564421.pdf (375.19 KB),Jagatjeet Behera SE,Internal,"Sunita Dhurua JE, K C Swain EE (Estt) A K Mishra DAO",Jagatjit Behera,03-Jan-2026 06:30 PM,finsummary_564421.pdf (238.49 KB),EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EE R and B Div-II Sambalpur,2025_EICCL_121275_4,SE / R and B / SBP II / 03 (online) / 2025-26,"Shifting of HT / LT line and electric poles for widening and strengthening of Govindpur to Karlakhaman from Lolobira to Sanphiringibahal via Pandupada, San Dumermunda chowk (Hanuman mandir) to Karlakhaman in the district of Sambalpur",1.0,3246061.0,M/S RAJENDRA SAHU,INR,"2,282,122",Finance,2 nos bid opened and to be evaluated,Jagatjit Behera,28-Nov-2025 09:00 AM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,.xls,Bill of Quantity,,,,,,,,,AOC,,,,,,,,2,3245736,PRADIP KUMAR RAY,22-Nov-2025 08:47 AM,Rejected-AOC,Disqualify in lottery,03-Jan-2026 06:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
