S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Tender Stage
1.0,3214286.0,ARADHYA CONSTRUCTIONS (PROP.BIJAY KUMAR BEHERA),INR,"7,074,745",Superintending Engineer,Internal,"The following persons of this office will act as members of tender committee of this division Smt Rama Dutta, D.A.O. as Member, Er Eleena Mishra, A.E (Estimator)as Member. Er Saraswati Hembram, A.E.",ELEENA MISHRA,05-Jan-2026 01:33 PM,finsummary_559295.pdf (45.92 KB),"CE,Minor Irrigation,BBSR||Baripada Minor Irrigation Circle Baripada||MI Division Balasore",2025_CEMIB_120229_3,SEMIDBLS-05/2025- 26,"Construction of Vertical Lining from RD107M to 795M of Similikhol Branch Canal, RD440M to 1100M of Nuasasan Branch Canal and RD00M to 382M of Sindhua Minor Canal-II of Sindhua MIP Res in Soro Block of Balasore District under CAPEX Lining Sc 2025-26",Technical,"As per technical evaluation, 11 out of 11 bidders are found to be qualified",ELEENA MISHRA,19-Nov-2025 04:52 PM,technical_559295.pdf,Finance,"As per technical evaluation, 11 out of 11 bidders are found to be qualified",ELEENA MISHRA,05-Jan-2026 01:27 PM,finance_559295.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,"The following persons of this office will act as members of tender committee of this division Smt Rama Dutta, D.A.O. as Member, Er Eleena Mishra, A.E (Estimator)as Member. Er Saraswati Hembram, A.E.",ELEENA MISHRA,19-Nov-2025 04:55 PM,20-Nov-2025 11:00 AM,techsummary_559295.pdf (45.92 KB),1,3213353,ANIRUDDHA BEHERA,11-Nov-2025 03:06 PM,Rejected-Finance,1st lowest tenderer is not Lottery winner,05-Jan-2026 01:33 PM,05-Jan-2026,"INR 7,074,745",120.0,ELEENA MISHRA,05-Jan-2026 01:44 PM,Sindhuaaoc.pdf (212.00 KB),"As per the result of transparent lottery, the lowest bidder being 14.99%less than the estimated cost put to tender, Aradhya Construction contractor is declared as winner",AOC,"CE,Minor Irrigation,BBSR||Baripada Minor Irrigation Circle Baripada||MI Division Balasore",SEMIDBLS-05/2025- 26,2025_CEMIB_120229_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,30-Oct-2025 10:00 AM,14-Nov-2025 11:00 AM,30-Oct-2025 10:00 AM,13-Nov-2025 05:00 PM,NA ,NA ,30-Oct-2025 10:00 AM,13-Nov-2025 05:00 PM,20-Nov-2025 11:00 AM,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Online Bid cost, EMD, Valid RC, GSTN, PAN, NRC, Affidavit and any other documents as per DTCN","Construction of Vertical Lining from RD107M to 795M of Similikhol Branch Canal, RD440M to 1100M of Nuasasan Branch Canal and RD00M to 382M of Sindhua Minor Canal-II of Sindhua MIP Res in Soro Block of Balasore District under CAPEX Lining Sc 2025-26","Construction of Vertical Lining from RD107M to 795M of Similikhol Branch Canal, RD440M to 1100M of Nuasasan Branch Canal and RD00M to 382M of Sindhua Minor Canal-II of Sindhua MIP Res in Soro Block of Balasore District under CAPEX Lining Sc 2025-26",Please refer Tender documents ,NA ,"83,22,251",Civil Works - Others,NA ,Tender,90.0,120.0,Soro Block,756045.0,NA ,NA ,NA ,Office of the Superintending Engineer Minor Irriga,No ,No,"83,300",Yes,fixed,,Nil,Nil,"Superintending Engineer,M.I Division, Balasore",Office of the Superintending Engineer Minor Irrigation Division Balasore Near Fandi Chhaka Balasore 756001,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3214286,ARADHYA CONSTRUCTIONS (PROP.BIJAY KUMAR BEHERA),11-Nov-2025 05:28 PM,Accepted-AOC,You have been awarded the contract for this tender,05-Jan-2026 01:44 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Certificates, Formats, Schedules and other documents if any as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3215641,ARATI TAREI,13-Nov-2025 04:17 PM,Rejected-Finance,1st lowest tenderer is not Lottery winner,05-Jan-2026 01:33 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3221137,BASUDEV NAYAK,13-Nov-2025 02:41 PM,Rejected-Finance,1st lowest tenderer is not Lottery winner,05-Jan-2026 01:33 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3203556,MANORAMA PANDA,12-Nov-2025 04:46 PM,Rejected-Finance,1st lowest tenderer is not Lottery winner,05-Jan-2026 01:33 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3221488,NISHANT HEMENDRA OJHA,13-Nov-2025 02:46 PM,Rejected-Finance,1st lowest tenderer is not Lottery winner,05-Jan-2026 01:33 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3218503,Papu Mohapatra,12-Nov-2025 06:27 PM,Rejected-Finance,1st lowest tenderer is not Lottery winner,05-Jan-2026 01:33 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3221194,PRAVAT KUMAR BISWAL,13-Nov-2025 01:38 PM,Rejected-Finance,1st lowest tenderer is not Lottery winner,05-Jan-2026 01:33 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3221457,SANTOSH PATTNAYAK,13-Nov-2025 02:50 PM,Rejected-Finance,1st lowest tenderer is not Lottery winner,05-Jan-2026 01:33 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3219869,SOURAV MINAKETAN,13-Nov-2025 04:36 PM,Rejected-Finance,1st lowest tenderer is not Lottery winner,05-Jan-2026 01:33 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
