S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,SE RWD BBSR,O/o the SE RWD BBSR,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Cost EMD GSTIN PAN Contractor RC Affidavits undertakings and any other document as per DTCN,"12,710",Yes,percentage,1.0%,Nil,Nil,Gobindapur Kantabada Malipadar Road,Gobindapur Kantabada Malipadar Road,Please refer tender documents ,NA ,"12,71,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Khordha,751013.0,NA ,NA ,NA ,O/o the SE RWD BBSR,No ,No,10-Oct-2025 05:00 PM,22-Oct-2025 11:00 AM,10-Oct-2025 05:00 PM,20-Oct-2025 05:00 PM,NA ,NA ,10-Oct-2025 05:00 PM,20-Oct-2025 05:00 PM,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,TCN No.13 of 25-26,2025_CERWI_119265_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,"SE, RWD, BBSR",Internal,"Sr.DAO, AEE and Estimator",Swarnalata Sutar,18-Dec-2025 06:38 PM,finsummary_555333.pdf (675.90 KB),CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,2025_CERWI_119265_8,TCN No.13 of 25-26,Gobindapur Kantabada Malipadar Road,1.0,3134914.0,RAKESH KUMAR CHHOTARAY,INR,"1,079,918",Finance,16 nos. of bidders are participated.,Shrabani Routray,22-Oct-2025 03:59 PM,,BOQ Comparative Chart,1,3137545,AMEEYA BHUJABAL,20-Oct-2025 12:17 PM,Rejected-Finance,Not success in lottery,18-Dec-2025 06:38 PM,29-Jan-2026,"INR 1,079,918",60.0,Nirmal Chandra Jena,29-Jan-2026 02:26 PM,govindapurkantabada.pdf (272.00 KB),AoC,"SE, RWD, BBSR",Internal,"Sr.DAo, AEE and Estimator",Swarnalata Sutar,18-Dec-2025 06:33 PM,techsummary_555333.pdf (675.90 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3136886,AMRUT CONSTRUCTION & ENGINEERING SERVICES PRIVATE LIMITED,19-Oct-2025 11:37 PM,Rejected-Finance,Not success in lottery,18-Dec-2025 06:38 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3137807,BASANTI SWAIN,20-Oct-2025 01:47 PM,Rejected-Technical,Technically Disqualified,18-Dec-2025 06:33 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3134905,BIBHU PRASAD SAHOO,18-Oct-2025 04:57 PM,Rejected-Technical,Technically Disqualified,18-Dec-2025 06:33 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3132763,DIBAKAR PANDA,17-Oct-2025 03:53 PM,Rejected-Technical,Technically Disqualified,18-Dec-2025 06:33 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3136390,DIBYA SUPPLIERS,19-Oct-2025 06:47 PM,Rejected-Technical,Technically Disqualified,18-Dec-2025 06:33 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3135089,GOURANGA BALIARSINGH,19-Oct-2025 10:36 AM,Rejected-Finance,Not success in lottery,18-Dec-2025 06:38 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3132732,M/s AKSHAYA KUMAR PARIDA,18-Oct-2025 05:15 PM,Rejected-Technical,Technically Disqualified,18-Dec-2025 06:33 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3134996,PRADIP KUMAR DALAI,19-Oct-2025 11:04 PM,Rejected-Technical,Technically Disqualified,18-Dec-2025 06:33 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3132206,PRADYUMNA KUMAR SAHU,17-Oct-2025 11:46 AM,Rejected-Finance,Not success in lottery,18-Dec-2025 06:38 PM,,,,,,,,,,,,,,AOC
