Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Bid opening Summary,Rasmita Kumari Sahu,03-Jan-2026 09:17 PM,finance_563585.pdf,BOQ Comparative Chart,1.0,3237151.0,Ramesh Pradhan,INR,"3,571,710",CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-GANJAM - I,2025_CERWI_121130_1,Online/12/SERWD-1/25-26,SR to RD road to Balichai Road,"Executive Engineer, R.W. Division No.-I, Ganjam, Berhampur",Internal,"Divisional Accountant, J.E. (Estr) of R.W. Division No.-I, Ganjam, Berhampur",Rasmita Kumari Sahu,03-Jan-2026 09:47 PM,finsummary_563585.pdf (996.80 KB),"Executive Engineer, R.W. Division No.-I, Ganjam, Berhampur",Internal,"Divisional Accountant, J.E. (Estr) of R.W. Division No.-I, Ganjam, Berhampur",Rasmita Kumari Sahu,03-Jan-2026 09:33 PM,techsummary_563585.pdf (801.89 KB),1,3235411,AMARESWARA SATAPATHY,18-Nov-2025 02:35 PM,Rejected-AOC,After drawl of transparent lottery,03-Jan-2026 10:03 PM,03-Jan-2026,"INR 3,571,710",30.0,Rasmita Kumari Sahu,03-Jan-2026 10:03 PM,AOC1.pdf (375.00 KB),103P1 / 2025-26,AOC,"E.E., R.W. Division-I, Ganjam, Berhampur","O/o the S.E., R.W. Division No.-I, In-front of De-paul School, Engineering School Road, Ganjam, Berhampur, 760010",1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost, E.M.D., PAN, GSTIN, Affidavit, Contractor R.C. and all other documents as per DTCN","6,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-GANJAM - I,Online/12/SERWD-1/25-26,2025_CERWI_121130_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,12-Nov-2025 05:00 PM,20-Nov-2025 11:30 AM,12-Nov-2025 05:00 PM,19-Nov-2025 05:00 PM,12-Nov-2025 05:00 PM ,18-Nov-2025 03:00 PM ,12-Nov-2025 05:00 PM,19-Nov-2025 05:00 PM,"42,020",Yes,fixed,,Nil,Nil,SR to RD road to Balichai Road,SR to RD road to Balichai Road,NA ,NA ,"42,02,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Berhampur,760010.0,NA ,NA ,NA ,"RURAL WORKS DIVISION NO-I, GANJAM, BERHAMPUR",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3233501,AMAR NATH JENA,18-Nov-2025 10:17 AM,Rejected-AOC,After drawl of transparent lottery,03-Jan-2026 10:03 PM,,,,,,,,AOC,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3235341,ANIL KUMAR JENA,18-Nov-2025 02:33 PM,Rejected-AOC,After drawl of transparent lottery,03-Jan-2026 10:03 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3238033,BISWAJIT BARADA,19-Nov-2025 01:47 PM,Rejected-AOC,After drawl of transparent lottery,03-Jan-2026 10:03 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3236275,CHINMAYA KUMAR DASH,18-Nov-2025 07:44 PM,Rejected-AOC,After drawl of transparent lottery,03-Jan-2026 10:03 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3225567,Deepak Kumar Swain,14-Nov-2025 06:53 PM,Rejected-AOC,After drawl of transparent lottery,03-Jan-2026 10:03 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3234381,DIPAK KUMAR SAHU,18-Nov-2025 10:34 AM,Rejected-AOC,After drawl of transparent lottery,03-Jan-2026 10:03 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3233122,GOUTAM PRADHAN,17-Nov-2025 05:37 PM,Rejected-AOC,After drawl of transparent lottery,03-Jan-2026 10:03 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3232715,Jitendra Pradhan,17-Nov-2025 04:08 PM,Rejected-AOC,After drawl of transparent lottery,03-Jan-2026 10:03 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3237887,MAHENDRA PRADHAN,19-Nov-2025 01:19 PM,Rejected-AOC,After drawl of transparent lottery,03-Jan-2026 10:03 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3234432,Manasa Ranjan Panda,18-Nov-2025 11:24 AM,Rejected-Technical,Dis-Qualified,03-Jan-2026 09:33 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
