S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,3311709.0,"KUNDAN KUMAR MISHRA,PROP-.KR INFRA PROJECTS",INR,"5,860,247",Er. Md Shahbaz SE,Internal,Er Abhaya Bharati Pattanaik AE Estr Er Amiya Ranjan Sinha EE(OSD) Estr Mr N Srinibash Sr DAO,Mohammed Shahbaz,20-Jan-2026 05:36 PM,finsummary_569154.pdf (595.83 KB),Technical,12nos technical bids received,Mohammed Shahbaz,18-Dec-2025 11:45 AM,,EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EERNB-DIVN-CUTTACK,2025_EICCL_122523_1,SE CTC (RandB)-55 of 2025-26,Improvement of Junction at 0/000Km on road from Buxibazar to Chandi Chhak in the district of Cuttack under State Plan for the year 2025-26,Finance,12nos financial bids received,Mohammed Shahbaz,31-Dec-2025 12:12 PM,,BOQ Comparative Chart,Er. Md Shahbaz SE,Internal,Er Abhaya Bharati Pattanaik AE Estr Er Amiya Ranjan Sinha EE(OSD) Estr Mr N Srinibash Sr DAO,Mohammed Shahbaz,29-Dec-2025 06:19 PM,31-Dec-2025 11:00 AM,techsummary_569154.pdf (806.49 KB),20-Jan-2026,"INR 5,860,247",60.0,Mohammed Shahbaz,20-Jan-2026 05:40 PM,122523_1_A.pdf (1093.00 KB),The agency has been finalised on transparent lottery system.,1,3311138,AMITA MOHANTY,17-Dec-2025 04:05 PM,Rejected-AOC,Rejected,20-Jan-2026 05:40 PM,AOC,"69,000",Yes,fixed,,Nil,Nil,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Regd Certificate, GSTIN, PAN, Affidavit, Machineries and other mandatory documents as per DTCN",Improvement of Junction at 0/000Km on road from Buxibazar to Chandi Chhak in the district of Cuttack under State Plan for the year 2025-26,Road work,As per DTCN ,NA ,"68,93,597",Civil Works - Roads,NA ,Tender,90.0,60.0,Cuttack,753001.0,NA ,NA ,NA ,"O/O SE Cuttack RandB Division No_I, Cuttack",No ,No,1.0,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EERNB-DIVN-CUTTACK,SE CTC (RandB)-55 of 2025-26,2025_EICCL_122523_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"SE Cuttack RandB Division No_I, Cuttack","O/O SE Cuttack RandB Division No_I, Cuttack",03-Dec-2025 06:00 PM,18-Dec-2025 11:00 AM,03-Dec-2025 06:00 PM,17-Dec-2025 05:00 PM,03-Dec-2025 06:00 PM ,12-Dec-2025 05:00 PM ,03-Dec-2025 06:00 PM,17-Dec-2025 05:00 PM,31-Dec-2025 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3310492,DEBANANDA DAS,17-Dec-2025 12:14 PM,Rejected-AOC,Rejected,20-Jan-2026 05:40 PM,AOC,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3309640,DEEPAK KUMAR ROUT,17-Dec-2025 11:57 AM,Rejected-AOC,Rejected,20-Jan-2026 05:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3303503,JYOTI RANJAN PRADHAN,17-Dec-2025 12:36 AM,Rejected-AOC,Rejected,20-Jan-2026 05:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3300570,JYOTIRANJAN SAMANTARAY,14-Dec-2025 11:36 PM,Rejected-AOC,Rejected,20-Jan-2026 05:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3311709,"KUNDAN KUMAR MISHRA,PROP-.KR INFRA PROJECTS",17-Dec-2025 04:51 PM,Accepted-AOC,Accepted,20-Jan-2026 05:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3310194,MUKTIKANTA BEHERA (S.C),17-Dec-2025 10:40 AM,Rejected-AOC,Rejected,20-Jan-2026 05:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3311634,PRITISUDHA DAS,17-Dec-2025 04:24 PM,Rejected-AOC,Rejected,20-Jan-2026 05:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3311724,SANJEEB BISWAL,17-Dec-2025 04:41 PM,Rejected-AOC,Rejected,20-Jan-2026 05:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3311538,Soumya Ranjan Pani,17-Dec-2025 04:01 PM,Rejected-AOC,Rejected,20-Jan-2026 05:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3310384,SUMANKANTA BEHERA(SC),17-Dec-2025 12:57 PM,Rejected-AOC,Rejected,20-Jan-2026 05:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3310604,SUSHREE SWAGATIKA PRIYADARSHINEE,17-Dec-2025 12:28 PM,Rejected-AOC,Rejected,20-Jan-2026 05:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
