S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,3096416.0,GOBINDA CHANDRA MALLICK,INR,"832,753",Technical,open,Ramesh Chandra Nayak,24-Sep-2025 06:42 PM,technical_551545.pdf,Municipal Bodies||Barbil Municipality,2025_ORULB_117691_7,BBLM-4/2025-26,"Construction of road and drain from Lalit Kumar Beura house to Ajay Giri house, near Arati Hospital, Ward No.11, Barbil",Laxman Mahanta,Internal,,Ramesh Chandra Nayak,28-Jan-2026 04:47 PM,finsummary_551545.pdf (133.23 KB),Laxman Mahanta,Internal,,Ramesh Chandra Nayak,25-Nov-2025 06:00 PM,25-Nov-2025 06:05 PM,techsummary_551545.pdf (791.22 KB),Finance,open,Ramesh Chandra Nayak,26-Nov-2025 06:57 PM,finance_551545.pdf,BOQ Comparative Chart,1,3096609,Ananta Charan Rout,23-Sep-2025 01:16 PM,Rejected-Finance,Third,28-Jan-2026 04:47 PM,28-Jan-2026,"INR 832,753",90.0,Ramesh Chandra Nayak,28-Jan-2026 04:52 PM,WO7.pdf (117.00 KB),Contact value including GST,AOC,"4,000",0.0,Nil,Nil,No,09-Sep-2025 10:00 AM,24-Sep-2025 11:00 AM,09-Sep-2025 10:00 AM,23-Sep-2025 05:00 PM,NA ,NA ,09-Sep-2025 10:00 AM,23-Sep-2025 05:00 PM,25-Nov-2025 06:05 PM,1.0,ICICI BANK,"8,330",Yes,percentage,1.0%,Nil,Nil,Executive Officer Barbil Municipality,Executive Officer Barbil Municipality,1.0,Fee/PreQual/Technical,.pdf,DTCN,Municipal Bodies||Barbil Municipality,BBLM-4/2025-26,2025_ORULB_117691_7,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Construction of road and drain from Lalit Kumar Beura house to Ajay Giri house, near Arati Hospital, Ward No.11, Barbil","Construction of road and drain from Lalit Kumar Beura house to Ajay Giri house, near Arati Hospital, Ward No.11, Barbil",Please refer Tender documents. ,NA ,"8,33,000",Civil Works - Roads,NA ,Tender,90.0,90.0,Barbil,758035.0,NA ,NA ,NA ,Barbil Municipality,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3096416,GOBINDA CHANDRA MALLICK,23-Sep-2025 11:54 AM,Accepted-AOC,Lowest,28-Jan-2026 04:53 PM,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3091640,ISWAR CHANDRA SAMAL,23-Sep-2025 01:07 AM,Rejected-Finance,Five,28-Jan-2026 04:47 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3096935,SANJAY NAIK,23-Sep-2025 04:38 PM,Rejected-Finance,Second,28-Jan-2026 04:47 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3095713,SURAJ PRASAD PROP SAANVI CONSTRUCTION,22-Sep-2025 07:19 PM,Rejected-Finance,Four,28-Jan-2026 04:47 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
