Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"EXECUTIVE ENGINEER L.I.DIVISION,KENDRAPARA","EXECUTIVE ENGINEER L.I.DIVISION,KENDRAPRA",1.0,ICICI BANK,"10,462",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,Paper cost/RC/GST/PAN/Joint venture/HT license/Experience and other documents as perDTCN,"7,080",0.0,Nil,Nil,Yes,KUSUNPUR_I_II RL,Revival of L.I.Projects,Please refer Tender documents. ,NA ,"10,46,255",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,NA ,KENDRAPARA,754211.0,NA ,NA ,NA ,"EXECUTIVE ENGINEER L.I.DIVISION,KENDRAPARA",No ,No,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Kendrapara",1415/LID/KDP/2025-25,2025_OLIC_122812_60,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,10-Dec-2025 11:00 AM,17-Dec-2025 11:00 AM,10-Dec-2025 11:00 AM,16-Dec-2025 05:00 PM,10-Dec-2025 11:00 AM ,15-Dec-2025 05:00 PM ,10-Dec-2025 11:00 AM,16-Dec-2025 05:00 PM,AOC,16-Jan-2026,"INR 1,046,255",90.0,Nimain Charan Sethi,17-Jan-2026 03:28 PM,KUSUNPUR_I.pdf (224.00 KB),WON THE LOTTERY AND WORK AWARDED,1,3303571,DHANANJAY BARIK,15-Dec-2025 05:45 PM,Rejected-Finance,NOT WON THE LOTTERY,16-Jan-2026 04:02 PM,ECECUTIVE ENGINEER,Internal,Nimain_Charan_Sethy_Sadhana_Behera_Pradeep_Kumar_Nayak_Debendra_Nath_Jena,Nimain Charan Sethi,27-Dec-2025 02:49 PM,techsummary_570670.pdf (95.33 KB),"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Kendrapara",2025_OLIC_122812_60,1415/LID/KDP/2025-25,KUSUNPUR_I_II RL,ECECUTIVE ENGINEER,Internal,Nimain_Charan_Sethy_Sadhana_Behera_Pradeep_Kumar_Nayak_Debendra_Nath_Jena,Nimain Charan Sethi,16-Jan-2026 04:02 PM,finsummary_570670.pdf (95.33 KB),Finance,05 NOS BIDDERS PARTICIPATED IN THIS PACKAGE,Nimain Charan Sethi,27-Dec-2025 02:47 PM,finance_570670.pdf,BOQ Comparative Chart,1.0,3300014.0,SOUBHAGYA LAXMI SAHOO,INR,"1,046,255",AOC
,,2.0,ICICI NEFT/RTGS,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,3307564,Kishore Chandra Sahoo,16-Dec-2025 02:13 PM,Rejected-Finance,NOT WON THE LOTTERY,16-Jan-2026 04:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3303893,SAROJINI SETHY,15-Dec-2025 06:25 PM,Rejected-Finance,NOT WON THE LOTTERY,16-Jan-2026 04:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3300014,SOUBHAGYA LAXMI SAHOO,15-Dec-2025 02:44 PM,Accepted-AOC,WON THE LOTTERY,17-Jan-2026 03:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3301498,SUJATA MALLICK,15-Dec-2025 04:48 PM,Rejected-Finance,NOT WON THE LOTTERY,16-Jan-2026 04:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
