Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,U,SIDDHARTHA SHANKAR DAS,22-Nov-2025 11:02 AM,finance_553343.pdf,BOQ Comparative Chart,1.0,3109462.0,Nishikanta Swain,INR,"2,123,165",CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||EE Keonjhar Irrigation Divn Keonjhar,2025_KIDK_118339_50,BAID 02 OF 2025-26,Improvement to Flood Protection embankment on Baitarani Left from Gobindipur to Habeleswor Renovation and Extension of 4 nos spur with Lunching for the year 2025-26,"Er Laxman Marndi, SE",Internal,"Somanath Tripathy, DAO, Sidhartha Sekhar Das, Estr, Satyaprakash Senapaty, JE",Laxman Marandi,27-Nov-2025 04:32 PM,finsummary_553343.pdf (425.36 KB),"Er Laxman Marndi, SE",Internal,"Somanath Tripathy, DAO, Sidhartha Sekhar Das, Estr, Satyaprakash Senapaty, JE",Laxman Marandi,27-Nov-2025 04:12 PM,techsummary_553343.pdf (425.36 KB),1,3106033,ADARSHA PATTANAYAK,02-Oct-2025 07:35 PM,Rejected-Finance,r,27-Nov-2025 04:32 PM,29-Jan-2026,"INR 2,123,165",120.0,Laxman Marandi,29-Jan-2026 07:34 AM,50.pdf (305.00 KB),AOC,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, GSTIN, PAN, Affidavit, RC, No Relationship etc.","6,000",Nil,Nil,No,25-Sep-2025 09:00 AM,10-Oct-2025 11:00 AM,25-Sep-2025 09:00 AM,09-Oct-2025 05:30 PM,NA ,NA ,25-Sep-2025 09:00 AM,09-Oct-2025 05:30 PM,"SE, Baitarani Irrigation Division, Salapada","SE, Baitarani Irrigation Division, Salapada",CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||EE Keonjhar Irrigation Divn Keonjhar,BAID 02 OF 2025-26,2025_KIDK_118339_50,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Improvement to Flood Protection embankment on Baitarani Left from Gobindipur to Habeleswor Renovation and Extension of 4 nos spur with Lunching for the year 2025-26,Improvement to Flood Protection embankment on Baitarani Left from Gobindipur to Habeleswor Renovation and Extension of 4 nos spur with Lunching for the year 2025-26,Please refer Tender documents. ,NA ,"24,98,000",Civil Works - Others,NA ,Tender,90.0,120.0,Salapada,758020.0,NA ,NA ,NA ,"SE, Baitarani Irrigation Division, Salapada",No ,No,1.0,ICICI BANK,"25,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3102954,AMULYA PADHI,29-Sep-2025 06:23 PM,Rejected-Finance,r,27-Nov-2025 04:32 PM,,,,,,,,AOC,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3106147,ASHIS KUMAR ROUT,03-Oct-2025 01:07 PM,Rejected-Finance,r,27-Nov-2025 04:32 PM,,,,,,,,AOC,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3114434,BAILOCHANA BEHERA,07-Oct-2025 05:01 PM,Rejected-Finance,r,27-Nov-2025 04:32 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3118494,BHABEN KUMAR JENA,09-Oct-2025 11:28 AM,Rejected-Finance,r,27-Nov-2025 04:32 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3104928,BHIMASEN SETHI,01-Oct-2025 07:42 PM,Rejected-Finance,r,27-Nov-2025 04:32 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3111667,BIJAYA LAXMI NAYAK,06-Oct-2025 12:20 AM,Rejected-Finance,r,27-Nov-2025 04:32 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3118177,BISWABHUSAN MALIK,09-Oct-2025 11:53 AM,Rejected-Finance,r,27-Nov-2025 04:32 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3117661,CHAKRADHAR DAS,08-Oct-2025 07:14 PM,Rejected-Finance,r,27-Nov-2025 04:32 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3110076,CHINTAMANI SAHOO,04-Oct-2025 07:15 PM,Rejected-Finance,r,27-Nov-2025 04:32 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
