S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,2869789.0,SAMIR KUMAR SETHY,INR,"6,890,755.92",Technical,16 NOS BIDDER,Binod Chandra Panda,03-Apr-2025 10:41 AM,technical_533077.pdf,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Keonjhar||KENDUJHAR SADAR Block,2025_PRKSB_111645_2,03 Keonjhar Sadar (KJR-2024-2025),Construction of Mini Stadium at Talapada under Maidankel GP,BDO Sadar,Internal,,Binod Chandra Panda,16-Jan-2026 07:33 PM,finsummary_533077.pdf (392.08 KB),BDO SADAR,Internal,16 NOS BIDDER PARTICIPATED,Binod Chandra Panda,03-Apr-2025 10:53 AM,03-Apr-2025 11:30 AM,techsummary_533077.pdf (357.31 KB),Finance,2 nos,Binod Chandra Panda,16-Jan-2026 07:29 PM,,BOQ Comparative Chart,1,2869243,AKSHAYA KUMAR SETHY,26-Mar-2025 02:07 PM,Rejected-AOC,Dis qualified,16-Jan-2026 07:36 PM,16-Jan-2026,"INR 6,890,755.92",180.0,Binod Chandra Panda,16-Jan-2026 07:36 PM,bid.pdf (392.00 KB),AOC,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Keonjhar||KENDUJHAR SADAR Block,03 Keonjhar Sadar (KJR-2024-2025),2025_PRKSB_111645_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,TENDER NOTICE,Technical Bid,,"81,058",Yes,fixed,,Nil,Nil,"OFFICE OF THE PANCHAYAT SAMITI SADAR BLOCK,KEONJHA","OFFICE OF THE PANCHAYAT SAMITI SADAR BLOCK,KEONJHA",Construction of Mini Stadium at Talapada under Maidankel GP,CIVIL WORK,Please refer Tender documents. ,NA ,"81,05,818",Civil Works - Others,NA ,Tender,120.0,180.0,KEONJHAR,758001.0,NA ,NA ,NA ,"OFFICE OF THE PANCHAYAT SAMITI SADAR BLOCK,KEONJHA",No ,No,1.0,Fee/PreQual/Technical,.pdf,"PAPER COST, EMD,PAN,GST,LICENSE, AFFIDAVIT AND OTHER AS PER DTCN",1.0,ICICI BANK,"10,000",Nil,Nil,No,13-Mar-2025 11:00 AM,28-Mar-2025 11:00 AM,13-Mar-2025 11:00 AM,27-Mar-2025 05:00 PM,13-Mar-2025 11:00 AM ,24-Mar-2025 05:00 PM ,13-Mar-2025 11:00 AM,27-Mar-2025 05:00 PM,03-Apr-2025 11:30 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2869982,BHABANI SHANKAR MAHANTA,27-Mar-2025 03:14 PM,Rejected-AOC,Dis qualified,16-Jan-2026 07:36 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,NOTICE,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2868987,BIDHUBHUSAN SAHOO,26-Mar-2025 12:14 PM,Rejected-AOC,Dis qualified,16-Jan-2026 07:36 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2869884,DIBYAJIBAN SAHOO,26-Mar-2025 08:54 PM,Rejected-AOC,Dis qualified,16-Jan-2026 07:36 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2869705,KHAGESWAR NAIK,27-Mar-2025 12:12 PM,Rejected-AOC,Dis qualified,16-Jan-2026 07:36 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2866166,LALATENDU NAYAK,24-Mar-2025 12:02 PM,Rejected-AOC,Dis qualified,16-Jan-2026 07:36 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2870781,MALAYA KUMAR MAHANTA,27-Mar-2025 02:34 PM,Rejected-AOC,Dis qualified,16-Jan-2026 07:36 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2870280,MANJARIMANI SETHY,27-Mar-2025 11:24 AM,Rejected-AOC,Dis qualified,16-Jan-2026 07:36 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2863134,MITRABHANU NAIK,24-Mar-2025 08:07 PM,Rejected-AOC,Dis qualified,16-Jan-2026 07:36 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2869789,SAMIR KUMAR SETHY,26-Mar-2025 07:46 PM,Accepted-AOC,qualified,16-Jan-2026 07:36 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
