Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"6,000",0.0,Nil,Nil,No,SE R and B Division No-II,Office of SE R and B Division No-II,Electrical Renovation work at CHC Building Gudari,Electrical Works,Please refer tender document ,NA ,"29,00,787",Electrical Works,NA ,Tender,90.0,90.0,Gudari,765026.0,NA ,NA ,NA ,Office of SE R and B Division No-II,No ,No,EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB-DIVN-RAYAGADA NEW,RC(RANDB) RGD NO. II/ 08 /2025-26,2025_EICCL_118168_4,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,22-Sep-2025 04:30 PM,09-Oct-2025 11:00 AM,22-Sep-2025 04:30 PM,08-Oct-2025 05:00 PM,NA ,NA ,22-Sep-2025 04:30 PM,08-Oct-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of Tender paper,EMD,PAN,GST,Affidavit,other documents as per DTCN",1.0,ICICI BANK,"30,000",Yes,fixed,,Nil,Nil,AOC,25-Jan-2026,"INR 2,465,959",90.0,Durga Madhaba Padhi,25-Jan-2026 06:26 PM,ER_CHC_Gudari_WO.pdf (446.00 KB),"Work is Awarded to Sandip Kumar Agrawal through transparent lottery System, Vid Work order No-6455, Dt-18.12.2025 of R and B Division-II,Rayagada",1,3114955,Ampere india associates,08-Oct-2025 10:26 AM,Rejected-AOC,First Lowest,25-Jan-2026 06:26 PM,SE No-II Rayagada,Internal,"SE, DAO,Estimator",Durga Madhaba Padhi,25-Jan-2026 06:02 PM,techsummary_552920.pdf (638.21 KB),SE No-II Rayagada,Internal,"SE, DAO, Estimator",Durga Madhaba Padhi,25-Jan-2026 06:12 PM,finsummary_552920.pdf (638.21 KB),EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB-DIVN-RAYAGADA NEW,2025_EICCL_118168_4,RC(RANDB) RGD NO. II/ 08 /2025-26,Electrical Renovation work at CHC Building Gudari,1.0,3107986.0,SANDIP KUMAR AGRAWAL,INR,"2,465,959",Finance,Tender Opened,Durga Madhaba Padhi,25-Jan-2026 05:57 PM,finance_552920.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quatity,2.0,ICICI NEFT/RTGS,,,,,,,AOC,,,,,,,,2,3113863,ARMAN ENGINEERING PROJECTS PRIVATE LIMITED,07-Oct-2025 12:08 PM,Rejected-AOC,First Lowest,25-Jan-2026 06:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3116826,ASISH KUMAR PATTNAIK,08-Oct-2025 04:55 PM,Rejected-Finance,Second Lowest,25-Jan-2026 06:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3115983,BHUJABALA PATEL,08-Oct-2025 04:51 PM,Rejected-AOC,First Lowest,25-Jan-2026 06:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3116982,Debajyoti millennium pvt ltd,08-Oct-2025 04:38 PM,Rejected-AOC,First Lowest,25-Jan-2026 06:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3113963,DHANESWAR BARAD,07-Oct-2025 08:18 PM,Rejected-AOC,First Lowest,25-Jan-2026 06:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3115922,KIKSHORE MOHAN PANI,08-Oct-2025 12:54 PM,Rejected-AOC,First Lowest,25-Jan-2026 06:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3100957,M/s. Aditya Electricals,26-Sep-2025 01:49 PM,Rejected-AOC,First Lowest,25-Jan-2026 06:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3114406,M/S Mahaveer Electricals,07-Oct-2025 04:08 PM,Rejected-AOC,First Lowest,25-Jan-2026 06:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3116417,MS SHREEJA ENTERPRISES,08-Oct-2025 02:47 PM,Rejected-AOC,First Lowest,25-Jan-2026 06:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
