S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,Executive Engineer,"RURAL WORKS DIVISION-I, NAWARANGPUR",CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR,EERWNGP Online 07 2025 26,2025_CERWI_119391_14,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,13-Oct-2025 05:00 PM,22-Oct-2025 11:00 AM,13-Oct-2025 05:00 PM,20-Oct-2025 03:00 PM,13-Oct-2025 05:00 PM ,20-Oct-2025 03:00 PM ,13-Oct-2025 05:00 PM,20-Oct-2025 03:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,License PAN Card GSTIN Affidavit and as per DTCN,"S/R to NH201 Jn - Bankasaragi road such as Pothole repair and Berm filling,Bush cutting (Ch-0/000 to 2/000 Km) in Papadahandi Block for the year 2025-26","S/R to NH201 Jn - Bankasaragi road such as Pothole repair and Berm filling,Bush cutting (Ch-0/000 to 2/000 Km) in Papadahandi Block for the year 2025-26",Please refer to tender documents ,NA ,"5,08,559",Civil Works - Roads,NA ,Tender,90.0,60.0,Papadahandi,764071.0,NA ,NA ,NA ,"RURAL WORKS DIVISION-I, NAWARANGPUR",No ,No,1.0,Modification of class of Contractor,Other,,"4,000",0.0,Nil,Nil,No,"5,086",Yes,percentage,1.0%,Nil,Nil,AOC,Executive Engineer,Internal,"Estimator, DAO-I, EE",Jay Prakash Soren,31-Jan-2026 01:20 PM,finsummary_555642.pdf (348.60 KB),Executive Engineer,Internal,"Estimator,DAO-I, EE",Jay Prakash Soren,31-Jan-2026 01:11 PM,techsummary_555642.pdf (348.60 KB),1.0,3137160.0,Prafulla Kumar Majhi,INR,"432,326",CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR,2025_CERWI_119391_14,EERWNGP Online 07 2025 26,"S/R to NH201 Jn - Bankasaragi road such as Pothole repair and Berm filling,Bush cutting (Ch-0/000 to 2/000 Km) in Papadahandi Block for the year 2025-26",1,3137156,AMLAN JYOTI MADALA,20-Oct-2025 12:25 AM,Rejected-AOC,Disqualified in transparent lottery,31-Jan-2026 01:27 PM,31-Jan-2026,"INR 508,559",60.0,Jay Prakash Soren,31-Jan-2026 01:27 PM,wo14.pdf (628.00 KB),Finance,Tender Opening,Jay Prakash Soren,31-Jan-2026 01:04 PM,finance_555642.pdf,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3137502,ASHOK KUMAR CHOUDHURY,20-Oct-2025 02:14 PM,Rejected-AOC,Disqualified in transparent lottery,31-Jan-2026 01:27 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3133132,BHAGABAN BEHERA,19-Oct-2025 11:25 AM,Rejected-AOC,Disqualified in transparent lottery,31-Jan-2026 01:27 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3128194,BIJAYA KUMAR BISHOYI,14-Oct-2025 06:53 PM,Rejected-AOC,Disqualified in transparent lottery,31-Jan-2026 01:27 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3137944,BIKASH KUMAR AGRAWAL,20-Oct-2025 01:26 PM,Rejected-AOC,Disqualified in transparent lottery,31-Jan-2026 01:27 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3131449,Brajendra Naik,19-Oct-2025 12:07 PM,Rejected-AOC,Disqualified in transparent lottery,31-Jan-2026 01:27 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3134346,GOURI PRASAD PATRO,19-Oct-2025 01:10 PM,Rejected-AOC,Disqualified in transparent lottery,31-Jan-2026 01:27 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3136846,JITENDRA KUMAR JENA,19-Oct-2025 09:23 PM,Rejected-AOC,Disqualified in transparent lottery,31-Jan-2026 01:27 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3137160,Prafulla Kumar Majhi,20-Oct-2025 12:25 AM,Accepted-AOC,Awarded of contract,31-Jan-2026 01:27 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3135710,RAJKUMAR SATNAMI,19-Oct-2025 01:23 PM,Rejected-AOC,Disqualified in transparent lottery,31-Jan-2026 01:27 PM,,,,,,,,,,,,,AOC
