Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
04-Jun-2025 11:00 AM,16-Jul-2025 11:00 AM,04-Jun-2025 11:00 AM,10-Jul-2025 05:00 PM,04-Jun-2025 11:00 AM ,16-Jun-2025 05:00 PM ,04-Jun-2025 11:00 AM,10-Jul-2025 05:00 PM,19-Nov-2025 11:30 AM,"16,97,000",Yes,fixed,,Nil,Nil,"11,800",Nil,Nil,No,1.0,Corrigendum,Date,,Request for Proposal (RFP) for Consultancy Services for Authoritys Engineer (AE) Services for Supervision of the work Improvement of Drinking Water Supply with 24x7 water supply system to Sambalpur Town on (EPC) Contract,Consultancy Services,Please refer Tender documents. ,NA ,,Human Resources Supply,NA ,Tender,120.0,720.0,Sambalpur Town,768001.0,Bhubaneswar ,"The Managing Director, WATCO Ground Floor, Unnati Bhawan, Satyanagar, Bhubaneswar-751007, Odisha, India (0674) 2391444  ",18-Jun-2025 03:30 PM ,Bhubaneswar,No ,No,1.0,ICICI BANK,Managing Director,"The Managing Director, WATCO Ground Floor, Unnati Bhawan, Satyanagar, Bhubaneswar-751007, Odisha, India (0674) 2391444",1.0,Fee/PreQual/Technical,.pdf,"Copy of PAN, GST, Affidavits as per RFP",WATCO Bhubaneswar,"WATCO (W)-05/2025-26, Dt.28.05.2025",2025_WATCO_114148_1,Yes,National Competitive Bid,Lump-sum,Services,2.0,No,No,Online,No,No,No,AOC,Managing Director,Internal,,JAYALAXMI BISWAL,31-Jan-2026 04:40 PM,finsummary_542056.pdf (732.15 KB),WATCO Bhubaneswar,2025_WATCO_114148_1,"WATCO (W)-05/2025-26, Dt.28.05.2025",Request for Proposal (RFP) for Consultancy Services for Authoritys Engineer (AE) Services for Supervision of the work Improvement of Drinking Water Supply with 24x7 water supply system to Sambalpur Town on (EPC) Contract,Technical,Ten no technical bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Debabrata Mohanty,16-Jul-2025 11:15 AM,,1.0,2975572.0,Ecometrix Consultants Pvt. Ltd.,INR,"49,637,250",31-Jan-2026,"INR 49,637,250",720.0,JAYALAXMI BISWAL,31-Jan-2026 04:44 PM,AOC.pdf (397.00 KB),1,2994806,Choice Consultancy Services Private Limited,10-Jul-2025 04:52 PM,Rejected-Technical,Technically disqualified,17-Nov-2025 07:09 PM,Finance,Five no financial bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Debabrata Mohanty,19-Nov-2025 11:47 AM,,BOQ Comparative Chart,Managing Director,Internal,,JAYALAXMI BISWAL,17-Nov-2025 07:09 PM,19-Nov-2025 11:30 AM,techsummary_542056.pdf (2823.35 KB),AOC
,,,,,,,,,,,,,,,,,,,2.0,2nd Corrigendum,Other,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.pdf,"Certificates, Formats, Schedules and other documents if any as per RFP",,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2975572,Ecometrix Consultants Pvt. Ltd.,10-Jul-2025 02:10 PM,Accepted-AOC,Negotiated offer of successful bidders (H1 of combined score as per QCBS Selection Mode),31-Jan-2026 04:44 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2993351,Egis India Consulting Engineers Pvt. Ltd.,10-Jul-2025 04:00 PM,Rejected-Technical,Technically disqualified,17-Nov-2025 07:09 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Formats for submission of Financial proposal,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2978840,Green Design and Engineering Services Pvt. Ltd.,10-Jul-2025 03:09 PM,Rejected-AOC,Not a lowest bidder,31-Jan-2026 04:44 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2994256,L N MALVIYA INFRA PROJECTS PVT. LTD,10-Jul-2025 04:38 PM,Rejected-Technical,Technically disqualified,17-Nov-2025 07:09 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2974848,mars planning & engineering services pvt ltd,10-Jul-2025 02:14 PM,Rejected-Technical,Technically disqualified,17-Nov-2025 07:09 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2978425,"MSV International Inc., USA",10-Jul-2025 04:17 PM,Rejected-AOC,Not a lowest bidder,31-Jan-2026 04:44 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2993529,NJS Engineers India Pvt. Ltd.,10-Jul-2025 10:21 AM,Rejected-AOC,Not a lowest bidder,31-Jan-2026 04:44 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2965275,Shah Technical Consultants Pvt. Ltd.,10-Jul-2025 02:11 PM,Rejected-AOC,Not a lowest bidder,31-Jan-2026 04:44 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2974079,Theme Engineering Services Pvt. Ltd.,10-Jul-2025 04:50 PM,Rejected-Technical,Technically disqualified,17-Nov-2025 07:09 PM,,,,,,,,,,,,,,AOC
