S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1,ICICI BANK,Provision for installation of 1 No 250 KVA standbye transformer at Raw Water pump house Kanshbahal for improvement of water supply to Rajgangpur town,Provision for installation of 1 No 250 KVA standbye transformer at Raw Water pump house Kanshbahal for improvement of water supply to Rajgangpur town,Please refer Tender documents. ,NA ,"8,38,928",Civil Works - Water Works,NA ,Tender,120.0,60.0,Rajgangpur,770017.0,NA ,NA ,NA ,"O/o G.M WATCO Division, Rourkela",No ,No,01-Dec-2025 11:00 AM,15-Dec-2025 12:30 PM,01-Dec-2025 11:00 AM,12-Dec-2025 05:00 PM,01-Dec-2025 11:00 AM ,10-Dec-2025 05:00 PM ,01-Dec-2025 11:00 AM,12-Dec-2025 05:00 PM,"8,389",Yes,fixed,,Nil,Nil,"G.M WATCO Division, Rourkela","G.M WATCO Division,Panposh, Rourkela","7,080",Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of Tender paper, EMD,PAN, GST, Certificate and other documents etc as per DTCN",WATCO Bhubaneswar||Director (Operation) Watco||WATCO Division Rourkela,GM WATCO/RKL-18/2025-26 dt.18.11.2025,2025_WDRKL_122307_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,30-Jan-2026,"INR 713,173.02",60.0,Sridhar Pattnaik,30-Jan-2026 12:35 PM,AOC.pdf (176.00 KB),AOC,1,3293496,KBS EL-CONS & CONSULTANTS PRIVATE LIMITED,10-Dec-2025 04:40 PM,Accepted-AOC,Selected through transparent lottery,30-Jan-2026 12:35 PM,General Manager,Internal,Manager,Sridhar Pattnaik,30-Jan-2026 12:30 PM,techsummary_568265.pdf (39.95 KB),WATCO Bhubaneswar||Director (Operation) Watco||WATCO Division Rourkela,2025_WDRKL_122307_1,GM WATCO/RKL-18/2025-26 dt.18.11.2025,Provision for installation of 1 No 250 KVA standbye transformer at Raw Water pump house Kanshbahal for improvement of water supply to Rajgangpur town,General Manager,Internal,Manager,Sridhar Pattnaik,30-Jan-2026 12:32 PM,finsummary_568265.pdf (39.95 KB),Finance,Summary,Sridhar Pattnaik,23-Dec-2025 12:48 PM,finance_568265.pdf,BOQ Comparative Chart,1.0,3293496.0,KBS EL-CONS & CONSULTANTS PRIVATE LIMITED,INR,"713,173.02",AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,,,,,,,,,,,,,,,AOC,,,,,,,,2,3293111,SARADA TECHNO SERVICES,10-Dec-2025 01:36 PM,Rejected-AOC,Not selected through transparent lottery,30-Jan-2026 12:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
