Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
ST and SC Development Deptt||ITDA Paralakhemundi,2025_STSCD_117654_46,ITDAPKD/04/2025-26,Improvement of Water fall at Jhirjhira under Rayagada Block,1.0,3092617.0,BEJIPURAM KHAGESWAR RAO,INR,"4,209,086",1,3084943,AMIYA KUMAR NAYAK,17-Sep-2025 01:03 PM,Rejected-Technical,unsuccessful bidder,13-Jan-2026 06:58 PM,13-Jan-2026,"INR 4,209,086",180.0,Anhuman Mahapatra,13-Jan-2026 07:05 PM,46JHIRJHIRA.pdf (549.00 KB),"L1 lottery Winner, WORK AWARDED TO BEJIPURAM KHAGESWAR RAO",Finance,"L1 lottery Winner, WORK AWARDED TO BEJIPURAM KHAGESWAR RAO",Anhuman Mahapatra,13-Jan-2026 06:53 PM,finance_551651.pdf,BOQ Comparative Chart,"PA,ITDA",Internal,"PA,ITDA",Anhuman Mahapatra,13-Jan-2026 07:01 PM,finsummary_551651.pdf (548.67 KB),PA ITDA,Internal,PA ITDA,Anhuman Mahapatra,13-Jan-2026 06:58 PM,techsummary_551651.pdf (548.67 KB),AOC,12-Sep-2025 10:00 AM,23-Sep-2025 11:00 AM,12-Sep-2025 10:00 AM,22-Sep-2025 05:30 PM,NA ,NA ,12-Sep-2025 10:00 AM,22-Sep-2025 05:30 PM,"49,513",Yes,fixed,,Nil,Nil,Improvement of Water fall at Jhirjhira under Rayagada Block,Improvement of Water fall at Jhirjhira under Rayagada Block,Please refer Tender documents. ,NA ,"49,51,283",Civil Works - Buildings,Building ,Tender,90.0,180.0,JHIRJHIRA,761213.0,NA ,NA ,NA ,"o/o Project AdminiProject strator, Paralakhemundi,",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,"Project Administrator, Paralakhemundi,Gajapati","Project Administrator, Paralakhemundi,Gajapati",ST and SC Development Deptt||ITDA Paralakhemundi,ITDAPKD/04/2025-26,2025_STSCD_117654_46,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,Yes,AOC
,,,,,,,,,2,3095543,ASHUTOSH GANTAYAT,22-Sep-2025 05:12 PM,Rejected-Technical,Unsuccessful bidder,13-Jan-2026 06:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,AOC
,,,,,,,,,3,3092617,BEJIPURAM KHAGESWAR RAO,21-Sep-2025 10:01 PM,Accepted-AOC,"L1 lottery Winner, WORK AWARDED TO BEJIPURAM KHAGESWAR RAO",13-Jan-2026 07:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3095487,EPPILI MANMADHA RAO,22-Sep-2025 04:59 PM,Rejected-Technical,Unsuccessful bidder,13-Jan-2026 06:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3094270,GANESH SWAIN,22-Sep-2025 01:01 PM,Rejected-Technical,Unsuccessful bidder,13-Jan-2026 06:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,3094644,Jalumuru Bhargav,22-Sep-2025 02:05 PM,Rejected-Technical,Unsuccessful bidder,13-Jan-2026 06:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,3090904,LAKSHMI SAHU,20-Sep-2025 11:24 PM,Rejected-Technical,unsuccessful bidder,13-Jan-2026 06:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,3086212,MOHIT KUMAR BISOYEE,20-Sep-2025 10:45 AM,Rejected-Technical,unsuccessful bidder,13-Jan-2026 06:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,3093801,POTRAKONDA OMKAR,22-Sep-2025 11:56 AM,Rejected-Technical,Unsuccessful bidder,13-Jan-2026 06:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,3094141,Sangeeta Mohapatro,22-Sep-2025 05:06 PM,Rejected-Technical,Unsuccessful bidder,13-Jan-2026 06:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,11,3093029,SIRLA LAXMAN RAO,22-Sep-2025 08:52 AM,Rejected-Technical,Unsuccessful bidder,13-Jan-2026 06:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
