EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"8,51,300",Yes,fixed,,Nil,Nil,"C.C.E, Northern R AND B Circle, SAMBALPUR","O/O THE C.C.E, Northern R AND B Circle, SAMBALPUR","10,000",0.0,Nil,Nil,No,Construction of Circuit House Block-A at Jharsuguda,BUILDING WORK,Please refer Tender documents. ,NA ,"8,51,20,860",Civil Works - Buildings,NA ,Tender,90.0,330.0,JHARSUGUDA,768201.0,NA ,NA ,NA ,"O/O THE C.C.E, Northern R AND B Circle, SAMBALPUR",No ,No,EIC-CIVIL||SERNB-CIRCLE-NORTHERN,CCENC (R AND B) /04/ 2025-26,2025_EICCL_118360_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Online Proof Copy of Tender Cost, Bid Security, GSTIN, PAN, R.C and Affidavit",26-Sep-2025 10:00 AM,14-Oct-2025 11:00 AM,26-Sep-2025 10:00 AM,13-Oct-2025 05:00 PM,26-Sep-2025 10:00 AM ,03-Oct-2025 05:00 PM ,26-Sep-2025 10:00 AM,13-Oct-2025 05:00 PM,03-Nov-2025 04:00 PM,AOC,CCE NC SBP,Internal,,Hemant Naik,15-Jan-2026 07:49 PM,finsummary_553361.pdf (2585.83 KB),Technical,TECHNICAL BID OPENED,SUCHISMITA SAHU,21-Oct-2025 12:37 PM,,EIC-CIVIL||SERNB-CIRCLE-NORTHERN,2025_EICCL_118360_1,CCENC (R AND B) /04/ 2025-26,Construction of Circuit House Block-A at Jharsuguda,1.0,3123179.0,toshabantadash,INR,"72,361,243",1,3122948,ABAKASH MISHRA,13-Oct-2025 01:44 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY,15-Jan-2026 07:49 PM,15-Jan-2026,"INR 72,361,243",330.0,Hemant Naik,15-Jan-2026 08:13 PM,AGTCIRCUIT.pdf (2432.00 KB),AGT DRAWN,Finance,FINANCIAL BID OPENED,SUCHISMITA SAHU,03-Nov-2025 06:26 PM,,BOQ Comparative Chart,CCE,Internal,,SUCHISMITA SAHU,31-Oct-2025 12:36 PM,03-Nov-2025 04:00 PM,techsummary_553361.pdf (421.15 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Ownership of machineries, work experience and MOU for composite Building work etc.",,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3120926,AJAY KUMAR AGRAWAL,13-Oct-2025 11:46 AM,Rejected-Technical,As per the decision of Tender Evaluation Committee,31-Oct-2025 12:36 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience certificate and other related documents as per DTCN,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3122015,AJAY KUMAR JAIN,13-Oct-2025 01:05 PM,Rejected-Finance,UNSUCCESSFUL BIDDER,15-Jan-2026 07:49 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY (BOQ),,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3116770,ARIA INFRA PROJECTS PRIVATE LIMITED,08-Oct-2025 03:23 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY,15-Jan-2026 07:49 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3121394,BHABANI SHANKAR PATEL,13-Oct-2025 02:14 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY,15-Jan-2026 07:49 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,3122817,JAGADAMBA CONSTRUCTION,12-Oct-2025 04:53 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY,15-Jan-2026 07:49 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,3116323,MASTER CONSTRUCTION COMPANY,13-Oct-2025 11:43 AM,Rejected-Finance,UNSUCCESSFUL BIDDER,15-Jan-2026 07:49 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,3124888,MOHIT AGRAWAL,13-Oct-2025 02:01 PM,Rejected-Finance,UNSUCCESSFUL BIDDER,15-Jan-2026 07:49 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,3124316,M/S DEEPAK KAPOOR,13-Oct-2025 03:14 PM,Rejected-Technical,As per the decision of Tender Evaluation Committee,31-Oct-2025 12:36 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,3116981,Nikhil Agrawal,09-Oct-2025 12:47 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY,15-Jan-2026 07:49 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,11,3113764,PAWAN KUMAR AGRAWAL,13-Oct-2025 04:05 PM,Rejected-Technical,As per the decision of Tender Evaluation Committee,31-Oct-2025 12:36 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,12,3111397,PRAVEEN AGRAWAL,07-Oct-2025 02:21 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY,15-Jan-2026 07:49 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,13,3124998,RABINDRA PADHI,13-Oct-2025 03:53 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY,15-Jan-2026 07:49 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,14,3126374,SAKET KUMAR AGRAWAL,13-Oct-2025 04:52 PM,Rejected-Technical,As per the decision of Tender Evaluation Committee,31-Oct-2025 12:36 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,15,3114337,Sanjaya Kumar Agrawal,09-Oct-2025 03:31 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY,15-Jan-2026 07:49 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,16,3121536,SATYA PRAKASH AGRAWAL,10-Oct-2025 12:20 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY,15-Jan-2026 07:49 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,17,3125595,SILADITYA BEHERA,13-Oct-2025 01:45 PM,Rejected-Finance,UNSUCCESSFUL BIDDER,15-Jan-2026 07:49 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,18,3125756,SUJEET KUMAR,13-Oct-2025 03:57 PM,Rejected-Technical,As per the decision of Tender Evaluation Committee,31-Oct-2025 12:36 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,19,3123179,toshabantadash,11-Oct-2025 01:38 PM,Accepted-AOC,AGT DRAWN,15-Jan-2026 08:15 PM,,,,,,,,,,,,,,,,,,,,,AOC
