Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
22-Sep-2025 04:30 PM,09-Oct-2025 11:00 AM,22-Sep-2025 04:30 PM,08-Oct-2025 05:00 PM,NA ,NA ,22-Sep-2025 04:30 PM,08-Oct-2025 05:00 PM,EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB-DIVN-RAYAGADA NEW,RC(RANDB) RGD NO. II/ 08 /2025-26,2025_EICCL_118168_5,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"21,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of Tender paper,EMD,PAN,GST,Affidavit,other documents as per DTCN","6,000",0.0,Nil,Nil,No,Electrical Renovation work at CHC Building Jagannathpur,Electrical Work,Please refer tender document ,NA ,"20,41,487",Electrical Works,NA ,Tender,90.0,60.0,Jagannatpur,765002.0,NA ,NA ,NA ,Office of SE R and B Division No-II,No ,No,SE R and B Division No-II,Office of SE R and B Division No-II,AOC,24-Jan-2026,"INR 1,735,468",60.0,Durga Madhaba Padhi,25-Jan-2026 12:00 AM,ER_CHC_Jagannatpur_WO.pdf (464.00 KB),"Work is Awarded to M/S Mahaveer Electricals through transparent lottery system,Vid Work order No-6476, Dt-19.12.2025 of R and B Division -II,Rayagada",1,3114962,Ampere india associates,08-Oct-2025 10:33 AM,Rejected-AOC,First Lowest,25-Jan-2026 12:00 AM,SE No-II Rayagada,Internal,"SE,DAO,Estimator",Durga Madhaba Padhi,24-Jan-2026 11:43 PM,techsummary_552921.pdf (469.34 KB),SE No-II Rayagada,Internal,"SE,DAO,Estimator",Durga Madhaba Padhi,24-Jan-2026 11:50 PM,finsummary_552921.pdf (469.34 KB),EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB-DIVN-RAYAGADA NEW,2025_EICCL_118168_5,RC(RANDB) RGD NO. II/ 08 /2025-26,Electrical Renovation work at CHC Building Jagannathpur,1.0,3114427.0,M/S Mahaveer Electricals,INR,"1,735,468",Finance,Tender Opened,Durga Madhaba Padhi,24-Jan-2026 11:37 PM,finance_552921.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.xls,Bill of Quatity,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,3117126,ARMAN ENGINEERING PROJECTS PRIVATE LIMITED,08-Oct-2025 04:53 PM,Rejected-Finance,Second Lowest,24-Jan-2026 11:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3115985,BHUJABALA PATEL,08-Oct-2025 04:50 PM,Rejected-AOC,First Lowest,25-Jan-2026 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3113972,DHANESWAR BARAD,07-Oct-2025 08:19 PM,Rejected-AOC,First Lowest,25-Jan-2026 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3115929,KIKSHORE MOHAN PANI,08-Oct-2025 12:56 PM,Rejected-AOC,First Lowest,25-Jan-2026 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3100965,M/s. Aditya Electricals,26-Sep-2025 02:00 PM,Rejected-AOC,First Lowest,25-Jan-2026 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3114427,M/S Mahaveer Electricals,07-Oct-2025 04:15 PM,Accepted-AOC,First Lowest and Awarded through transparent lottery system,25-Jan-2026 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3113606,ONE STEP SOLUTIONS,07-Oct-2025 10:01 AM,Rejected-AOC,First Lowest,25-Jan-2026 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3098542,Rajendra Jena,27-Sep-2025 01:28 PM,Rejected-AOC,First Lowest,25-Jan-2026 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3104854,RANJAN KUMAR SAHU,01-Oct-2025 07:12 PM,Rejected-AOC,First Lowest,25-Jan-2026 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,11,3107989,SANDIP KUMAR AGRAWAL,06-Oct-2025 07:36 PM,Rejected-AOC,First Lowest,25-Jan-2026 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,12,3117040,TUSAR RANJAN PARIDA,08-Oct-2025 04:35 PM,Rejected-AOC,First Lowest,25-Jan-2026 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,13,3113112,VACRON TECHNOLOGY PRIVATE LIMITED,06-Oct-2025 08:15 PM,Rejected-AOC,First Lowest,25-Jan-2026 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
