Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,All the bids are downloaded successfully.,Krishna Chandra Munduri,05-Oct-2025 11:52 AM,finance_551777.pdf,BOQ Comparative Chart,10-Jan-2026,"INR 1,100,000",120.0,Pritam Pothal,10-Jan-2026 06:57 PM,NID91.pdf (1017.00 KB),"L1 bid of Sri BATA KRUSHNA PATRA selected through transparent lottery system accepted by the S.E., Nimapara Irrigation Division for award of contract.",1.0,3088614.0,BATA KRUSHNA PATRA,INR,"1,100,000","CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Nimapada Irr Division, Nimapada",2025_CELBB_117722_25,e-Procurement Notice No.- 02 of 2025-26,NID-91- Improvement to Pubagada Minor from RD 1.500Km. to 5.000Km.,1,3092400,ASHOK KUMAR SENAPATY,21-Sep-2025 03:57 PM,Rejected-Finance,Not won in the transparent Lottery,20-Nov-2025 06:02 PM,"Superintending Engineer, Nimapara Irrigation Division, Nimapara",Internal,"S.E, Nimapara Irrigation Division, Nimapara, DAO, Nimapara Irr. Division, AEE (Estimator),Nimapara Irr.Division, Nimapara",BISHAL KESHARI SINGH,10-Nov-2025 07:32 PM,techsummary_551777.pdf (386.01 KB),"Superintending Engineer, Nimapara Irrigation Division, Nimapara",Internal,"S.E, Nimapara Irrigation Division, Nimapara, DAO, Nimapara Irr. Division, AEE (Estimator),Nimapara Irr.Division, Nimapara",SATYENDRA PARIDA,20-Nov-2025 06:02 PM,finsummary_551777.pdf (1634.04 KB),AOC,1.0,ICICI BANK,"Superintending Engineer., Nimapara Irr Divn.","Office of the Superintending Engineer Nimapara Irrigation Division, Nimapara Puri Odisha","CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Nimapada Irr Division, Nimapada",e-Procurement Notice No.- 02 of 2025-26,2025_CELBB_117722_25,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"13,000",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,GSTIN PAN Contractor R.C Affidavits undertakings No Relation Certificate,08-Sep-2025 11:00 AM,23-Sep-2025 11:00 AM,08-Sep-2025 11:00 AM,22-Sep-2025 05:30 PM,08-Sep-2025 11:00 AM ,16-Sep-2025 05:30 PM ,08-Sep-2025 11:00 AM,22-Sep-2025 05:30 PM,NID-91- Improvement to Pubagada Minor from RD 1.500Km. to 5.000Km.,Improvement to Pubagada Minor from RD 1.500Km. to 5.000Km.,Please refer Tender Documents ,NA ,"12,93,966",Civil Works - Canal,Canal ,Tender,90.0,120.0,Nimapara,752106.0,NA ,NA ,NA ,"S.E., Nimapara Irr Divn. Nimapara",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2,3094185,BAIDHAR NAYAK,22-Sep-2025 12:50 PM,Rejected-Finance,Not won in the transparent Lottery,20-Nov-2025 06:02 PM,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,and any other document as per SBD/DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,3093355,BASANTA PRADHAN,22-Sep-2025 09:07 AM,Rejected-Finance,Not won in the transparent Lottery,20-Nov-2025 06:02 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,3088614,BATA KRUSHNA PATRA,20-Sep-2025 01:51 PM,Accepted-AOC,"L1 bid of Sri BATA KRUSHNA PATRA selected through transparent lottery system accepted by the S.E., Nimapara Irrigation Division for award of contract.",10-Jan-2026 06:57 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,3085638,DJ CONSTRUCTIONS,17-Sep-2025 09:41 PM,Rejected-Finance,Not won in the transparent Lottery,20-Nov-2025 06:02 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,3093931,JAY MAHADEV CONSTRUCTION,22-Sep-2025 03:11 PM,Rejected-Finance,Not won in the transparent Lottery,20-Nov-2025 06:02 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,3090741,KRUSHNA CHANDRA SWAIN,20-Sep-2025 03:53 PM,Rejected-Finance,Not won in the transparent Lottery,20-Nov-2025 06:02 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,3094586,MATRUSHAKTI ENGINEERING PRO.SASMITA JENA,22-Sep-2025 02:32 PM,Rejected-Finance,Not won in the transparent Lottery,20-Nov-2025 06:02 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,3093869,MITALI SWAIN,22-Sep-2025 02:50 PM,Rejected-Finance,Not won in the transparent Lottery,20-Nov-2025 06:02 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,3088419,NIRANJAN SWAIN,21-Sep-2025 11:25 PM,Rejected-Finance,Not won in the transparent Lottery,20-Nov-2025 06:02 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,11,3077114,PABITRA MOHAN SAHOO,14-Sep-2025 12:34 PM,Rejected-Finance,Not won in the transparent Lottery,20-Nov-2025 06:02 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,12,3092291,PRABHATA KUMAR SAHOO,21-Sep-2025 03:40 PM,Rejected-Finance,Not won in the transparent Lottery,20-Nov-2025 06:02 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,13,3080724,PRAKASH KUMAR JENAMANI,15-Sep-2025 11:55 AM,Rejected-Finance,Not won in the transparent Lottery,20-Nov-2025 06:02 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,14,3085313,PRASANTA KUMAR SAHOO,17-Sep-2025 04:53 PM,Rejected-Finance,Not won in the transparent Lottery,20-Nov-2025 06:02 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,15,3077092,PRATIMA NAYAK,14-Sep-2025 05:33 PM,Rejected-Finance,Not won in the transparent Lottery,20-Nov-2025 06:02 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,16,3081106,ROJALINI ROUT,18-Sep-2025 07:33 AM,Rejected-Finance,Not woNot won in the transparent Lottery,20-Nov-2025 06:02 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,17,3091573,SANATAN KANDI,21-Sep-2025 09:01 PM,Rejected-Finance,Not won in the transparent Lottery,20-Nov-2025 06:02 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,18,3087961,SARASWATI ENGINEERING PROP.KAMALA KRISHNA RAO ACHARYA,21-Sep-2025 08:28 PM,Rejected-Finance,Not won in the transparent Lottery,20-Nov-2025 06:02 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,19,3087853,SRIKANTA KUMAR BASTIA,20-Sep-2025 01:11 PM,Rejected-Finance,Not won in the transparent Lottery,20-Nov-2025 06:02 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,20,3076932,SUDHAKAR MALLICK,13-Sep-2025 05:20 PM,Rejected-Finance,Not won in the transparent Lottery,20-Nov-2025 06:02 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
